"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E01006512",799,75,255,422,5,0,12,30
"E01006513",909,86,357,420,2,0,19,25
"E01006514",1115,62,757,203,6,10,32,45
"E01006515",641,17,456,123,0,0,14,31
"E01006518",835,38,632,104,0,0,23,38
"E01006519",514,14,475,9,0,2,1,13
"E01006520",1182,72,881,157,6,0,30,36
"E01006521",928,36,671,162,0,1,27,31
"E01006522",1094,57,941,50,0,10,14,22
"E01006523",830,37,657,93,2,0,17,24
"E01006524",583,11,482,65,0,0,10,15
"E01006525",486,11,430,30,0,2,3,10
"E01006526",654,28,580,21,1,1,8,15
"E01006527",638,20,576,19,0,0,8,15
"E01006528",613,39,525,16,0,0,12,21
"E01006529",559,22,509,14,1,1,2,10
"E01006530",616,11,586,6,0,0,3,10
"E01006531",674,13,613,20,1,0,14,13
"E01006532",617,5,561,27,3,2,7,12
"E01006533",614,8,545,41,0,1,4,15
"E01006534",649,23,592,12,0,0,5,17
"E01006535",656,26,587,13,0,1,12,17
"E01006536",815,36,714,28,0,2,14,21
"E01006537",964,41,664,232,1,0,15,11
"E01006538",527,23,477,9,0,1,6,11
"E01006539",601,12,554,25,0,0,1,9
"E01006540",771,58,606,32,1,1,24,49
"E01006541",803,32,657,53,0,0,32,29
"E01006542",583,36,495,13,0,1,16,22
"E01006543",509,30,457,7,0,0,5,10
"E01006544",738,41,645,13,0,0,11,28
"E01006545",646,46,552,11,0,0,16,21
"E01006546",583,50,482,19,0,0,10,22
"E01006547",718,74,556,51,0,0,17,20
"E01006548",759,74,601,24,0,1,25,34
"E01006549",949,84,728,72,1,0,14,50
"E01006550",483,19,427,21,0,0,2,14
"E01006551",751,13,576,104,5,0,40,13
"E01006552",869,46,705,30,2,0,46,40
"E01006553",642,44,550,18,1,1,3,25
"E01006554",649,58,545,24,0,0,3,19
"E01006556",1016,63,821,31,0,0,43,58
"E01006557",635,38,505,46,2,0,8,36
"E01006558",739,81,581,22,0,0,18,37
"E01006560",996,11,887,20,0,0,34,44
"E01006562",714,42,583,22,0,0,29,38
"E01006563",908,25,686,90,3,0,60,44
"E01006564",800,24,699,29,0,0,24,24
"E01006565",638,41,555,18,0,0,6,18
"E01006566",577,25,491,41,0,1,7,12
"E01006567",892,37,752,35,0,0,39,29
"E01006568",629,52,527,24,3,0,6,17
"E01006569",613,39,531,16,0,0,15,12
"E01006570",595,23,540,11,1,0,6,14
"E01006571",612,28,536,10,0,0,18,20
"E01006572",501,6,445,9,0,4,10,27
"E01006573",778,53,610,81,3,0,11,20
"E01006574",612,20,535,18,1,0,20,18
"E01006575",578,22,520,13,0,0,7,16
"E01006576",713,44,621,17,1,1,13,16
"E01006577",597,26,549,9,0,0,0,13
"E01006578",554,31,500,5,0,0,2,16
"E01006579",618,17,578,6,1,1,2,13
"E01006580",515,5,493,3,1,0,3,10
"E01006581",607,15,577,5,0,0,3,7
"E01006582",585,13,549,10,1,1,5,6
"E01006583",467,6,453,1,1,1,0,5
"E01006584",611,26,539,31,0,1,4,10
"E01006585",641,20,555,21,0,1,25,19
"E01006586",921,29,809,40,0,0,16,27
"E01006587",717,15,619,47,0,3,8,25
"E01006588",702,42,611,23,1,0,4,21
"E01006589",599,11,545,19,0,0,7,17
