"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E00032987",1,0,1
"E00032988",1,0,1
"E00032989",1,0,1
"E00032990",0,0,0
"E00032991",0,0,0
"E00032992",0,0,0
"E00032993",2,1,1
"E00032994",0,0,0
"E00032995",0,0,0
"E00032996",3,1,2
"E00032997",0,0,0
"E00032998",0,0,0
"E00032999",2,0,2
"E00033000",3,2,1
"E00033002",0,0,0
"E00033004",4,2,2
"E00033005",6,0,6
"E00033006",1,0,1
"E00033007",1,1,0
"E00033008",2,1,1
"E00033012",2,1,1
"E00033013",4,2,2
"E00033015",0,0,0
"E00033016",8,4,4
"E00033018",4,3,1
"E00033019",2,1,1
"E00033020",0,0,0
"E00033021",1,0,1
"E00033023",7,4,3
"E00033024",3,0,3
"E00033025",0,0,0
"E00033026",3,1,2
"E00033027",0,0,0
"E00033029",1,0,1
"E00033030",9,3,6
"E00033031",4,1,3
"E00033032",0,0,0
"E00033033",0,0,0
"E00033034",0,0,0
"E00033035",1,1,0
"E00033036",4,2,2
"E00033037",1,0,1
"E00033038",1,0,1
"E00033040",0,0,0
"E00033041",4,4,0
"E00033042",2,1,1
"E00033043",2,2,0
"E00033044",3,1,2
"E00033045",1,1,0
"E00033046",1,1,0
"E00033047",2,1,1
"E00033048",4,2,2
"E00033049",2,1,1
"E00033050",10,7,3
"E00033051",3,1,2
"E00033052",4,2,2
"E00033053",1,1,0
"E00033054",2,1,1
"E00033055",6,3,3
"E00033056",0,0,0
"E00033057",1,0,1
"E00033059",0,0,0
"E00033060",1,0,1
"E00033061",2,1,1
"E00033062",6,3,3
"E00033063",13,4,9
"E00033064",2,1,1
"E00033065",11,8,3
"E00033066",0,0,0
"E00033067",0,0,0
"E00033068",0,0,0
"E00033069",0,0,0
"E00033070",0,0,0
"E00033071",2,1,1
"E00033072",2,0,2
"E00033073",0,0,0
"E00033074",0,0,0
"E00033075",0,0,0
"E00033076",5,3,2
"E00033077",1,1,0
"E00033078",2,0,2
"E00033079",0,0,0
"E00033080",0,0,0
"E00033081",0,0,0
"E00033082",8,3,5
"E00033083",13,5,8
"E00033084",1,0,1
"E00033085",7,3,4
"E00033086",5,3,2
"E00033087",3,2,1
"E00033088",2,1,1
"E00033089",5,1,4
"E00033090",3,1,2
"E00033091",4,3,1
"E00033092",2,1,1
"E00033093",1,1,0
"E00033094",2,1,1
"E00033095",9,5,4
"E00033096",2,1,1
"E00033097",3,2,1
"E00033098",3,2,1
"E00033099",2,1,1
"E00033100",0,0,0
"E00033101",0,0,0
"E00033102",0,0,0
"E00033103",1,0,1
"E00033104",2,2,0
"E00033105",1,0,1
"E00033106",1,0,1
"E00033107",12,7,5
"E00033108",2,1,1
"E00033109",6,6,0
"E00033110",2,1,1
"E00033112",16,8,8
"E00033113",5,2,3
"E00033114",9,7,2
"E00033115",0,0,0
"E00033116",0,0,0
"E00033117",6,1,5
"E00033118",2,1,1
"E00033119",2,1,1
"E00033120",3,1,2
"E00033121",1,1,0
"E00033122",3,3,0
"E00033123",1,0,1
"E00033124",11,6,5
"E00033125",0,0,0
"E00033126",6,3,3
"E00033127",4,2,2
"E00033128",1,0,1
"E00033129",3,1,2
"E00033130",10,6,4
"E00033131",0,0,0
"E00033132",2,2,0
"E00033133",0,0,0
"E00033134",0,0,0
"E00033135",1,1,0
"E00033136",1,1,0
"E00033137",0,0,0
"E00033138",0,0,0
"E00033139",2,2,0
"E00033140",1,0,1
"E00033141",0,0,0
"E00033142",0,0,0
"E00033143",0,0,0
"E00033144",2,0,2
"E00033145",0,0,0
"E00033146",1,0,1
"E00033147",0,0,0
"E00033148",0,0,0
"E00033149",2,1,1
"E00033150",0,0,0
"E00033151",1,1,0
"E00033152",0,0,0
"E00033153",1,0,1
"E00033154",1,0,1
"E00033155",2,1,1
"E00033156",0,0,0
"E00033157",1,0,1
"E00033158",2,1,1
"E00033159",0,0,0
"E00033160",1,0,1
"E00033161",0,0,0
"E00033162",0,0,0
"E00033163",0,0,0
"E00033164",2,1,1
"E00033165",1,0,1
"E00033166",0,0,0
"E00033167",1,1,0
"E00033168",1,0,1
"E00033169",1,0,1
"E00033170",2,0,2
"E00033171",1,1,0
"E00033172",0,0,0
"E00033173",0,0,0
"E00033174",0,0,0
"E00033175",0,0,0
"E00033176",1,1,0
"E00033177",4,3,1
"E00033178",1,0,1
"E00033179",4,2,2
"E00033181",6,2,4
"E00033182",2,1,1
"E00033183",10,5,5
"E00033185",3,3,0
"E00033186",5,4,1
"E00033187",2,2,0
"E00033188",3,0,3
"E00033189",2,1,1
"E00033190",2,1,1
"E00033191",2,1,1
"E00033192",2,1,1
"E00033193",2,1,1
"E00033194",4,3,1
"E00033195",1,0,1
"E00033196",0,0,0
"E00033197",0,0,0
"E00033198",5,3,2
"E00033199",0,0,0
"E00033200",0,0,0
"E00033201",1,0,1
"E00033202",2,1,1
"E00033203",2,0,2
"E00033204",0,0,0
"E00033206",15,7,8
"E00033207",0,0,0
"E00033208",3,3,0
"E00033209",7,6,1
"E00033210",2,0,2
"E00033211",5,5,0
"E00033212",1,0,1
"E00033213",6,6,0
"E00033214",3,1,2
"E00033215",2,1,1
"E00033216",0,0,0
"E00033217",2,1,1
"E00033218",8,6,2
"E00033219",3,0,3
"E00033220",0,0,0
"E00033221",0,0,0
"E00033222",0,0,0
"E00033223",0,0,0
"E00033224",0,0,0
"E00033225",0,0,0
"E00033226",0,0,0
"E00033227",0,0,0
"E00033228",0,0,0
"E00033229",1,0,1
"E00033230",0,0,0
"E00033231",1,1,0
"E00033235",1,0,1
"E00033237",0,0,0
"E00033238",4,2,2
"E00033242",3,0,3
"E00033245",3,0,3
"E00033246",7,3,4
"E00033247",1,1,0
"E00033248",0,0,0
"E00033249",0,0,0
"E00033250",0,0,0
"E00033251",0,0,0
"E00033252",1,0,1
"E00033253",2,1,1
"E00033254",2,1,1
"E00033255",0,0,0
