"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E02001347",7653,1085,729,5839
"E02001348",7222,826,700,5696
"E02001349",7966,839,784,6343
"E02001350",7856,1255,853,5748
"E02001351",8894,1399,977,6518
"E02001352",7416,1092,748,5576
"E02001353",7572,711,580,6281
"E02001354",7613,1142,789,5682
"E02001355",6664,1002,776,4886
"E02001356",5584,819,554,4211
"E02001357",6982,1174,817,4991
"E02001358",7069,996,718,5355
"E02001359",5751,702,568,4481
"E02001360",8358,1503,1041,5814
"E02001361",7618,1186,785,5647
"E02001362",7401,1189,808,5404
"E02001363",7788,1160,830,5798
"E02001364",5311,901,705,3705
"E02001365",9049,1099,842,7108
"E02001366",8985,1236,960,6789
"E02001367",9304,970,906,7428
"E02001368",5847,1315,715,3817
"E02001369",7655,1475,839,5341
"E02001370",6186,1300,787,4099
"E02001371",7447,1096,694,5657
"E02001372",6221,1020,605,4596
"E02001373",9253,1168,985,7100
"E02001374",8199,1057,903,6239
"E02001375",7195,1150,713,5332
"E02001376",8469,1120,820,6529
"E02001377",11467,1050,767,9650
"E02001378",7972,1109,842,6021
"E02001380",7526,767,743,6016
"E02001381",9286,968,802,7516
"E02001382",7098,552,599,5947
"E02001383",7501,837,700,5964
"E02001384",10762,699,694,9369
"E02001385",8157,1035,835,6287
"E02001386",7545,1467,950,5128
"E02001387",8025,548,695,6782
"E02001388",8860,573,600,7687
"E02001389",6232,825,588,4819
"E02001390",8756,1579,1032,6145
"E02001391",5970,1031,710,4229
"E02001392",5717,529,711,4477
"E02001393",7753,535,619,6599
"E02001394",10143,1165,775,8203
"E02001395",6056,560,567,4929
"E02001396",8035,998,761,6276
"E02001397",7631,1079,846,5706
"E02001398",7758,884,702,6172
"E02001399",7276,651,667,5958
"E02001400",6614,985,734,4895
"E02001401",7872,975,814,6083
"E02001402",8384,823,731,6830
"E02001403",6035,847,565,4623
"E02001404",7260,1070,735,5455
"E02001405",9609,1532,995,7082
"E02006932",9949,273,326,9350
"E02006933",5436,397,329,4710
"E02006934",5202,154,171,4877
