"GeographyCode","QS402EW0001","QS402EW0002","QS402EW0003","QS402EW0004","QS402EW0005","QS402EW0006","QS402EW0007","QS402EW0008","QS402EW0009","QS402EW0010","QS402EW0011","QS402EW0012"
"E00032987",87,87,35,2,5,28,52,49,3,0,0,0
"E00032988",200,194,28,0,4,24,166,33,132,1,0,6
"E00032989",232,207,20,1,1,18,187,64,123,0,0,25
"E00032990",219,193,16,0,2,14,177,84,92,1,0,26
"E00032991",219,212,18,1,5,12,194,42,152,0,0,7
"E00032992",165,154,44,2,1,41,110,86,24,0,0,11
"E00032993",166,166,19,1,2,16,147,125,22,0,0,0
"E00032994",63,63,42,4,25,13,21,21,0,0,0,0
"E00032995",149,149,102,4,5,93,47,47,0,0,0,0
"E00032996",181,181,177,15,121,41,4,4,0,0,0,0
"E00032997",106,106,68,6,5,57,38,20,1,17,0,0
"E00032998",164,164,129,6,47,76,35,35,0,0,0,0
"E00032999",236,229,23,3,7,13,206,120,85,1,0,7
"E00033000",87,87,44,4,7,33,43,42,1,0,0,0
"E00033002",129,129,47,4,24,19,82,82,0,0,0,0
"E00033004",167,167,74,1,40,33,93,93,0,0,0,0
"E00033005",176,176,129,11,90,28,47,42,3,2,0,0
"E00033006",120,120,118,1,3,114,2,2,0,0,0,0
"E00033007",155,155,121,20,65,36,34,31,0,3,0,0
"E00033008",147,147,143,7,93,43,4,3,0,1,0,0
"E00033012",104,104,3,0,1,2,101,54,13,34,0,0
"E00033013",115,115,26,3,21,2,89,89,0,0,0,0
"E00033015",109,109,25,0,4,21,83,79,3,1,1,0
"E00033016",226,200,84,15,64,5,114,111,3,0,2,26
"E00033018",72,72,20,0,4,16,52,48,4,0,0,0
"E00033019",218,218,44,2,8,34,174,135,39,0,0,0
"E00033020",143,133,20,1,1,18,113,53,60,0,0,10
"E00033021",134,134,51,9,20,22,83,76,3,4,0,0
"E00033023",149,146,50,4,5,41,96,40,56,0,0,3
"E00033024",104,104,35,4,20,11,69,66,3,0,0,0
"E00033025",135,135,132,0,5,127,3,2,1,0,0,0
"E00033026",90,90,87,12,45,30,3,2,1,0,0,0
"E00033027",200,193,49,6,23,20,144,109,17,18,0,7
"E00033029",111,111,89,1,3,85,22,1,8,13,0,0
"E00033030",95,95,92,60,27,5,3,2,1,0,0,0
"E00033031",130,130,128,1,1,126,2,0,2,0,0,0
"E00033032",238,217,9,4,2,3,208,112,96,0,0,21
"E00033033",193,177,10,0,7,3,167,41,125,1,0,16
"E00033034",201,185,32,6,3,23,153,50,100,3,0,16
"E00033035",159,159,92,3,13,76,67,33,30,4,0,0
"E00033036",128,119,7,4,1,2,112,62,50,0,0,9
"E00033037",153,147,63,27,32,4,84,66,17,1,0,6
"E00033038",110,90,9,2,3,4,81,41,40,0,0,20
