"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E02001347",3204,1875,690,1185,10,920,252,668,355,297,29,16,13,44
"E02001348",3148,2156,914,1242,3,182,21,161,769,725,1,41,2,38
"E02001349",3422,2382,955,1427,5,226,44,182,774,734,0,33,7,35
"E02001350",3417,1499,491,1008,29,1344,325,1019,475,446,1,20,8,70
"E02001351",3515,1494,583,911,3,1511,365,1146,464,431,0,20,13,43
"E02001352",3046,1259,508,751,2,924,162,762,815,778,2,27,8,46
"E02001353",2959,2368,672,1696,46,195,43,152,332,301,5,18,8,18
"E02001354",3312,1616,699,917,9,1276,376,900,357,337,0,12,8,54
"E02001355",3108,1583,711,872,16,726,85,641,744,699,0,31,14,39
"E02001356",2364,749,318,431,4,1338,331,1007,250,230,0,7,13,23
"E02001357",2858,1191,594,597,4,1409,400,1009,209,191,0,12,6,45
"E02001358",3450,1546,685,861,7,672,59,613,1186,1144,2,33,7,39
"E02001359",2328,1690,710,980,6,368,73,295,231,215,1,14,1,33
"E02001360",4130,1276,631,645,26,1977,466,1511,799,755,5,30,9,52
"E02001361",3388,1744,784,960,15,1045,161,884,531,486,0,36,9,53
"E02001362",3161,2071,986,1085,13,781,234,547,248,223,1,18,6,48
"E02001363",3481,1404,542,862,10,1504,359,1145,514,482,1,25,6,49
"E02001364",2532,772,399,373,12,1066,80,986,641,621,0,17,3,41
"E02001365",4059,1870,863,1007,10,505,40,465,1612,1558,2,38,14,62
"E02001366",4081,2162,921,1241,33,680,111,569,1163,1091,7,54,11,43
"E02001367",3939,3008,1483,1525,2,343,48,295,530,477,4,46,3,56
"E02001368",2918,634,256,378,48,1810,402,1408,367,338,2,15,12,59
"E02001369",3877,1003,468,535,27,2000,363,1637,786,740,1,32,13,61
"E02001370",3153,609,306,303,15,1882,250,1632,587,548,2,23,14,60
"E02001371",3076,1500,494,1006,4,1195,347,848,343,319,1,19,4,34
"E02001372",2728,1550,648,902,22,794,159,635,332,302,4,22,4,30
"E02001373",4089,2252,1012,1240,6,795,104,691,971,896,5,58,12,65
"E02001374",4105,1205,552,653,19,1177,106,1071,1636,1569,1,42,24,68
"E02001375",3202,1930,880,1050,5,641,120,521,573,537,2,27,7,53
"E02001376",3789,1165,634,531,16,1034,132,902,1493,1429,0,48,16,81
"E02001377",4063,772,446,326,22,1551,179,1372,1658,1563,8,39,48,60
"E02001378",3557,1862,774,1088,20,936,176,760,682,635,1,42,4,57
"E02001380",3117,2556,1213,1343,10,172,45,127,356,333,0,18,5,23
"E02001381",4312,1675,768,907,12,971,77,894,1604,1531,2,58,13,50
"E02001382",2782,2437,1064,1373,2,75,14,61,246,217,5,22,2,22
"E02001383",4260,329,145,184,57,2425,198,2227,1400,1225,13,27,135,49
"E02001384",3941,1295,637,658,39,618,46,572,1953,1856,5,77,15,36
"E02001385",3631,489,282,207,30,2147,323,1824,893,831,9,26,27,72
"E02001386",3572,1437,664,773,72,1771,265,1506,213,185,0,23,5,79
"E02001387",3162,2645,1264,1381,3,59,9,50,421,396,1,22,2,34
"E02001388",4170,1784,776,1008,11,410,52,358,1934,1327,4,72,531,31
"E02001389",3740,567,264,303,31,1358,92,1266,1740,1685,9,30,16,44
"E02001390",4094,839,409,430,65,2462,371,2091,637,569,0,31,37,91
"E02001391",2481,1193,528,665,32,1021,179,842,210,188,2,11,9,25
"E02001392",2556,2156,1259,897,13,86,8,78,273,240,5,27,1,28
"E02001393",2845,2574,1401,1173,3,53,9,44,194,173,1,16,4,21
"E02001394",4290,1787,795,992,12,1091,43,1048,1359,1269,15,60,15,41
"E02001395",2612,2103,991,1112,10,101,16,85,382,339,6,34,3,16
"E02001396",3918,1744,770,974,5,878,159,719,1250,1192,1,47,10,41
"E02001397",3848,2234,1159,1075,7,954,109,845,594,562,2,26,4,59
"E02001398",3595,1834,831,1003,14,752,36,716,962,910,0,47,5,33
"E02001399",2866,2450,1265,1185,2,215,10,205,180,167,2,10,1,19
"E02001400",2839,1779,813,966,4,752,197,555,255,226,1,23,5,49
"E02001401",3395,2548,1368,1180,15,318,45,273,483,454,4,22,3,31
"E02001402",3762,2707,1300,1407,11,318,40,278,694,633,1,50,10,32
"E02001403",2841,1262,495,767,31,802,108,694,719,682,0,29,8,27
"E02001404",3155,1375,562,813,4,1288,263,1025,457,425,3,23,6,31
"E02001405",4154,1371,585,786,13,2254,559,1695,463,432,0,20,11,53
"E02006932",3201,326,126,200,97,584,58,526,2168,2061,7,37,63,26
"E02006933",3135,742,308,434,8,575,142,433,1765,1701,2,42,20,45
"E02006934",2782,512,152,360,14,168,22,146,2058,2006,6,34,12,30
