"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E00032987",157,115,22,59,0,0,4,5,13,12,42,17,6,8,8,3
"E00032988",314,192,29,85,0,2,9,16,28,23,122,34,26,6,46,10
"E00032989",294,181,37,83,1,3,7,9,19,22,113,13,38,7,45,10
"E00032990",289,188,32,99,2,6,3,6,25,15,101,22,39,3,25,12
"E00032991",300,204,34,104,0,1,4,8,37,16,96,5,37,5,42,7
"E00032992",219,127,24,54,1,2,3,0,32,11,92,5,41,0,41,5
"E00032993",245,174,28,90,0,3,8,8,18,19,71,12,34,6,13,6
"E00032994",76,36,7,14,0,0,1,5,3,6,40,11,5,4,15,5
"E00032995",190,97,22,48,0,0,2,2,17,6,93,26,14,8,38,7
"E00032996",284,136,28,70,0,0,3,5,22,8,148,55,15,18,46,14
"E00032997",157,103,28,48,0,1,0,7,12,7,54,14,10,6,19,5
"E00032998",262,171,34,92,4,3,3,13,13,9,91,27,14,14,30,6
"E00032999",329,223,39,101,0,5,2,14,28,34,106,11,57,5,22,11
"E00033000",103,48,8,27,1,0,0,0,8,4,55,21,11,10,10,3
"E00033002",187,116,19,62,0,0,4,4,15,12,71,16,12,7,23,13
"E00033004",234,197,20,127,0,11,7,16,10,6,37,16,13,2,5,1
"E00033005",268,135,43,65,1,0,0,4,17,5,133,49,20,10,40,14
"E00033006",199,121,31,63,0,0,2,5,12,8,78,27,11,11,23,6
"E00033007",228,97,31,31,0,4,4,6,17,4,131,35,15,14,45,22
"E00033008",240,110,35,32,0,2,0,3,29,9,130,28,16,21,48,17
"E00033012",138,95,14,55,0,5,5,12,3,1,43,20,10,4,6,3
"E00033013",168,95,16,58,1,0,1,4,4,11,73,10,32,7,15,9
"E00033015",184,80,9,49,0,0,1,3,4,14,104,8,82,6,4,4
"E00033016",496,163,29,71,0,3,4,5,19,32,333,7,290,22,9,5
"E00033018",263,152,10,39,0,0,0,1,1,101,111,0,107,0,1,3
"E00033019",316,178,27,66,3,1,3,7,34,37,138,13,75,6,37,7
"E00033020",225,149,21,65,0,1,4,2,13,43,76,4,54,2,15,1
"E00033021",198,123,31,67,0,3,1,3,13,5,75,19,12,12,22,10
"E00033023",391,207,28,44,0,6,5,13,11,100,184,32,128,4,14,6
"E00033024",142,61,11,37,0,1,1,3,6,2,81,24,7,6,28,16
"E00033025",211,167,26,102,0,1,7,17,4,10,44,28,5,1,2,8
"E00033026",155,111,22,65,0,2,3,9,5,5,44,33,2,4,2,3
"E00033027",302,224,24,135,0,7,7,10,14,27,78,28,30,5,11,4
"E00033029",194,149,22,106,0,0,2,3,8,8,45,18,6,2,13,6
"E00033030",261,144,22,58,2,5,1,12,6,38,117,36,68,7,0,6
"E00033031",250,184,28,121,0,1,4,12,6,12,66,30,22,5,7,2
"E00033032",321,257,22,169,0,4,5,15,25,17,64,14,21,3,21,5
"E00033033",266,225,18,148,1,4,5,12,25,12,41,7,12,4,15,3
"E00033034",296,253,22,179,1,7,6,15,17,6,43,9,13,4,8,9
"E00033035",277,199,32,119,1,7,9,8,20,3,78,31,11,9,25,2
"E00033036",169,141,13,95,0,5,6,6,15,1,28,6,3,6,11,2
"E00033037",209,138,24,83,0,6,3,12,6,4,71,44,6,4,10,7
"E00033038",149,112,10,82,0,1,2,3,7,7,37,3,6,6,16,6
"E00033040",216,139,19,83,1,3,5,10,14,4,77,25,30,2,15,5
"E00033041",181,142,25,71,1,2,8,16,7,12,39,21,10,6,1,1
"E00033042",190,128,22,71,2,3,4,13,3,10,62,36,18,4,4,0
"E00033043",197,157,23,98,0,3,5,12,7,9,40,23,11,3,2,1
"E00033044",180,127,24,69,0,7,2,9,7,9,53,31,13,5,4,0
"E00033045",159,80,25,35,0,1,1,0,14,4,79,42,8,3,21,5
"E00033046",103,50,4,28,0,2,4,5,2,5,53,39,2,4,5,3
"E00033047",224,148,33,82,2,6,6,11,4,4,76,36,10,5,23,2
"E00033048",195,128,38,57,1,6,7,4,7,8,67,41,8,4,10,4
"E00033049",288,231,34,156,1,0,7,11,12,10,57,17,21,7,8,4
"E00033050",180,139,22,90,0,3,3,3,11,7,41,20,10,4,5,2
"E00033051",272,212,27,136,2,12,8,11,9,7,60,21,15,6,12,6
"E00033052",323,231,32,130,0,3,3,11,22,30,92,21,51,5,9,6
"E00033053",219,181,23,109,1,2,3,10,14,19,38,14,17,3,2,2
"E00033054",118,80,20,42,0,0,1,1,11,5,38,17,4,3,10,4
"E00033055",190,144,21,85,1,7,4,9,10,7,46,22,8,4,8,4
"E00033056",206,169,33,111,0,4,3,7,3,8,37,25,5,3,1,3
"E00033057",218,163,28,109,0,1,6,2,8,9,55,29,11,2,5,8
"E00033059",196,131,36,65,0,6,3,11,9,1,65,38,7,5,9,6
"E00033060",140,82,15,47,0,3,4,5,6,2,58,44,6,2,5,1
"E00033061",169,119,28,58,3,4,0,9,5,12,50,26,11,2,8,3
"E00033062",191,124,33,71,1,2,1,4,6,6,67,41,15,2,6,3
"E00033063",203,139,21,86,0,6,8,10,7,1,64,45,11,3,3,2
"E00033064",173,133,23,81,3,1,7,9,3,6,40,26,9,2,3,0
"E00033065",213,161,27,101,0,3,5,14,4,7,52,25,17,5,4,1
