"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E02001347",7628,4835,1392,3443,21,1835,504,1331,877,764,58,30,25,60
"E02001348",7222,5200,1808,3392,5,352,43,309,1602,1516,4,79,3,63
"E02001349",7943,5915,1928,3987,16,396,81,315,1550,1470,0,68,12,66
"E02001350",7714,3836,989,2847,55,2647,731,1916,1075,1004,5,52,14,101
"E02001351",8141,3781,1211,2570,6,3329,816,2513,962,901,0,39,22,63
"E02001352",6620,3093,981,2112,2,1834,328,1506,1619,1538,7,59,15,72
"E02001353",7526,6195,1354,4841,108,424,103,321,770,701,15,37,17,29
"E02001354",7611,3867,1353,2514,22,2907,830,2077,724,686,0,22,16,91
"E02001355",6660,3769,1420,2349,31,1389,185,1204,1412,1344,0,48,20,59
"E02001356",5584,1790,602,1188,10,3137,756,2381,613,564,0,15,34,34
"E02001357",6955,2936,1163,1773,6,3418,980,2438,518,481,0,21,16,77
"E02001358",7041,3435,1314,2121,16,1341,111,1230,2182,2093,2,73,14,67
"E02001359",5740,4412,1511,2901,12,754,153,601,498,460,3,33,2,64
"E02001360",8289,2824,1193,1631,52,3784,864,2920,1538,1447,16,57,18,91
"E02001361",7618,4158,1518,2640,29,2279,329,1950,1073,997,0,55,21,79
"E02001362",7401,5118,1873,3245,29,1540,507,1033,636,585,1,30,20,78
"E02001363",7788,3417,1029,2388,25,3153,797,2356,1112,1041,4,59,8,81
"E02001364",5203,1766,773,993,29,2066,152,1914,1264,1230,0,30,4,78
"E02001365",8950,4333,1653,2680,24,1103,95,1008,3366,3254,3,83,26,124
"E02001366",8912,5213,1815,3398,65,1227,219,1008,2327,2206,9,97,15,80
"E02001367",9296,7592,2888,4704,2,551,77,474,1058,948,12,89,9,93
"E02001368",5771,1401,488,913,90,3539,782,2757,649,598,3,25,23,92
"E02001369",7637,2173,932,1241,48,3887,679,3208,1446,1357,4,58,27,83
"E02001370",6155,1362,580,782,40,3590,510,3080,1063,1011,2,31,19,100
"E02001371",7347,3704,922,2782,5,2776,764,2012,809,754,3,41,11,53
"E02001372",6014,3898,1291,2607,44,1344,286,1058,685,632,4,36,13,43
"E02001373",9210,5494,2010,3484,13,1572,237,1335,2017,1866,12,115,24,114
"E02001374",8051,2898,1151,1747,39,1989,166,1823,2992,2867,6,84,35,133
"E02001375",7100,4472,1637,2835,13,1263,251,1012,1269,1198,2,50,19,83
"E02001376",8445,2581,1164,1417,39,2278,257,2021,3366,3234,0,98,34,181
"E02001377",8525,1596,806,790,53,2930,381,2549,3837,3659,16,80,82,109
"E02001378",7733,4601,1542,3059,42,1669,334,1335,1334,1241,1,77,15,87
"E02001380",7519,6427,2425,4002,17,340,107,233,695,651,0,36,8,40
"E02001381",9280,3553,1415,2138,26,1886,162,1724,3723,3561,5,131,26,92
"E02001382",7093,6321,2212,4109,4,167,44,123,557,495,13,44,5,44
"E02001383",7125,661,260,401,103,3949,377,3572,2330,2066,19,58,187,82
"E02001384",10739,2833,1229,1604,105,1211,114,1097,6491,6200,18,233,40,99
"E02001385",8106,1261,666,595,77,4607,800,3807,1938,1764,24,70,80,223
"E02001386",7518,3316,1256,2060,131,3491,536,2955,466,421,0,34,11,114
"E02001387",7955,6717,2535,4182,7,126,17,109,1045,987,2,50,6,60
"E02001388",8802,3962,1479,2483,36,607,70,537,4141,3433,5,167,536,56
"E02001389",5919,1158,518,640,53,1942,138,1804,2701,2600,12,68,21,65
"E02001390",8689,1970,822,1148,132,5117,756,4361,1318,1190,0,77,51,152
"E02001391",5887,2877,1035,1842,49,2388,420,1968,535,484,4,24,23,38
"E02001392",5699,4915,2428,2487,20,178,19,159,533,473,12,45,3,53
"E02001393",7203,6598,2915,3683,4,117,32,85,448,403,2,37,6,36
"E02001394",8158,3820,1465,2355,26,1506,63,1443,2743,2569,30,116,28,63
"E02001395",6056,4963,1894,3069,14,155,28,127,896,803,9,70,14,28
"E02001396",7973,3700,1454,2246,14,1785,330,1455,2405,2303,2,81,19,69
"E02001397",7606,4944,2098,2846,12,1461,208,1253,1112,1052,4,45,11,77
"E02001398",7286,4085,1570,2515,34,1117,46,1071,1989,1896,0,84,9,61
"E02001399",7188,6268,2557,3711,5,391,21,370,484,456,6,20,2,40
"E02001400",6525,4408,1550,2858,11,1444,373,1071,567,503,4,48,12,95
"E02001401",7813,6145,2647,3498,27,534,95,439,1060,990,16,39,15,47
"E02001402",8241,6438,2534,3904,16,463,68,395,1268,1177,3,76,12,56
"E02001403",6010,2873,957,1916,44,1698,237,1461,1346,1277,0,55,14,49
"E02001404",7229,3237,1002,2235,5,2963,567,2396,980,923,3,42,12,44
"E02001405",9574,3270,1067,2203,21,5113,1217,3896,1076,1015,0,38,23,94
"E02006932",5312,512,201,311,140,922,88,834,3706,3533,19,60,94,32
"E02006933",5383,1245,467,778,9,1193,305,888,2866,2771,4,64,27,70
"E02006934",4367,801,238,563,20,322,46,276,3182,3098,8,55,21,42
