"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E02001347",3204,2250,923,27,4
"E02001348",3148,2318,802,24,4
"E02001349",3422,2536,870,14,2
"E02001350",3417,2474,903,34,6
"E02001351",3515,2455,1005,43,12
"E02001352",3046,2207,803,24,12
"E02001353",2959,2110,832,16,1
"E02001354",3312,2243,1024,41,4
"E02001355",3108,2367,716,23,2
"E02001356",2364,1535,774,49,6
"E02001357",2858,1923,877,53,5
"E02001358",3450,2556,858,29,7
"E02001359",2328,1764,537,24,3
"E02001360",4130,3047,1033,40,10
"E02001361",3388,2418,930,32,8
"E02001362",3161,2308,825,19,9
"E02001363",3481,2435,1000,41,5
"E02001364",2532,1922,575,31,4
"E02001365",4059,2961,1040,43,15
"E02001366",4081,3087,946,35,13
"E02001367",3939,3050,863,23,3
"E02001368",2918,2143,731,33,11
"E02001369",3877,2695,1112,53,17
"E02001370",3153,2303,806,36,8
"E02001371",3076,1986,1047,39,4
"E02001372",2728,2028,681,13,6
"E02001373",4089,2981,1046,45,17
"E02001374",4105,3061,969,48,27
"E02001375",3202,2351,822,25,4
"E02001376",3789,2587,1094,70,38
"E02001377",4063,2693,1265,68,37
"E02001378",3557,2613,900,38,6
"E02001380",3117,2361,743,12,1
"E02001381",4312,3081,1133,72,26
"E02001382",2782,2052,713,13,4
"E02001383",4260,3159,1025,48,28
"E02001384",3941,2417,1458,53,13
"E02001385",3631,2438,978,143,72
"E02001386",3572,2665,867,33,7
"E02001387",3162,2487,666,7,2
"E02001388",4170,3045,1104,13,8
"E02001389",3740,2987,697,26,30
"E02001390",4094,2815,1175,82,22
"E02001391",2481,1636,802,38,5
"E02001392",2556,2135,414,6,1
"E02001393",2845,2373,459,13,0
"E02001394",4290,3369,883,20,18
"E02001395",2612,2059,541,9,3
"E02001396",3918,2903,975,31,9
"E02001397",3848,3130,699,14,5
"E02001398",3595,2822,742,20,11
"E02001399",2866,2194,662,9,1
"E02001400",2839,2179,637,20,3
"E02001401",3395,2598,778,17,2
"E02001402",3762,3117,637,6,2
"E02001403",2841,2096,718,21,6
"E02001404",3155,2125,982,38,10
"E02001405",4154,2875,1222,51,6
"E02006932",3201,2022,1111,18,50
"E02006933",3135,2163,912,33,27
"E02006934",2782,1864,873,20,25
