"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E02001347",406,121,40,245
"E02001348",363,107,36,220
"E02001349",472,198,55,219
"E02001350",393,110,58,225
"E02001351",545,146,91,308
"E02001352",465,137,38,290
"E02001353",481,170,48,263
"E02001354",488,157,66,265
"E02001355",427,112,62,253
"E02001356",331,90,44,197
"E02001357",450,115,60,275
"E02001358",390,119,48,223
"E02001359",376,118,38,220
"E02001360",528,120,69,339
"E02001361",468,138,48,282
"E02001362",472,132,48,292
"E02001363",471,130,45,296
"E02001364",326,84,28,214
"E02001365",688,185,69,434
"E02001366",581,159,64,358
"E02001367",569,186,53,330
"E02001368",332,90,21,221
"E02001369",692,177,82,433
"E02001370",375,80,45,250
"E02001371",411,91,49,271
"E02001372",368,116,44,208
"E02001373",600,165,66,369
"E02001374",825,241,98,486
"E02001375",347,89,56,202
"E02001376",1149,349,122,678
"E02001377",5762,1097,580,4085
"E02001378",489,143,59,287
"E02001380",444,140,38,266
"E02001381",1422,412,133,877
"E02001382",492,167,38,287
"E02001383",2063,553,181,1329
"E02001384",4866,1200,379,3287
"E02001385",940,192,133,615
"E02001386",437,106,32,299
"E02001387",742,231,53,458
"E02001388",2836,611,266,1959
"E02001389",649,210,67,372
"E02001390",712,150,88,474
"E02001391",341,95,27,219
"E02001392",271,81,21,169
"E02001393",1001,299,114,588
"E02001394",2598,552,272,1774
"E02001395",403,149,25,229
"E02001396",666,211,61,394
"E02001397",398,138,37,223
"E02001398",927,265,92,570
"E02001399",566,168,55,343
"E02001400",447,130,48,269
"E02001401",450,149,44,257
"E02001402",477,139,34,304
"E02001403",332,105,29,198
"E02001404",401,106,33,262
"E02001405",507,108,45,354
"E02006932",6789,1556,778,4455
"E02006933",960,244,66,650
"E02006934",1598,421,141,1036
