"GeographyCode","QS611EW0001","QS611EW0002","QS611EW0003","QS611EW0004","QS611EW0005"
"E00032987",73,15,17,11,30
"E00032988",186,40,79,24,43
"E00032989",218,35,98,23,62
"E00032990",186,43,71,10,62
"E00032991",216,45,84,13,74
"E00032992",156,17,67,13,59
"E00032993",149,27,68,14,40
"E00032994",47,5,11,5,26
"E00032995",94,8,25,20,41
"E00032996",126,2,24,25,75
"E00032997",88,8,21,10,49
"E00032998",134,23,42,17,52
"E00032999",227,40,109,12,66
"E00033000",38,3,10,2,23
"E00033002",113,20,31,20,42
"E00033004",152,69,50,18,15
"E00033005",128,8,32,20,68
"E00033006",85,5,20,15,45
"E00033007",107,6,16,21,64
"E00033008",124,9,10,21,84
"E00033012",90,37,35,3,15
"E00033013",101,30,39,6,26
"E00033015",104,24,60,7,13
"E00033016",218,34,156,4,24
"E00033018",69,17,41,3,8
"E00033019",205,31,88,12,74
"E00033020",140,25,72,10,33
"E00033021",110,19,34,16,41
"E00033023",109,30,59,6,14
"E00033024",81,8,20,10,43
"E00033025",107,33,47,13,14
"E00033026",62,29,19,9,5
"E00033027",151,66,53,14,18
"E00033029",88,33,30,15,10
"E00033030",61,27,22,8,4
"E00033031",102,38,36,15,13
"E00033032",215,84,81,13,37
"E00033033",184,80,64,16,24
"E00033034",194,92,67,8,27
"E00033035",132,52,34,13,33
"E00033036",120,46,43,11,20
"E00033037",98,43,30,10,15
"E00033038",108,41,38,4,25
"E00033040",108,37,34,10,27
"E00033041",71,25,18,18,10
"E00033042",65,27,20,9,9
"E00033043",87,34,38,10,5
"E00033044",60,21,25,9,5
"E00033045",76,8,13,14,41
"E00033046",42,18,12,4,8
"E00033047",73,29,24,7,13
"E00033048",59,22,20,9,8
"E00033049",140,48,47,18,27
"E00033050",61,25,21,8,7
"E00033051",149,68,42,11,28
"E00033052",117,36,49,15,17
"E00033053",95,29,37,15,14
"E00033054",57,13,21,4,19
"E00033055",93,43,31,4,15
"E00033056",94,35,32,14,13
"E00033057",92,31,31,10,20
"E00033059",84,20,34,14,16
"E00033060",47,12,19,8,8
"E00033061",62,33,18,6,5
"E00033062",64,26,23,8,7
"E00033063",71,37,21,8,5
"E00033064",78,34,23,9,12
"E00033065",90,61,18,5,6
"E00033066",136,61,47,12,16
"E00033067",162,57,62,11,32
"E00033068",194,77,75,15,27
"E00033069",149,45,46,18,40
"E00033070",171,39,55,11,66
"E00033071",129,57,34,13,25
"E00033072",161,47,58,12,44
"E00033073",158,46,59,14,39
"E00033074",166,31,48,19,68
"E00033075",156,19,37,25,75
"E00033076",104,41,39,10,14
"E00033077",150,58,55,10,27
"E00033078",145,43,43,25,34
"E00033079",94,32,23,13,26
"E00033080",109,15,25,18,51
"E00033081",103,32,34,20,17
"E00033082",82,45,22,8,7
"E00033083",95,41,33,10,11
"E00033084",97,27,25,22,23
"E00033085",104,23,33,19,29
"E00033086",55,15,24,6,10
"E00033087",129,33,51,22,23
"E00033088",64,8,22,16,18
"E00033089",92,19,25,18,30
"E00033090",100,10,28,22,40
"E00033091",88,16,37,20,15
"E00033092",81,23,27,14,17
"E00033093",114,23,35,21,35
"E00033094",85,10,26,21,28
"E00033095",123,61,39,11,12
"E00033096",53,26,15,5,7
"E00033097",88,9,28,12,39
"E00033098",65,14,26,16,9
"E00033099",25,8,7,6,4
"E00033100",89,5,18,19,47
"E00033101",52,16,14,13,9
"E00033102",173,34,62,26,51
"E00033103",78,7,20,14,37
"E00033104",75,11,16,21,27
"E00033105",70,17,32,10,11
"E00033106",84,10,21,22,31
"E00033107",99,27,31,21,20
"E00033108",88,13,23,23,29
"E00033109",81,15,21,20,25
"E00033110",98,17,35,16,30
"E00033112",83,40,26,11,6
"E00033113",80,42,21,8,9
"E00033114",80,39,30,8,3
"E00033115",51,22,9,11,9
"E00033116",53,9,21,5,18
"E00033117",92,47,24,7,14
"E00033118",89,27,30,19,13
"E00033119",65,31,22,8,4
"E00033120",93,19,40,18,16
"E00033121",55,16,16,13,10
"E00033122",72,12,23,19,18
"E00033123",52,15,25,5,7
"E00033124",91,28,35,12,16
"E00033125",89,7,20,19,43
"E00033126",63,15,23,14,11
"E00033127",146,44,45,22,35
"E00033128",79,5,32,16,26
"E00033129",53,16,25,7,5
"E00033130",95,42,25,17,11
"E00033131",77,7,26,13,31
"E00033132",132,12,49,24,47
"E00033133",96,2,22,14,58
"E00033134",91,3,18,16,54
"E00033135",145,12,43,23,67
"E00033136",71,3,27,10,31
"E00033137",140,6,42,19,73
"E00033138",95,6,21,15,53
"E00033139",95,7,21,20,47
"E00033140",68,4,21,15,28
"E00033141",61,6,17,12,26
"E00033142",95,5,22,17,51
"E00033143",113,4,29,19,61
"E00033144",104,3,29,15,57
"E00033145",98,6,39,20,33
"E00033146",98,10,21,21,46
"E00033147",97,11,33,27,26
"E00033148",87,10,18,19,40
"E00033149",74,8,18,11,37
"E00033150",135,8,22,25,80
"E00033151",99,5,24,14,56
"E00033152",127,8,39,20,60
"E00033153",126,9,30,25,62
"E00033154",86,0,18,15,53
"E00033155",111,13,34,18,46
"E00033156",98,5,20,18,55
"E00033157",118,3,41,14,60
"E00033158",119,7,24,24,64
"E00033159",74,8,13,4,49
"E00033160",139,9,35,30,65
"E00033161",81,11,18,20,32
"E00033162",118,3,32,17,66
"E00033163",127,7,32,19,69
"E00033164",137,21,37,34,45
"E00033165",61,4,11,9,37
"E00033166",68,2,14,19,33
"E00033167",99,9,39,26,25
"E00033168",73,9,22,17,25
"E00033169",91,8,30,21,32
"E00033170",114,16,38,22,38
"E00033171",105,10,29,36,30
"E00033172",112,3,21,18,70
"E00033173",90,8,25,32,25
"E00033174",89,2,22,13,52
"E00033175",82,4,18,22,38
"E00033176",84,6,15,19,44
"E00033177",94,15,31,23,25
"E00033178",64,6,13,16,29
"E00033179",106,7,31,17,51
"E00033181",141,43,66,12,20
"E00033182",163,36,60,16,51
"E00033183",194,49,88,19,38
"E00033185",110,20,64,11,15
"E00033186",100,22,48,8,22
"E00033187",119,42,40,14,23
"E00033188",97,22,48,14,13
"E00033189",176,10,51,21,94
"E00033190",203,18,57,25,103
"E00033191",114,13,71,9,21
"E00033192",103,10,73,3,17
"E00033193",96,41,35,6,14
"E00033194",103,25,53,8,17
"E00033195",87,35,31,5,16
"E00033196",130,48,35,13,34
"E00033197",146,52,36,12,46
"E00033198",115,35,62,6,12
"E00033199",79,11,21,17,30
"E00033200",73,21,23,5,24
"E00033201",79,21,38,3,17
"E00033202",91,30,37,8,16
"E00033203",82,32,32,6,12
"E00033204",95,36,27,16,16
"E00033206",107,36,30,8,33
"E00033207",165,11,34,19,101
"E00033208",135,11,32,9,83
"E00033209",160,10,40,21,89
"E00033210",118,9,33,12,64
"E00033211",124,10,35,15,64
"E00033212",97,7,21,24,45
"E00033213",116,18,64,5,29
"E00033214",204,33,71,25,75
"E00033215",132,13,40,26,53
"E00033216",142,32,61,19,30
"E00033217",144,52,49,9,34
"E00033218",90,49,27,5,9
"E00033219",163,61,51,15,36
"E00033220",123,17,68,15,23
"E00033221",166,21,51,22,72
"E00033222",65,13,18,11,23
"E00033223",161,22,71,20,48
"E00033224",86,4,21,11,50
"E00033225",145,4,25,20,96
"E00033226",151,6,22,19,104
"E00033227",84,2,19,13,50
"E00033228",146,4,34,27,81
"E00033229",85,4,23,24,34
"E00033230",75,3,19,19,34
"E00033231",90,4,21,18,47
"E00033235",93,1,21,12,59
"E00033237",97,3,19,18,57
"E00033238",133,3,20,23,87
"E00033242",68,1,12,8,47
"E00033245",109,0,25,24,60
"E00033246",101,5,18,18,60
"E00033247",122,4,24,25,69
"E00033248",203,9,16,41,137
"E00033249",110,4,27,11,68
"E00033250",102,1,17,11,73
"E00033251",89,3,30,8,48
"E00033252",104,1,19,19,65
"E00033253",84,1,21,14,48
"E00033254",114,6,27,14,67
"E00033255",82,5,21,10,46
"E00033256",64,3,11,21,29
"E00033257",132,12,25,29,66
"E00033258",83,0,26,14,43
"E00033259",68,0,12,9,47
"E00033260",98,2,25,15,56
"E00033261",92,4,16,17,55
"E00033262",78,2,14,10,52
"E00033263",78,3,17,21,37
"E00033264",102,4,14,17,67
"E00033265",93,4,27,18,44
"E00033266",107,10,28,23,46
"E00033267",82,4,30,12,36
"E00033268",85,20,22,13,30
"E00033269",53,12,12,9,20
"E00033270",93,12,36,17,28
"E00033271",100,23,39,22,16
"E00033272",82,18,31,17,16
"E00033274",99,8,23,23,45
"E00033275",76,11,21,16,28
"E00033276",109,8,31,30,40
"E00033277",63,2,16,16,29
"E00033278",80,14,25,13,28
"E00033279",112,6,33,18,55
"E00033281",110,18,37,21,34
"E00033282",80,7,25,20,28
"E00033283",71,6,23,15,27
"E00033284",157,6,37,28,86
"E00033285",94,13,29,22,30
"E00033286",59,3,14,11,31
"E00033287",96,16,32,25,23
"E00033288",100,15,43,22,20
"E00033289",85,17,38,16,14
"E00033290",77,13,30,19,15
"E00033291",157,33,42,34,48
"E00033292",86,10,28,22,26
"E00033293",96,10,37,17,32
"E00033294",104,8,23,27,46
"E00033295",76,23,26,10,17
"E00033296",69,15,22,19,13
"E00033297",101,8,29,21,43
"E00033298",80,10,24,11,35
"E00033299",67,10,18,19,20
"E00033300",78,9,18,17,34
"E00033301",91,5,23,23,40
