"GeographyCode","QS408EW0001","QS408EW0002","QS408EW0003","QS408EW0004","QS408EW0005","QS408EW0006"
"E02001347",3204,1606,973,489,109,27
"E02001348",3148,1773,790,438,119,28
"E02001349",3422,2035,701,492,157,37
"E02001350",3417,1425,1150,665,141,36
"E02001351",3515,1599,964,719,171,62
"E02001352",3046,1248,839,702,194,63
"E02001353",2959,1726,817,334,69,13
"E02001354",3312,1433,990,667,180,42
"E02001355",3108,1509,893,504,154,48
"E02001356",2364,984,735,474,132,39
"E02001357",2858,1501,753,433,129,42
"E02001358",3450,1313,1206,690,199,42
"E02001359",2328,1471,490,257,87,23
"E02001360",4130,1410,1269,1023,333,95
"E02001361",3388,1577,976,626,174,35
"E02001362",3161,1907,668,456,102,28
"E02001363",3481,1386,1000,835,216,44
"E02001364",2532,923,798,614,155,42
"E02001365",4059,1831,1194,742,213,79
"E02001366",4081,1999,989,776,236,81
"E02001367",3939,2549,778,482,104,26
"E02001368",2918,791,1011,850,201,65
"E02001369",3877,904,1168,1139,520,146
"E02001370",3153,762,1084,935,279,93
"E02001371",3076,1326,928,635,150,37
"E02001372",2728,1314,684,536,156,38
"E02001373",4089,1998,1109,699,217,66
"E02001374",4105,1329,982,1141,456,197
"E02001375",3202,1674,826,529,143,30
"E02001376",3789,1295,1205,827,336,126
"E02001377",4063,1013,1002,1204,579,265
"E02001378",3557,1510,1044,743,195,65
"E02001380",3117,2229,539,277,65,7
"E02001381",4312,1392,1439,1026,319,136
"E02001382",2782,2131,425,165,46,15
"E02001383",4260,692,948,1573,743,304
"E02001384",3941,1360,993,1037,416,135
"E02001385",3631,821,1046,1019,495,250
"E02001386",3572,1453,1136,763,173,47
"E02001387",3162,2349,508,241,52,12
"E02001388",4170,2030,884,558,359,339
"E02001389",3740,531,910,1541,595,163
"E02001390",4094,1095,1285,1135,429,150
"E02001391",2481,1030,765,519,118,49
"E02001392",2556,1836,499,170,44,7
"E02001393",2845,2359,299,144,35,8
"E02001394",4290,1567,1064,1209,339,111
"E02001395",2612,1883,423,237,53,16
"E02001396",3918,1414,1179,974,293,58
"E02001397",3848,1784,975,858,213,18
"E02001398",3595,1534,889,871,237,64
"E02001399",2866,2218,399,198,41,10
"E02001400",2839,1730,547,443,95,24
"E02001401",3395,2236,624,404,113,18
"E02001402",3762,2428,700,487,136,11
"E02001403",2841,1174,789,637,196,45
"E02001404",3155,1360,912,646,188,49
"E02001405",4154,1649,1143,1035,272,55
"E02006932",3201,392,478,918,1014,399
"E02006933",3135,426,897,916,701,195
"E02006934",2782,157,587,1147,744,147
