"GeographyCode","QS114EW0001","QS114EW0002","QS114EW0003","QS114EW0004","QS114EW0005","QS114EW0006","QS114EW0007","QS114EW0008","QS114EW0009","QS114EW0010","QS114EW0011","QS114EW0012"
"E01006512",1420,431,28,403,989,81,4,194,412,63,67,168
"E01006513",1691,467,30,437,1224,38,26,57,534,0,31,538
"E01006514",1758,747,72,675,1011,57,20,126,412,15,42,339
"E01006515",1208,313,91,222,895,118,90,127,246,45,83,186
"E01006518",1630,389,139,250,1241,157,140,183,274,89,128,270
"E01006519",1286,128,66,62,1158,29,148,278,172,78,149,304
"E01006520",1685,805,140,665,880,38,40,127,540,10,39,86
"E01006521",1619,485,173,312,1134,84,180,171,366,48,41,244
"E01006522",1670,675,58,617,995,118,18,138,542,0,22,157
"E01006523",1473,448,78,370,1025,67,62,184,358,35,52,267
"E01006524",1079,273,72,201,806,39,122,167,250,21,77,130
"E01006525",1209,109,61,48,1100,18,164,220,164,25,155,354
"E01006526",1301,287,81,206,1014,51,128,247,236,36,114,202
"E01006527",1373,245,112,133,1128,75,162,258,184,40,100,309
"E01006528",1434,214,45,169,1220,67,84,249,234,44,151,391
"E01006529",1304,180,58,122,1124,35,102,325,212,68,87,295
"E01006530",1428,172,109,63,1256,46,258,285,172,21,141,333
"E01006531",1455,227,171,56,1228,29,328,197,168,52,111,343
"E01006532",1554,149,97,52,1405,26,240,294,192,114,202,337
"E01006533",1355,240,116,124,1115,55,170,205,162,63,135,325
"E01006534",1542,224,89,135,1318,84,122,240,182,71,259,360
"E01006535",1550,205,105,100,1345,85,142,238,226,52,189,413
"E01006536",1848,272,103,169,1576,122,212,258,276,64,268,376
"E01006537",2257,278,58,220,1979,220,194,376,390,81,232,486
"E01006538",1318,130,71,59,1188,62,152,234,162,50,176,352
"E01006539",1403,176,79,97,1227,23,200,233,218,60,160,333
"E01006540",1485,415,100,315,1070,252,58,182,134,16,170,258
"E01006541",1593,362,139,223,1231,151,178,217,202,21,146,316
"E01006542",1297,241,50,191,1056,117,86,188,142,64,193,266
"E01006543",1247,148,73,75,1099,72,128,191,132,43,137,396
"E01006544",1658,264,85,179,1394,235,150,233,206,79,209,282
"E01006545",1512,201,72,129,1311,240,124,219,176,69,195,288
"E01006546",1319,227,57,170,1092,212,68,179,156,62,173,242
"E01006547",1490,334,69,265,1156,175,104,187,158,73,170,289
"E01006548",1580,334,86,248,1246,272,106,250,154,61,141,262
"E01006549",1559,636,48,588,923,60,24,108,314,22,85,310
"E01006550",1595,118,27,91,1477,24,46,110,162,18,61,1056
"E01006551",1134,511,209,302,623,55,144,73,166,5,22,158
"E01006552",2027,346,48,298,1681,360,60,296,274,200,258,233
"E01006553",1880,167,29,138,1713,52,52,164,250,68,94,1033
"E01006554",1670,280,34,246,1390,29,48,136,214,58,157,748
"E01006556",2010,538,92,446,1472,291,74,225,228,119,212,323
"E01006557",2051,138,41,97,1913,50,38,81,202,70,103,1369
"E01006558",1357,380,93,287,977,177,78,152,212,49,108,201
"E01006560",1860,536,177,359,1324,209,174,177,192,48,178,346
"E01006562",1514,294,77,217,1220,248,78,216,180,72,150,276
"E01006563",1740,477,208,269,1263,244,176,189,112,78,166,298
"E01006564",1721,300,121,179,1421,125,230,167,242,52,217,388
"E01006565",1549,197,105,92,1352,95,176,246,168,64,228,375
"E01006566",1431,184,92,92,1247,72,98,285,172,56,228,336
"E01006567",1622,500,185,315,1122,111,166,177,156,69,124,319
"E01006568",1491,191,70,121,1300,152,100,295,228,58,166,301
"E01006569",1372,236,106,130,1136,63,172,154,152,71,216,308
"E01006570",1463,165,78,87,1298,95,144,256,180,70,165,388
"E01006571",1438,204,84,120,1234,108,144,211,170,68,199,334
"E01006572",1207,133,67,66,1074,222,108,180,168,73,109,214
"E01006573",1501,368,149,219,1133,204,138,213,192,64,106,216
"E01006574",1388,231,118,113,1157,133,130,266,118,92,129,289
"E01006575",1289,205,97,108,1084,81,164,203,156,40,154,286
"E01006576",1691,191,98,93,1500,68,166,416,302,31,184,333
"E01006577",1503,145,76,69,1358,39,156,335,202,70,179,377
"E01006578",1380,139,65,74,1241,62,130,300,210,93,170,276
"E01006579",1643,131,94,37,1512,42,190,396,178,100,211,395
"E01006580",1331,113,56,57,1218,30,160,266,170,65,173,354
"E01006581",1559,138,72,66,1421,33,184,398,190,84,168,364
"E01006582",1630,110,53,57,1520,42,166,356,182,73,334,367
"E01006583",1255,85,61,24,1170,9,174,291,134,69,165,328
"E01006584",1393,205,77,128,1188,70,156,249,200,68,174,271
"E01006585",1354,268,102,166,1086,108,144,161,170,63,147,293
"E01006586",1875,414,126,288,1461,149,152,301,288,20,203,348
"E01006587",1619,259,57,202,1360,78,120,246,258,114,192,352
"E01006588",1521,272,72,200,1249,28,120,209,304,45,113,430
"E01006589",1512,152,78,74,1360,55,146,366,192,72,164,365
