"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E00032987",87,3,0,3,0,51,3,48,32,32,0,0,0,1
"E00032988",200,23,14,9,0,130,1,129,47,45,0,0,2,0
"E00032989",232,11,3,8,0,176,4,172,45,42,0,1,2,0
"E00032990",219,22,8,14,13,127,8,119,56,55,0,1,0,1
"E00032991",219,10,4,6,0,133,6,127,74,69,0,2,3,2
"E00032992",165,10,5,5,0,134,8,126,20,18,0,2,0,1
"E00032993",166,28,9,19,1,61,13,48,72,62,0,8,2,4
"E00032994",63,3,0,3,0,46,16,30,12,10,0,2,0,2
"E00032995",149,38,25,13,0,81,6,75,26,24,0,2,0,4
"E00032996",181,25,5,20,0,145,51,94,6,4,0,0,2,5
"E00032997",106,40,20,20,1,33,1,32,29,24,0,5,0,3
"E00032998",164,39,16,23,0,64,13,51,56,53,0,3,0,5
"E00032999",236,17,14,3,0,126,8,118,90,87,0,3,0,3
"E00033000",87,5,0,5,0,78,4,74,2,2,0,0,0,2
"E00033002",129,35,15,20,0,49,6,43,39,33,0,4,2,6
"E00033004",167,99,47,52,0,3,0,3,63,58,1,2,2,2
"E00033005",176,30,8,22,1,119,18,101,20,18,0,0,2,6
"E00033006",120,47,25,22,0,49,2,47,24,23,0,1,0,0
"E00033007",155,7,2,5,8,120,15,105,16,13,0,0,3,4
"E00033008",147,17,3,14,1,117,51,66,11,10,0,0,1,1
"E00033012",104,78,43,35,0,1,0,1,24,18,0,2,4,1
"E00033013",115,37,22,15,0,30,1,29,47,45,0,1,1,1
"E00033015",109,28,15,13,2,3,0,3,74,69,0,5,0,2
"E00033016",226,66,35,31,6,43,2,41,109,98,0,3,8,2
"E00033018",72,10,7,3,2,25,0,25,35,35,0,0,0,0
"E00033019",218,5,1,4,1,155,5,150,57,56,1,0,0,0
"E00033020",143,14,2,12,4,49,2,47,75,63,1,5,6,1
