"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E00032987",198,187,9,2
"E00032988",348,309,31,8
"E00032989",333,284,34,15
"E00032990",330,281,40,9
"E00032991",320,287,32,1
"E00032992",240,220,15,5
"E00032993",282,243,29,10
"E00032994",111,105,6,0
"E00032995",268,264,4,0
"E00032996",417,412,3,2
"E00032997",211,197,11,3
"E00032998",337,307,20,10
"E00032999",359,300,50,9
"E00033000",177,171,5,1
"E00033002",227,216,8,3
"E00033004",252,226,16,10
"E00033005",402,392,5,5
"E00033006",271,262,5,4
"E00033007",317,311,6,0
"E00033008",345,339,5,1
"E00033012",149,119,21,9
"E00033013",202,168,25,9
"E00033015",209,151,15,43
"E00033016",597,412,45,140
"E00033018",270,77,182,11
"E00033019",350,286,54,10
"E00033020",231,156,64,11
"E00033021",262,250,10,2
"E00033023",433,227,192,14
"E00033024",178,170,6,2
"E00033025",265,252,11,2
"E00033026",219,209,7,3
"E00033027",393,348,29,16
"E00033029",240,227,9,4
"E00033030",321,241,79,1
"E00033031",309,286,21,2
"E00033032",347,309,34,4
"E00033033",288,266,13,9
"E00033034",313,288,20,5
"E00033035",359,341,14,4
"E00033036",191,174,13,4
"E00033037",314,296,9,9
"E00033038",166,156,6,4
"E00033040",270,242,27,1
"E00033041",262,252,6,4
"E00033042",239,224,8,7
"E00033043",252,233,13,6
"E00033044",239,224,10,5
"E00033045",215,208,2,5
"E00033046",180,155,17,8
"E00033047",328,321,2,5
"E00033048",252,249,3,0
"E00033049",372,356,16,0
"E00033050",227,216,6,5
"E00033051",308,291,8,9
"E00033052",379,301,73,5
"E00033053",278,253,25,0
"E00033054",158,154,4,0
"E00033055",244,226,12,6
"E00033056",278,265,13,0
"E00033057",292,275,14,3
"E00033059",307,299,5,3
"E00033060",204,194,5,5
"E00033061",235,224,9,2
"E00033062",264,253,4,7
"E00033063",259,245,10,4
"E00033064",235,225,2,8
"E00033065",293,280,7,6
"E00033066",242,227,9,6
"E00033067",279,257,11,11
"E00033068",327,290,29,8
"E00033069",248,228,14,6
"E00033070",279,263,14,2
"E00033071",275,251,17,7
"E00033072",304,260,38,6
"E00033073",257,249,7,1
"E00033074",299,284,10,5
"E00033075",254,251,3,0
"E00033076",397,378,10,9
"E00033077",292,265,22,5
"E00033078",329,318,9,2
"E00033079",230,213,17,0
"E00033080",197,195,2,0
"E00033081",220,216,4,0
"E00033082",312,296,9,7
"E00033083",336,319,10,7
"E00033084",325,313,3,9
"E00033085",321,304,13,4
"E00033086",249,242,3,4
"E00033087",397,383,13,1
"E00033088",239,231,4,4
"E00033089",302,301,1,0
