"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E00032987",198,19,115,18,46
"E00032988",298,58,179,16,45
"E00032989",333,59,197,25,52
"E00032990",326,37,204,36,49
"E00032991",320,27,218,29,46
"E00032992",240,45,157,29,9
"E00032993",282,79,141,22,40
"E00032994",111,21,44,33,13
"E00032995",268,50,120,60,38
"E00032996",417,46,222,70,79
"E00032997",211,46,110,40,15
"E00032998",337,56,190,50,41
"E00032999",359,77,182,36,64
"E00033000",177,19,98,26,34
"E00033002",227,57,84,35,51
"E00033004",252,99,121,25,7
"E00033005",336,58,158,51,69
"E00033006",271,36,145,50,40
"E00033007",317,73,135,29,80
"E00033008",345,48,139,87,71
"E00033012",149,39,85,3,22
"E00033013",202,42,90,18,52
"E00033015",209,36,102,30,41
"E00033016",448,65,179,60,144
"E00033018",140,28,76,25,11
"E00033019",350,81,177,33,59
"E00033020",231,36,140,32,23
"E00033021",262,46,120,44,52
"E00033023",298,39,157,52,50
"E00033024",178,52,89,30,7
"E00033025",265,55,119,56,35
"E00033026",219,29,123,57,10
"E00033027",366,45,219,51,51
"E00033029",240,41,129,57,13
"E00033030",240,51,140,42,7
"E00033031",309,73,141,82,13
"E00033032",347,60,228,19,40
"E00033033",288,55,164,17,52
"E00033034",313,52,176,16,69
"E00033035",324,60,191,42,31
"E00033036",191,57,103,15,16
"E00033037",276,70,159,19,28
"E00033038",166,36,99,6,25
"E00033040",270,48,166,25,31
"E00033041",262,39,142,70,11
"E00033042",239,37,130,41,31
"E00033043",252,62,154,36,0
"E00033044",239,34,136,63,6
"E00033045",215,35,135,29,16
"E00033046",180,60,105,0,15
"E00033047",282,39,160,66,17
"E00033048",252,39,154,54,5
"E00033049",372,40,219,94,19
"E00033050",227,29,149,39,10
"E00033051",308,86,150,39,33
"E00033052",377,76,195,84,22
"E00033053",278,48,139,71,20
"E00033054",158,23,85,23,27
"E00033055",244,53,133,53,5
"E00033056",278,35,177,61,5
"E00033057",292,40,148,74,30
"E00033059",307,45,163,52,47
"E00033060",204,48,109,42,5
"E00033061",235,54,100,52,29
"E00033062",264,52,121,86,5
"E00033063",259,59,147,36,17
"E00033064",235,31,152,37,15
"E00033065",293,79,169,45,0
"E00033066",242,42,145,13,42
