"GeographyCode","QS410EW0001","QS410EW0002","QS410EW0003","QS410EW0004","QS410EW0005"
"E01006512",1420,723,565,96,36
"E01006513",1691,705,906,32,48
"E01006514",1758,995,710,21,32
"E01006515",1208,634,498,66,10
"E01006518",1630,879,643,84,24
"E01006519",1286,898,374,14,0
"E01006520",1685,1212,448,10,15
"E01006521",1619,1088,495,19,17
"E01006522",1670,1073,567,10,20
"E01006523",1473,943,505,9,16
"E01006524",1079,753,316,4,6
"E01006525",1209,815,388,6,0
"E01006526",1301,843,427,31,0
"E01006527",1373,848,525,0,0
"E01006528",1434,874,542,16,2
"E01006529",1304,792,502,6,4
"E01006530",1428,928,477,23,0
"E01006531",1455,973,480,0,2
"E01006532",1554,1119,424,11,0
"E01006533",1355,906,444,0,5
"E01006534",1542,855,648,34,5
"E01006535",1550,911,610,29,0
"E01006536",1848,1107,709,24,8
"E01006537",2257,1222,974,61,0
"E01006538",1318,737,575,6,0
"E01006539",1403,1059,329,15,0
"E01006540",1485,806,586,77,16
"E01006541",1593,946,623,17,7
"E01006542",1297,748,549,0,0
"E01006543",1247,615,614,18,0
"E01006544",1658,822,782,49,5
"E01006545",1512,793,684,35,0
"E01006546",1319,723,555,37,4
"E01006547",1490,824,614,42,10
"E01006548",1580,833,671,62,14
"E01006549",1559,969,524,36,30
"E01006550",1595,464,1093,38,0
"E01006551",1134,781,345,4,4
"E01006552",2027,886,906,150,85
"E01006553",1880,775,1063,35,7
"E01006554",1670,754,835,50,31
"E01006556",2010,1091,724,134,61
"E01006557",2051,574,1408,64,5
"E01006558",1357,816,515,23,3
"E01006560",1860,1004,737,96,23
"E01006562",1514,813,607,86,8
"E01006563",1740,906,755,72,7
"E01006564",1721,879,779,57,6
"E01006565",1549,779,708,62,0
"E01006566",1431,707,672,36,16
"E01006567",1622,1037,567,5,13
"E01006568",1491,770,703,18,0
"E01006569",1372,725,596,38,13
"E01006570",1463,879,568,10,6
"E01006571",1438,689,699,39,11
"E01006572",1207,535,636,36,0
"E01006573",1501,898,576,27,0
"E01006574",1388,645,707,31,5
"E01006575",1289,762,516,11,0
"E01006576",1691,983,699,9,0
"E01006577",1503,918,577,8,0
"E01006578",1380,730,613,32,5
"E01006579",1643,972,628,38,5
"E01006580",1331,849,467,11,4
"E01006581",1559,934,612,9,4
"E01006582",1630,955,675,0,0
"E01006583",1255,863,375,17,0
"E01006584",1393,833,549,11,0
"E01006585",1354,757,531,57,9
"E01006586",1875,1113,746,16,0
"E01006587",1619,892,689,38,0
"E01006588",1521,973,529,13,6
"E01006589",1512,854,647,11,0
"E01006590",1637,940,689,8,0
"E01006591",1633,1018,590,18,7
"E01006592",1541,1106,423,12,0
