"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E00032987",47,19,4,5,10,2,1,1,2,3,0,43
"E00032988",43,23,5,3,8,0,2,2,0,0,0,25
"E00032989",41,19,5,4,3,5,1,0,1,3,0,36
"E00032990",54,34,10,2,5,2,0,0,0,0,1,24
"E00032991",46,27,4,3,7,4,0,1,0,0,0,24
"E00032992",30,12,2,7,6,1,0,1,0,1,0,22
"E00032993",48,31,4,2,3,2,2,1,1,2,0,29
"E00032994",23,6,1,2,4,2,4,1,2,1,0,33
"E00032995",64,36,7,3,8,0,3,2,4,1,0,46
"E00032996",112,55,8,8,9,6,9,6,5,4,2,112
"E00032997",51,24,7,4,5,3,3,3,1,1,0,42
"E00032998",88,49,8,7,9,5,5,0,5,0,0,64
"E00032999",54,38,1,2,5,1,3,0,3,1,0,30
"E00033000",44,26,1,1,5,2,1,5,0,3,0,36
"E00033002",48,23,3,3,9,2,1,2,4,0,1,41
"E00033004",60,47,4,4,4,0,0,0,1,0,0,15
"E00033005",89,48,4,3,14,5,9,1,3,2,0,71
"E00033006",82,48,6,3,12,4,3,2,2,1,1,53
"E00033007",75,35,5,4,9,5,6,2,6,3,0,80
"E00033008",89,32,8,7,13,4,6,5,10,3,1,111
"E00033012",35,30,2,0,1,1,0,1,0,0,0,7
"E00033013",43,21,5,3,7,4,0,1,1,0,1,33
"E00033015",45,32,4,0,1,7,0,0,1,0,0,23
"E00033016",69,23,10,2,4,11,3,1,12,3,0,98
"E00033018",17,14,2,0,0,0,1,0,0,0,0,4
"E00033019",42,23,4,5,4,3,0,0,2,0,1,30
"E00033020",27,23,2,2,0,0,0,0,0,0,0,4
"E00033021",66,40,6,3,4,5,3,1,3,1,0,44
"E00033023",41,25,4,1,6,3,2,0,0,0,0,23
"E00033024",43,27,3,3,6,2,0,0,1,1,0,24
"E00033025",73,47,8,4,2,5,6,1,0,0,0,39
"E00033026",63,34,7,2,3,5,8,2,2,0,0,48
"E00033027",68,44,4,2,7,4,2,2,3,0,0,38
"E00033029",60,43,4,4,0,3,5,0,0,1,0,31
"E00033030",70,40,3,2,12,2,6,3,0,1,1,46
"E00033031",87,51,4,3,14,3,6,3,1,2,0,54
"E00033032",60,49,5,2,2,2,0,0,0,0,0,13
"E00033033",54,37,7,3,4,2,1,0,0,0,0,20
"E00033034",65,52,4,4,0,2,2,1,0,0,0,18
"E00033035",82,58,3,2,7,7,3,0,2,0,0,38
"E00033036",41,26,3,7,4,1,0,0,0,0,0,16
"E00033037",72,49,9,3,3,4,3,1,0,0,0,31
"E00033038",28,18,5,2,1,0,0,0,1,1,0,16
"E00033040",55,34,4,2,3,8,1,0,2,1,0,41
"E00033041",77,40,5,3,7,8,4,7,0,3,0,63
"E00033042",70,46,7,1,6,1,2,4,0,2,1,37
"E00033043",71,42,10,1,7,4,4,2,1,0,0,41
"E00033044",69,43,3,1,9,5,4,3,1,0,0,40
"E00033045",47,29,2,3,4,1,3,1,2,2,0,32
"E00033046",41,38,2,0,0,0,0,0,1,0,0,5
"E00033047",87,53,7,2,6,7,6,2,0,4,0,58
"E00033048",76,46,2,1,9,7,7,3,0,1,0,49
"E00033049",104,51,18,3,9,9,9,2,3,0,0,81
"E00033050",73,52,5,1,2,3,5,4,1,0,0,35
"E00033051",85,69,1,4,4,0,4,2,1,0,0,25
"E00033052",70,45,8,2,4,5,1,1,1,3,0,42
"E00033053",68,37,5,3,7,5,6,1,3,1,0,54
"E00033054",46,24,4,2,9,3,1,0,1,2,0,33
"E00033055",64,34,7,3,4,4,5,1,6,0,0,55
"E00033056",82,48,10,4,3,6,5,2,1,3,0,55
"E00033057",81,40,13,4,9,5,7,0,1,2,0,60
"E00033059",84,50,4,4,6,6,7,3,1,3,0,61
"E00033060",55,40,0,3,2,3,3,3,1,0,0,27
"E00033061",61,33,2,2,7,3,4,6,3,0,1,53
"E00033062",73,42,2,1,6,9,6,4,1,1,1,56
"E00033063",81,54,5,2,5,0,5,3,2,4,1,51
"E00033064",72,34,6,1,12,6,8,3,1,1,0,59
"E00033065",87,48,3,5,11,4,9,2,3,2,0,69
"E00033066",57,42,4,0,6,2,1,1,1,0,0,21
"E00033067",56,40,3,2,2,3,2,2,2,0,0,28
"E00033068",70,56,6,3,1,1,0,1,1,1,0,20
"E00033069",48,34,7,1,1,3,0,1,1,0,0,21
"E00033070",47,29,3,7,5,0,0,1,2,0,0,23
"E00033071",68,48,4,4,4,3,1,0,2,2,0,34
"E00033072",47,32,5,2,4,2,2,0,0,0,0,19
"E00033073",44,39,2,1,1,0,0,0,0,0,1,7
"E00033074",49,17,3,9,11,6,3,0,0,0,0,43
"E00033075",17,10,3,4,0,0,0,0,0,0,0,7
"E00033076",81,54,2,5,7,5,2,1,2,1,2,47
"E00033077",56,41,4,3,6,0,2,0,0,0,0,18
"E00033078",52,31,9,4,3,2,1,1,1,0,0,27
"E00033079",46,27,1,1,4,4,4,0,3,1,1,39
"E00033080",32,19,2,3,2,5,1,0,0,0,0,19
"E00033081",62,42,7,2,7,1,2,0,1,0,0,25
"E00033082",97,61,1,3,12,2,7,2,2,3,4,67
"E00033083",102,63,2,2,11,1,8,3,4,5,3,77
"E00033084",91,52,4,6,7,4,11,3,2,2,0,69
"E00033085",98,61,5,4,9,7,4,4,2,2,0,60
"E00033086",86,64,2,3,10,3,1,1,0,1,1,33
"E00033087",114,49,3,9,19,8,11,7,3,4,1,109
"E00033088",75,51,6,2,10,0,1,2,3,0,0,36
"E00033089",78,32,8,3,16,7,3,2,4,2,1,73
"E00033090",113,70,7,6,8,7,7,2,2,4,0,73
"E00033091",96,61,2,2,18,2,2,5,2,2,0,52
"E00033092",93,62,4,2,9,3,7,3,1,1,1,53
"E00033093",110,63,4,8,15,6,7,3,2,2,0,72
"E00033094",100,65,6,4,8,5,5,5,0,2,0,54
"E00033095",123,76,3,6,13,3,5,10,2,5,0,82
"E00033096",81,55,5,0,3,5,5,5,1,2,0,47
"E00033097",85,46,8,4,11,1,7,7,1,0,0,56
"E00033098",85,63,2,2,6,2,3,0,3,4,0,44
"E00033099",37,26,2,0,2,2,2,1,0,1,1,20
"E00033100",83,53,5,3,8,2,9,0,1,2,0,52
"E00033101",61,46,3,1,2,4,2,0,1,2,0,30
"E00033102",119,61,15,6,14,9,7,4,2,0,1,84
"E00033103",86,53,3,2,9,2,4,5,2,5,1,60
"E00033104",75,38,3,3,13,1,4,6,2,5,0,68
"E00033105",86,55,2,5,9,3,7,3,0,2,0,48
"E00033106",87,54,4,9,6,4,2,4,2,2,0,56
"E00033107",108,64,6,6,12,3,6,2,5,4,0,76
"E00033108",96,46,1,6,22,5,8,5,3,0,0,74
"E00033109",99,60,4,8,6,5,7,4,3,1,1,65
"E00033110",108,73,4,4,12,3,8,2,1,1,0,53
"E00033112",93,55,6,2,7,7,3,8,1,2,2,68
"E00033113",78,55,3,1,10,3,1,4,0,0,1,33
"E00033114",97,59,1,3,13,3,8,5,4,1,0,69
"E00033115",30,24,2,0,4,0,0,0,0,0,0,6
"E00033116",28,26,0,0,0,0,2,0,0,0,0,4
"E00033117",112,62,8,3,7,7,11,7,1,5,1,91
"E00033118",105,66,5,3,11,8,3,6,1,2,0,62
"E00033119",77,45,2,1,9,7,4,3,1,3,2,59
"E00033120",91,46,7,4,9,4,10,8,2,1,0,76
"E00033121",63,46,1,2,3,4,2,3,1,1,0,30
"E00033122",84,57,3,0,6,8,4,3,1,2,0,53
"E00033123",81,61,3,0,4,4,6,2,0,1,0,35
"E00033124",84,49,0,6,8,1,7,4,1,7,1,66
"E00033125",44,26,2,2,8,1,2,1,1,1,0,27
"E00033126",78,59,3,1,5,1,3,5,1,0,0,30
"E00033127",116,66,2,4,17,9,10,2,2,3,1,83
"E00033128",76,39,7,5,10,2,2,6,2,3,0,60
"E00033129",73,53,1,1,9,2,4,0,2,1,0,34
"E00033130",103,61,3,1,12,5,5,7,5,2,2,78
"E00033131",69,30,4,3,14,3,3,4,3,5,0,66
"E00033132",116,58,14,6,14,4,9,5,5,1,0,93
"E00033133",107,42,8,5,22,5,9,7,1,7,1,106
"E00033134",45,19,6,6,5,4,0,3,2,0,0,37
"E00033135",133,54,17,6,22,11,5,6,8,4,0,128
"E00033136",63,30,6,6,3,5,3,3,1,6,0,60
"E00033137",67,27,16,7,8,2,3,1,3,0,0,57
"E00033138",33,17,7,4,1,2,1,0,1,0,0,22
"E00033139",62,44,2,2,8,2,1,1,1,1,0,26
"E00033140",59,30,5,11,5,4,2,0,1,1,0,39
"E00033141",56,30,3,0,7,4,6,3,1,2,0,49
"E00033142",77,36,5,4,10,4,4,6,6,2,0,77
"E00033143",59,17,10,6,5,5,2,1,8,5,0,85
"E00033144",54,29,10,5,4,3,0,0,3,0,0,34
"E00033145",85,37,12,5,7,10,7,2,3,2,0,79
"E00033146",80,37,5,5,7,3,6,4,6,7,0,90
"E00033147",82,44,1,4,9,4,7,6,2,5,0,70
"E00033148",72,29,10,4,9,5,6,3,2,3,1,69
"E00033149",67,40,6,1,5,3,4,3,4,1,0,49
"E00033150",90,33,19,9,8,4,6,3,4,3,1,91
"E00033151",57,19,9,7,6,6,2,1,4,2,1,70
"E00033152",73,35,8,5,10,5,3,3,2,2,0,59
"E00033153",89,45,11,9,12,4,6,0,1,1,0,58
"E00033154",31,12,5,3,7,3,1,0,0,0,0,23
"E00033155",72,30,11,8,11,4,4,2,2,0,0,56
"E00033156",58,32,3,4,7,5,1,1,4,1,0,45
"E00033157",76,25,14,4,10,7,4,2,8,2,0,93
"E00033158",86,21,15,3,19,13,6,5,1,3,0,97
"E00033159",55,15,7,6,8,5,1,0,7,2,4,77
"E00033160",80,34,5,5,11,7,2,3,7,6,0,89
"E00033161",63,33,5,2,4,9,2,4,0,3,1,54
"E00033162",60,19,8,8,8,4,2,3,3,5,0,74
"E00033163",54,23,6,5,9,3,3,2,1,2,0,50
"E00033164",105,52,11,3,14,9,8,2,3,3,0,85
"E00033165",25,11,2,6,1,2,0,1,1,1,0,21
"E00033166",31,23,4,0,2,0,2,0,0,0,0,11
"E00033167",98,54,8,6,7,10,5,1,3,3,1,75
"E00033168",87,59,1,3,10,3,4,2,3,2,0,52
"E00033169",90,54,4,2,11,7,3,4,3,1,1,61
"E00033170",107,57,3,11,15,6,11,2,2,0,0,74
"E00033171",98,50,6,6,15,4,9,3,0,5,0,75
"E00033172",31,18,1,1,4,1,1,3,1,1,0,25
"E00033173",89,53,9,2,9,4,4,6,1,0,1,54
"E00033174",85,34,6,4,16,5,10,1,4,4,1,88
"E00033175",83,45,5,3,7,3,5,6,5,4,0,75
"E00033176",70,32,3,8,4,4,2,6,4,7,0,84
"E00033177",91,46,5,12,15,5,4,0,3,1,0,66
"E00033178",41,24,2,2,2,4,2,4,1,0,0,31
"E00033179",97,46,8,4,13,7,6,6,4,3,0,87
"E00033181",60,34,6,1,5,0,5,2,6,1,0,51
"E00033182",58,30,11,2,4,3,2,2,2,1,1,44
"E00033183",54,36,4,2,5,2,0,2,3,0,0,33
"E00033185",45,24,3,1,2,3,2,2,4,4,0,45
"E00033186",34,19,2,0,4,3,1,0,4,1,0,30
"E00033187",38,31,3,0,4,0,0,0,0,0,0,7
"E00033188",51,34,2,2,2,1,4,0,2,4,0,42
"E00033189",112,42,10,10,18,9,5,1,12,4,1,139
"E00033190",140,34,27,18,4,26,4,0,19,8,0,196
"E00033191",44,28,1,2,2,2,1,4,2,1,1,33
"E00033192",29,17,1,0,2,1,2,0,3,3,0,32
"E00033193",55,32,3,1,6,2,6,0,0,5,0,42
"E00033194",43,24,2,2,7,2,1,1,0,4,0,36
"E00033195",51,33,3,3,3,4,1,1,0,2,1,30
"E00033196",29,21,3,0,0,0,3,0,2,0,0,21
"E00033197",77,63,5,2,4,1,0,0,1,1,0,19
"E00033198",65,34,8,3,7,7,1,4,0,1,0,45
"E00033199",28,23,1,0,1,0,3,0,0,0,0,8
"E00033200",28,17,1,4,2,2,2,0,0,0,0,15
"E00033201",50,34,2,3,5,0,2,1,2,1,0,25
"E00033202",42,23,4,1,2,1,5,2,1,3,0,37
