"GeographyCode","QS607EW0001","QS607EW0002","QS607EW0003","QS607EW0004","QS607EW0005","QS607EW0006","QS607EW0007","QS607EW0008","QS607EW0009","QS607EW0010","QS607EW0011","QS607EW0012","QS607EW0013","QS607EW0014","QS607EW0015","QS607EW0016","QS607EW0017","QS607EW0018","QS607EW0019","QS607EW0020","QS607EW0021","QS607EW0022","QS607EW0023","QS607EW0024","QS607EW0025","QS607EW0026","QS607EW0027","QS607EW0028","QS607EW0029","QS607EW0030","QS607EW0031","QS607EW0032","QS607EW0033","QS607EW0034","QS607EW0035","QS607EW0036","QS607EW0037","QS607EW0038","QS607EW0039","QS607EW0040","QS607EW0041","QS607EW0042","QS607EW0043","QS607EW0044","QS607EW0045","QS607EW0046","QS607EW0047","QS607EW0048","QS607EW0049","QS607EW0050","QS607EW0051","QS607EW0052","QS607EW0053","QS607EW0054","QS607EW0055"
"E00032987",157,12,2,0,2,10,5,3,2,0,25,17,13,0,4,0,7,1,12,6,5,1,0,8,1,1,0,7,7,0,17,7,10,9,1,25,8,8,1,4,0,3,1,17,6,1,0,10,0,23,20,3,18,18,0
"E00032988",314,40,6,0,6,34,28,2,3,1,73,55,43,1,11,0,12,6,21,12,2,4,3,22,4,4,0,18,18,0,18,10,8,6,2,29,7,13,2,5,0,1,1,32,8,1,9,14,0,32,19,13,47,47,0
"E00032989",294,29,5,0,5,24,19,2,2,1,64,39,27,4,8,0,15,10,26,15,7,4,0,16,5,5,0,11,9,2,9,5,4,4,0,41,14,23,1,1,0,0,2,15,2,2,3,8,0,40,30,10,54,54,0
"E00032990",289,44,5,0,5,39,33,6,0,0,64,46,34,5,5,2,15,3,21,9,7,5,0,14,9,9,0,5,4,1,7,5,2,2,0,35,9,19,0,6,0,1,0,18,5,0,3,10,0,33,21,12,53,53,0
"E00032991",300,33,5,0,5,28,21,4,2,1,62,46,37,3,5,1,12,4,28,19,6,2,1,8,0,0,0,8,7,1,12,8,4,4,0,37,8,23,1,3,0,0,2,17,7,0,2,8,0,50,24,26,53,53,0
"E00032992",219,12,1,0,1,11,9,2,0,0,35,30,24,4,2,0,4,1,20,12,4,4,0,7,4,4,0,3,3,0,11,3,8,8,0,22,4,12,1,3,0,1,1,13,2,0,0,11,0,47,26,21,52,52,0
"E00032993",245,22,0,0,0,22,16,5,1,0,42,33,20,3,10,0,6,3,23,14,5,2,2,14,9,9,0,5,5,0,14,5,9,7,2,38,14,19,1,1,0,3,0,17,5,2,4,6,0,22,19,3,53,53,0
"E00032994",76,4,0,0,0,4,2,1,0,1,7,5,3,0,2,0,2,0,8,4,2,2,0,3,0,0,0,3,3,0,7,6,1,1,0,14,1,11,0,2,0,0,0,11,0,2,1,8,0,11,9,2,11,11,0
"E00032995",190,9,1,0,1,8,5,3,0,0,18,12,10,2,0,0,2,4,22,16,4,1,1,8,0,0,0,8,8,0,7,4,3,3,0,36,3,21,6,3,0,1,2,38,3,6,8,21,0,32,28,4,20,20,0
"E00032996",284,9,2,0,2,7,5,2,0,0,14,8,6,0,2,0,3,3,30,14,14,2,0,13,2,2,0,11,11,0,29,18,11,10,1,61,16,28,5,8,0,2,2,53,7,6,13,27,0,55,48,7,20,20,0
