"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E02001347",5565,77,15,279,362,61,8,1809,226,46,469,26,2187
"E02001348",5381,66,22,324,469,68,15,1739,237,62,454,17,1908
"E02001349",6024,73,44,592,408,60,13,2116,262,76,387,26,1967
"E02001350",5534,49,7,56,612,44,16,1762,240,41,229,26,2452
"E02001351",6593,53,13,105,711,59,7,1596,240,78,433,20,3278
"E02001352",5749,92,17,236,571,34,15,1275,200,52,484,19,2754
"E02001353",5626,117,0,47,577,47,13,2746,269,35,101,19,1655
"E02001354",5517,40,6,59,751,56,25,1545,263,61,268,19,2424
"E02001355",5038,50,3,62,728,53,4,1319,221,49,272,22,2255
"E02001356",3868,38,2,24,566,43,10,850,125,39,189,10,1972
"E02001357",4940,32,3,28,744,52,14,1104,167,33,263,20,2480
"E02001358",5310,32,6,133,873,73,14,1110,236,42,339,17,2435
"E02001359",4403,69,3,32,461,37,10,1760,213,21,137,22,1638
"E02001360",6444,33,22,351,727,46,13,1124,218,49,377,27,3457
"E02001361",5666,45,12,44,845,43,13,1536,243,38,297,28,2522
"E02001362",5471,58,7,45,757,44,14,1762,234,51,211,23,2265
"E02001363",5578,44,6,39,676,50,13,1530,246,43,245,21,2665
"E02001364",3920,49,7,38,584,33,7,634,138,23,247,9,2151
"E02001365",6559,71,6,42,1104,71,15,1459,273,80,388,35,3015
"E02001366",6768,75,14,53,986,64,18,1907,290,64,352,21,2924
"E02001367",6888,136,5,50,689,46,14,2867,280,58,317,25,2401
"E02001368",4349,35,10,105,454,39,2,684,130,30,382,18,2460
"E02001369",6096,47,9,130,658,55,7,1074,163,45,690,20,3198
"E02001370",4553,24,7,33,553,35,6,616,117,31,292,10,2829
"E02001371",5162,43,3,65,669,64,13,1551,220,37,251,20,2226
"E02001372",4514,67,6,46,509,46,9,1524,154,36,266,25,1826
"E02001373",6860,76,4,80,1014,47,20,1855,271,57,546,33,2857
"E02001374",6580,81,16,105,997,51,13,1327,191,107,465,19,3208
"E02001375",5152,55,11,48,738,45,15,1387,189,49,429,17,2169
"E02001376",6362,58,11,105,986,55,18,930,173,66,574,21,3365
"E02001377",10129,65,20,174,630,84,6,879,167,76,1181,23,6824
"E02001378",5940,99,10,158,671,61,19,1832,195,74,370,20,2431
"E02001380",5545,120,10,180,527,36,18,2280,243,50,234,20,1827
"E02001381",7252,79,14,213,1116,60,13,1567,171,94,556,24,3345
"E02001382",5318,98,6,136,472,30,11,2403,205,57,193,24,1683
"E02001383",6363,102,28,249,437,37,17,722,94,87,1152,25,3413
"E02001384",9395,108,12,194,1328,58,9,1450,182,153,561,31,5309
"E02001385",5650,62,10,88,601,43,10,782,90,63,382,25,3494
"E02001386",5525,47,5,59,718,40,18,1343,160,54,308,12,2761
"E02001387",5965,202,14,107,659,19,17,2510,180,89,258,19,1891
"E02001388",7601,143,14,173,1023,41,19,1965,207,124,482,26,3384
"E02001389",5287,104,34,181,673,37,11,1287,125,212,381,34,2208
"E02001390",6416,71,15,142,823,63,11,1001,150,66,507,38,3529
"E02001391",4341,27,2,38,634,24,10,1137,171,25,180,21,2072
"E02001392",4162,153,3,103,245,30,16,1788,133,23,95,16,1557
"E02001393",5877,250,18,99,283,13,12,2574,180,48,161,25,2214
"E02001394",8431,217,36,285,769,40,15,2259,203,179,378,38,4012
"E02001395",4565,130,20,240,346,18,12,1883,166,75,252,19,1404
"E02001396",6422,103,93,467,685,44,19,1741,228,127,357,21,2537
"E02001397",5586,135,18,174,446,26,19,2159,178,53,203,20,2155
"E02001398",6188,152,68,328,641,24,12,2071,174,130,244,22,2322
"E02001399",5426,133,31,268,321,32,20,2226,183,88,214,24,1886
"E02001400",4942,88,24,262,438,32,13,1658,171,56,164,23,2013
"E02001401",5694,89,21,322,301,38,10,2172,210,88,318,40,2085
"E02001402",6356,226,88,497,329,32,20,2592,180,99,187,27,2079
"E02001403",4546,56,22,240,500,38,17,1260,168,70,317,16,1842
"E02001404",5265,40,9,155,529,60,13,1332,238,98,414,17,2360
"E02001405",6696,40,5,87,803,61,13,1440,221,90,510,14,3412
"E02006932",9719,118,58,427,361,50,10,704,169,36,1830,25,5931
"E02006933",4829,109,31,252,278,44,5,1194,117,40,1070,29,1660
"E02006934",4975,107,66,308,235,41,5,969,117,39,1395,30,1663
