"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E02001347",3326,3326,0,0,3326,3204,122,531,1041,1460,273,8,12,1,100,0,0,96.3319302465424,3.66806975345761,15.9651232711966,31.2988574864702,43.8965724594107,8.2080577269994,0.240529164161155,0.360793746241732,0.0300661455201443
"E02001348",3253,3250,1,2,3260,3148,112,46,841,2139,66,100,68,0,99.9077774362127,0.0307408545957578,0.0614817091915155,96.5644171779141,3.43558282208589,1.41104294478528,25.7975460122699,65.6134969325153,2.02453987730061,3.06748466257669,2.08588957055215,0
"E02001349",3500,3495,0,5,3522,3422,100,285,967,1727,310,152,81,0,99.8571428571429,0,0.142857142857143,97.160704145372,2.83929585462805,8.09199318568995,27.4559909142533,49.0346394094265,8.80181714934696,4.31572969903464,2.29982964224872,0
"E02001350",3523,3523,0,0,3523,3417,106,466,1230,1404,405,13,5,0,100,0,0,96.9912006812376,3.00879931876242,13.2273630428612,34.9134260573375,39.8523985239852,11.4958841896111,0.3690036900369,0.141924496168039,0
"E02001351",3608,3608,0,0,3608,3515,93,297,845,2112,316,17,20,1,100,0,0,97.4223946784922,2.57760532150776,8.23170731707317,23.420177383592,58.5365853658537,8.75831485587583,0.471175166297118,0.554323725055432,0.0277161862527716
"E02001352",3144,3139,2,3,3154,3046,108,74,800,1514,505,220,41,0,99.8409669211196,0.0636132315521628,0.0954198473282443,96.575776791376,3.42422320862397,2.34622701331642,25.3646163601775,48.002536461636,16.0114140773621,6.97526949904883,1.2999365884591,0
"E02001353",3007,3007,0,0,3007,2959,48,1262,1301,427,10,2,5,0,100,0,0,98.4037246425008,1.59627535749917,41.9687396075823,43.2657133355504,14.2001995344197,0.33255736614566,0.066511473229132,0.16627868307283,0
"E02001354",3368,3368,0,0,3368,3312,56,159,1610,1255,329,7,8,0,100,0,0,98.3372921615202,1.66270783847981,4.7209026128266,47.8028503562945,37.2624703087886,9.76840855106888,0.207838479809976,0.237529691211401,0
"E02001355",3292,3292,0,0,3292,3108,184,41,392,2375,347,75,62,0,100,0,0,94.4106925880923,5.58930741190765,1.24544349939247,11.9076549210207,72.1445929526124,10.5407047387606,2.27825030376671,1.88335358444714,0
"E02001356",2415,2415,0,0,2415,2364,51,126,725,1442,106,11,5,0,100,0,0,97.888198757764,2.11180124223602,5.21739130434783,30.0207039337474,59.7101449275362,4.38923395445135,0.455486542443064,0.20703933747412,0
"E02001357",2919,2919,0,0,2919,2858,61,100,1211,1558,16,5,29,0,100,0,0,97.9102432339842,2.08975676601576,3.42583076396026,41.4868105515587,53.3744433025009,0.548132922233642,0.171291538198013,0.993490921548476,0
"E02001358",3662,3661,0,1,3664,3450,214,68,142,3192,103,62,96,1,99.9726925177499,0,0.0273074822501365,94.1593886462882,5.84061135371179,1.85589519650655,3.87554585152838,87.117903930131,2.81113537117904,1.69213973799127,2.62008733624454,0.027292576419214
"E02001359",2384,2384,0,0,2384,2328,56,963,625,603,177,13,3,0,100,0,0,97.6510067114094,2.3489932885906,40.3942953020134,26.2164429530201,25.2936241610738,7.4244966442953,0.545302013422819,0.125838926174497,0
"E02001360",4393,4392,0,1,4398,4130,268,154,984,2178,890,110,82,0,99.9772365126337,0,0.0227634873662645,93.906321055025,6.09367894497499,3.50159163256025,22.3738062755798,49.5225102319236,20.2364711232378,2.50113688040018,1.86448385629832,0
"E02001361",3481,3481,0,0,3481,3388,93,150,1411,1570,323,10,17,0,100,0,0,97.328353921287,2.67164607871301,4.30910657856938,40.5343292157426,45.1019821890261,9.27894283251939,0.287273771904625,0.488365412237863,0
"E02001362",3226,3226,0,0,3226,3161,65,85,1893,939,258,7,43,1,100,0,0,97.9851208927464,2.01487910725356,2.63484190948543,58.6794792312461,29.1072535647861,7.99752014879107,0.216986980781153,1.33292002479851,0.0309981401115933
"E02001363",3629,3629,0,0,3629,3481,148,264,976,1840,526,18,5,0,100,0,0,95.9217415265913,4.07825847340865,7.27473133094516,26.8944612841003,50.7026729126481,14.4943510608983,0.496004408928079,0.137779002480022,0
"E02001364",2694,2687,3,4,2705,2532,173,76,263,1921,245,159,37,4,99.7401633259094,0.111358574610245,0.148478099480327,93.6044362292052,6.39556377079482,2.80961182994455,9.72273567467652,71.0166358595194,9.05730129390018,5.87800369685767,1.36783733826248,0.147874306839187
"E02001365",4309,4299,5,5,4327,4059,268,152,346,3357,181,202,89,0,99.7679275934091,0.116036203295428,0.116036203295428,93.8063323318697,6.19366766813034,3.51282643864109,7.99630228795933,77.5826207534088,4.1830367460134,4.66836145135198,2.05685232262538,0
"E02001366",4221,4216,2,3,4238,4081,157,125,1024,2185,472,384,48,0,99.8815446576641,0.0473821369343757,0.0710732054015636,96.295422369042,3.704577630958,2.94950448324681,24.1623407267579,51.5573383671543,11.13732892874,9.06087777253422,1.13260972156678,0
"E02001367",4058,4058,0,0,4058,3939,119,591,2107,721,510,85,44,0,100,0,0,97.0675209462789,2.93247905372104,14.5638245441104,51.9221291276491,17.7673730901922,12.5677673730902,2.09462789551503,1.08427796944308,0
"E02001368",2997,2996,0,1,2999,2918,81,145,1192,929,700,14,19,0,99.9666332999666,0,0.0333667000333667,97.2990996999,2.70090030010003,4.83494498166055,39.7465821940647,30.9769923307769,23.3411137045682,0.466822274091364,0.633544514838279,0
"E02001369",3953,3951,0,2,3957,3877,80,169,1422,849,1439,61,17,0,99.9494055147989,0,0.0505944852011131,97.9782663634066,2.02173363659338,4.27091230730351,35.9363153904473,21.4556482183472,36.3659337882234,1.54157189790245,0.429618397776093,0
"E02001370",3254,3251,3,0,3257,3153,104,143,876,1331,759,101,47,0,99.9078057775046,0.0921942224953903,0,96.8068774946269,3.19312250537304,4.39054344488793,26.8959164875652,40.8658274485723,23.3036536690206,3.10101320233344,1.44304574762051,0
"E02001371",3160,3160,0,0,3160,3076,84,144,1097,1751,149,9,10,0,100,0,0,97.3417721518987,2.65822784810127,4.55696202531646,34.7151898734177,55.4113924050633,4.71518987341772,0.284810126582278,0.316455696202532,0
"E02001372",2811,2810,0,1,2815,2728,87,250,1021,888,591,30,35,0,99.9644254713625,0,0.0355745286374956,96.9094138543517,3.09058614564831,8.8809946714032,36.2699822380107,31.5452930728242,20.9946714031972,1.06571936056838,1.24333925399645,0
"E02001373",4288,4284,1,3,4298,4089,209,108,922,2650,315,186,116,1,99.9067164179104,0.0233208955223881,0.0699626865671642,95.1372731503025,4.86272684969753,2.51279664960447,21.4518380642159,61.6565844578874,7.32899022801303,4.32759422987436,2.69892973476035,0.0232666356444858
"E02001374",4262,4222,8,32,4394,4105,289,136,746,1263,989,1182,78,0,99.061473486626,0.187705302674801,0.750821210699202,93.4228493400091,6.5771506599909,3.09512972234866,16.9776968593537,28.743741465635,22.5079654073737,26.9003186162949,1.77514792899408,0
"E02001375",3303,3303,0,0,3303,3202,101,46,628,2367,202,17,43,0,100,0,0,96.9421737814108,3.05782621858916,1.39267332727823,19.0130184680593,71.6621253405995,6.11565243717832,0.514683620950651,1.301846805934,0
"E02001376",4057,4053,1,3,4067,3789,278,160,465,2885,363,134,60,0,99.9014049790486,0.0246487552378605,0.0739462657135815,93.1644947135481,6.83550528645193,3.93410376198672,11.4334890582739,70.9368084583231,8.92549791000738,3.29481190066388,1.47528891074502,0
"E02001377",4154,4140,4,10,4271,4063,208,137,672,1433,1690,294,40,5,99.6629754453539,0.0962927298988926,0.240731824747232,95.129946148443,4.87005385155701,3.20767970030438,15.7340201357996,33.551861390775,39.5691875439007,6.88363380941231,0.936548817607118,0.11706860220089
"E02001378",3662,3658,0,4,3687,3557,130,332,1138,1197,835,156,29,0,99.8907700709995,0,0.109229929000546,96.4740981828044,3.52590181719555,9.00461079468402,30.8652020612964,32.4654190398698,22.6471385950637,4.23108218063466,0.786547328451315,0
"E02001380",3169,3169,0,0,3169,3117,52,149,2270,508,136,90,16,0,100,0,0,98.3591038182392,1.64089618176081,4.70179867466078,71.6314294730199,16.030293467971,4.29157462922057,2.84001262227832,0.504891132849479,0
"E02001381",4566,4561,3,2,4573,4312,261,116,720,3179,338,156,64,0,99.8904949627683,0.0657030223390276,0.0438020148926851,94.2925869232451,5.70741307675487,2.53662803411327,15.7445877979445,69.5167286245353,7.39120927181281,3.4113273562213,1.39951891537284,0
"E02001382",2823,2823,0,0,2823,2782,41,365,2159,241,15,4,39,0,100,0,0,98.5476443499823,1.45235565001771,12.9295076160113,76.4789231314205,8.53701735742118,0.53134962805526,0.141693234148069,1.38150903294368,0
"E02001383",4213,4152,15,46,4523,4260,263,85,352,625,2141,1294,25,1,98.5521006408735,0.356040826014716,1.0918585331118,94.1852752597833,5.81472474021667,1.87928366128676,7.78244527968163,13.8182622153438,47.3358390448817,28.6093300906478,0.552730488613752,0.0221092195445501
"E02001384",4132,4129,2,1,4137,3941,196,72,288,3008,409,213,147,0,99.9273959341723,0.0484027105517909,0.0242013552758954,95.2622673434856,4.73773265651438,1.74039158810732,6.9615663524293,72.7096930142615,9.88639110466522,5.14865844815083,3.55329949238579,0
"E02001385",3930,3914,8,8,3975,3631,344,292,853,1599,747,400,80,4,99.5928753180661,0.203562340966921,0.203562340966921,91.3459119496855,8.65408805031447,7.34591194968553,21.4591194968553,40.2264150943396,18.7924528301887,10.062893081761,2.0125786163522,0.10062893081761
"E02001386",3618,3617,1,0,3619,3572,47,201,1108,1761,528,11,9,1,99.9723604201216,0.0276395798783858,0,98.7012987012987,1.2987012987013,5.55402044763747,30.61619231832,48.6598507875104,14.5896656534954,0.303951367781155,0.248687482730036,0.0276319425255595
"E02001387",3282,3282,0,0,3282,3162,120,303,1925,603,285,130,36,0,100,0,0,96.3436928702011,3.6563071297989,9.23217550274223,58.6532602071907,18.3729433272395,8.6837294332724,3.96099939061548,1.09689213893967,0
"E02001388",3862,3850,3,9,4397,4170,227,51,267,2550,1200,249,80,0,99.6892801657172,0.0776799585706888,0.233039875712066,94.8373891289516,5.16261087104844,1.15988173754833,6.07232203775301,57.9940868774164,27.2913350011371,5.66295201273596,1.81942233340914,0
"E02001389",4153,4102,10,41,4360,3740,620,82,341,713,1438,1754,31,1,98.7719720683843,0.240789790512882,0.987238141102817,85.7798165137615,14.2201834862385,1.88073394495413,7.82110091743119,16.3532110091743,32.9816513761468,40.2293577981651,0.711009174311927,0.0229357798165138
"E02001390",4243,4238,2,3,4253,4094,159,187,781,2102,879,221,82,1,99.8821588498704,0.0471364600518501,0.0707046900777752,96.2614624970609,3.7385375029391,4.39689630848813,18.363508111921,49.4239360451446,20.6677639313426,5.19633200094051,1.92805078767929,0.0235128144838937
"E02001391",2506,2506,0,0,2506,2481,25,122,830,1473,75,1,3,2,100,0,0,99.0023942537909,0.997605746209098,4.8683160415004,33.1205107741421,58.7789305666401,2.99281723862729,0.0399042298483639,0.119712689545092,0.0798084596967279
"E02001392",2647,2647,0,0,2647,2556,91,668,1474,213,254,27,11,0,100,0,0,96.5621458254628,3.43785417453721,25.2361163581413,55.6856819040423,8.04684548545523,9.59576879486211,1.02002266717038,0.415564790328674,0
"E02001393",2917,2917,0,0,2917,2845,72,1262,1201,96,328,25,5,0,100,0,0,97.5317106616387,2.46828933836133,43.2636270140555,41.1724374357216,3.29105245114844,11.2444292080905,0.85704490915324,0.171408981830648,0
"E02001394",4388,4368,4,16,4466,4290,176,170,441,1116,1552,1127,59,1,99.5442114858706,0.0911577028258888,0.364630811303555,96.0591133004926,3.94088669950739,3.80653828929691,9.87460815047022,24.9888042991491,34.7514554411106,25.2351097178683,1.32109270040305,0.0223914017017465
"E02001395",2691,2690,0,1,2697,2612,85,63,1492,890,167,35,50,0,99.9628390932739,0,0.0371609067261241,96.8483500185391,3.15164998146088,2.33592880978865,55.3207267334075,32.9996292176492,6.19206525769373,1.29773822766036,1.85391175380052,0
