"GeographyCode","QS202EW0001","QS202EW0002","QS202EW0003","QS202EW0004","QS202EW0005","QS202EW0006"
"E00032987",87,26,46,4,6,5
"E00032988",200,142,43,3,6,6
"E00032989",232,174,35,8,6,9
"E00032990",219,148,49,7,9,6
"E00032991",219,154,48,6,6,5
"E00032992",165,123,26,6,5,5
"E00032993",166,87,59,3,5,12
"E00032994",63,36,21,5,1,0
"E00032995",149,82,57,5,5,0
"E00032996",181,63,103,7,3,5
"E00032997",106,44,50,8,2,2
"E00032998",164,63,80,6,11,4
"E00032999",236,153,60,3,5,15
"E00033000",87,41,38,6,2,0
"E00033002",129,74,36,6,9,4
"E00033004",167,102,53,2,8,2
"E00033005",176,85,73,11,6,1
"E00033006",120,32,81,4,3,0
"E00033007",155,72,72,4,5,2
"E00033008",147,54,80,7,4,2
"E00033012",104,66,34,0,4,0
"E00033013",115,61,43,7,2,2
"E00033015",109,41,57,1,6,4
"E00033016",226,128,79,4,9,6
"E00033018",72,36,21,2,5,8
"E00033019",218,145,49,6,5,13
"E00033020",143,94,36,0,4,9
"E00033021",134,65,53,2,10,4
"E00033023",149,86,40,5,7,11
"E00033024",104,58,37,3,3,3
"E00033025",135,56,69,2,6,2
"E00033026",90,28,59,1,2,0
"E00033027",200,109,71,5,6,9
"E00033029",111,39,63,1,5,3
"E00033030",95,23,63,1,7,1
"E00033031",130,39,73,2,11,5
"E00033032",238,154,63,0,15,6
"E00033033",193,122,54,2,8,7
"E00033034",201,118,64,3,10,6
"E00033035",159,57,73,4,11,14
"E00033036",128,75,41,5,4,3
"E00033037",153,78,69,1,4,1
"E00033038",110,73,33,1,2,1
"E00033040",132,69,53,1,3,6
"E00033041",110,33,69,2,6,0
"E00033042",98,27,65,1,2,3
"E00033043",112,28,69,3,8,4
"E00033044",92,18,64,1,5,4
"E00033045",132,81,42,6,2,1
"E00033046",121,73,41,2,2,3
"E00033047",106,19,75,1,11,0
"E00033048",100,23,68,1,8,0
"E00033049",154,41,89,5,14,5
"E00033050",84,13,66,1,3,1
"E00033051",167,65,88,3,7,4
"E00033052",144,41,80,1,10,12
"E00033053",111,32,68,2,6,3
"E00033054",76,30,37,3,6,0
"E00033055",106,35,56,2,9,4
"E00033056",123,34,80,1,7,1
"E00033057",122,39,72,2,7,2
"E00033059",149,63,81,1,4,0
"E00033060",101,45,51,1,4,0
"E00033061",91,27,57,1,4,2
"E00033062",105,30,69,0,5,1
"E00033063",101,19,76,0,5,1
"E00033064",97,23,59,1,14,0
"E00033065",120,29,72,4,13,2
"E00033066",155,88,47,1,17,2
"E00033067",184,120,48,2,12,2
"E00033068",203,115,66,2,14,6
"E00033069",164,102,48,3,6,5
"E00033070",190,129,52,3,3,3
"E00033071",141,61,59,2,16,3
"E00033072",167,82,71,2,4,8
"E00033073",192,140,40,1,8,3
"E00033074",179,122,44,3,5,5
"E00033075",210,188,17,0,3,2
"E00033076",152,68,75,2,4,3
"E00033077",185,113,60,2,7,3
"E00033078",176,117,48,3,7,1
"E00033079",116,61,45,2,5,3
"E00033080",150,114,28,6,1,1
"E00033081",127,62,53,2,8,2
"E00033082",122,22,92,1,7,0
"E00033083",122,23,92,1,6,0
"E00033084",148,59,81,3,5,0
"E00033085",143,51,88,2,1,1
"E00033086",122,35,83,1,3,0
"E00033087",149,36,102,3,7,1
"E00033088",101,26,63,3,9,0
"E00033089",124,42,75,2,5,0
"E00033090",139,26,101,5,6,1
"E00033091",126,28,90,1,6,1
"E00033092",127,32,92,1,1,1
"E00033093",158,48,104,1,5,0
"E00033094",136,35,97,3,0,1
"E00033095",164,35,115,4,10,0
"E00033096",110,30,75,1,4,0
"E00033097",119,35,78,5,1,0
"E00033098",113,21,89,0,2,1
"E00033099",94,57,36,0,1,0
"E00033100",138,52,77,2,5,2
"E00033101",96,34,59,1,2,0
"E00033102",207,82,113,3,7,2
"E00033103",117,32,80,2,3,0
"E00033104",109,34,67,2,5,1
"E00033105",118,31,83,0,3,1
"E00033106",125,37,79,4,5,0
"E00033107",121,17,90,4,9,1
