"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E00032987",198,97,5,0,1,11,0,1,58,25
"E00032988",348,149,4,0,2,12,0,2,145,34
"E00032989",333,138,7,2,0,24,0,4,129,29
"E00032990",330,124,6,1,0,28,5,2,140,24
"E00032991",320,136,5,1,1,28,0,3,111,35
"E00032992",240,102,6,2,0,32,0,1,78,19
"E00032993",282,120,0,1,1,49,0,4,82,25
"E00032994",111,70,2,0,0,5,0,0,23,11
"E00032995",268,197,0,0,0,30,0,0,30,11
"E00032996",417,354,0,0,0,2,0,0,32,29
"E00032997",211,119,0,6,0,18,0,1,49,18
"E00032998",337,234,5,0,1,14,1,0,62,20
"E00032999",359,143,5,2,0,25,0,3,148,33
"E00033000",177,113,17,0,0,3,0,0,36,8
"E00033002",227,114,1,0,0,28,0,1,64,19
"E00033004",252,159,0,4,0,6,0,0,64,19
"E00033005",402,311,5,0,0,17,0,0,48,21
"E00033006",271,209,0,2,0,4,0,1,34,21
"E00033007",317,244,0,0,3,15,0,3,35,17
"E00033008",345,252,0,0,0,8,0,1,56,28
"E00033012",149,99,1,0,0,7,0,0,35,7
"E00033013",202,102,0,5,0,34,0,0,51,10
"E00033015",209,59,4,6,1,63,2,1,53,20
"E00033016",597,135,11,17,1,164,0,5,226,38
"E00033018",270,128,1,3,2,0,0,3,109,24
"E00033019",350,142,2,2,2,42,0,1,135,24
"E00033020",231,86,4,3,1,3,0,3,119,12
"E00033021",262,138,12,0,0,22,0,1,74,15
"E00033023",433,212,4,1,1,8,0,1,164,42
"E00033024",178,138,2,0,0,4,0,1,21,12
"E00033025",265,186,2,0,0,0,0,1,58,18
"E00033026",219,145,0,0,0,0,2,0,54,18
"E00033027",393,220,1,0,8,10,0,1,115,38
"E00033029",240,145,0,1,4,8,0,0,56,26
"E00033030",321,228,1,0,5,11,0,1,60,15
"E00033031",309,232,0,3,0,3,0,3,59,9
"E00033032",347,153,1,4,4,10,0,6,128,41
"E00033033",288,139,7,0,0,2,0,2,117,21
"E00033034",313,144,4,0,2,4,0,1,142,16
"E00033035",359,211,2,1,2,6,0,1,104,32
"E00033036",191,90,0,2,0,11,0,0,72,16
"E00033037",314,200,0,6,12,23,0,5,39,29
"E00033038",166,75,2,0,2,7,0,2,68,10
"E00033040",270,143,0,0,1,23,0,3,73,27
"E00033041",262,195,0,0,4,3,0,0,36,24
"E00033042",239,181,0,0,0,0,1,1,40,16
"E00033043",252,177,0,1,0,0,0,0,57,17
"E00033044",239,167,0,0,3,0,0,0,49,20
"E00033045",215,177,0,0,0,2,0,0,26,10
"E00033046",180,96,0,0,29,4,2,0,34,15
"E00033047",328,259,0,1,6,1,0,1,46,14
"E00033048",252,172,2,0,0,15,0,0,48,15
"E00033049",372,242,0,1,0,4,1,2,102,20
"E00033050",227,178,3,0,0,0,0,0,36,10
"E00033051",308,145,3,0,5,22,0,2,108,23
"E00033052",379,205,2,2,0,7,0,1,122,40
"E00033053",278,170,0,0,0,6,0,1,89,12
"E00033054",158,117,0,0,0,0,0,1,33,7
"E00033055",244,125,1,0,0,1,0,0,96,21
"E00033056",278,197,0,0,0,6,0,1,55,19
"E00033057",292,209,0,0,0,9,0,0,52,22
"E00033059",307,208,0,0,1,10,0,2,47,39
"E00033060",204,177,0,0,1,0,1,0,13,12
"E00033061",235,166,0,0,0,7,1,0,39,22
"E00033062",264,221,0,0,1,2,0,0,37,3
"E00033063",259,196,3,0,0,0,0,1,41,18
"E00033064",235,169,1,0,0,3,0,0,50,12
"E00033065",293,190,1,0,2,0,0,0,84,16
"E00033066",242,133,3,0,3,1,0,2,88,12
"E00033067",279,106,1,1,0,21,0,3,114,33
"E00033068",327,159,3,3,4,1,0,0,134,23
"E00033069",248,105,0,0,0,27,0,0,88,28
"E00033070",279,153,4,2,1,2,0,2,81,34
"E00033071",275,113,6,0,9,3,1,1,109,33
"E00033072",304,152,0,4,1,13,2,3,115,14
"E00033073",257,130,3,1,0,6,0,3,94,20
"E00033074",299,145,4,0,2,8,1,2,112,25
"E00033075",254,158,1,1,1,10,0,3,64,16
"E00033076",397,234,0,0,64,7,0,0,69,23
"E00033077",292,147,0,0,4,0,0,0,99,42
"E00033078",329,199,0,1,1,18,0,0,67,43
"E00033079",230,124,0,0,3,17,0,1,71,14
"E00033080",197,128,0,4,0,9,0,0,42,14
"E00033081",220,148,2,0,1,1,0,0,53,15
"E00033082",312,203,0,7,20,13,0,1,49,19
"E00033083",336,236,2,12,20,7,5,0,35,19
"E00033084",325,261,2,0,1,0,0,1,37,23
"E00033085",321,253,1,3,0,4,3,0,40,17
"E00033086",249,216,1,0,3,1,0,0,22,6
"E00033087",397,276,1,1,8,36,1,0,57,17
"E00033088",239,196,0,0,0,0,0,1,30,12
"E00033089",302,226,0,0,1,8,1,2,40,24
"E00033090",376,312,3,0,0,3,0,0,39,19
"E00033091",306,258,0,0,3,0,0,0,30,15
"E00033092",307,262,0,0,0,0,0,0,24,21
"E00033093",372,288,1,0,0,0,0,0,60,23
"E00033094",328,271,0,0,1,5,0,0,28,23
"E00033095",443,291,0,2,8,1,1,3,92,45
"E00033096",262,173,0,4,23,17,0,0,29,16
"E00033097",263,211,0,0,0,0,0,2,28,22
"E00033098",277,229,0,0,3,0,0,1,32,12
"E00033099",163,150,0,0,1,0,0,0,8,4
"E00033100",297,236,3,0,0,0,0,0,39,19
"E00033101",212,157,0,1,0,2,1,0,31,20
"E00033102",429,305,2,0,1,5,0,1,93,22
"E00033103",298,240,2,0,0,8,0,0,23,25
"E00033104",275,204,5,0,0,6,0,0,46,14
"E00033105",293,255,0,0,0,0,0,0,25,13
"E00033106",286,236,1,0,0,1,0,0,33,15
"E00033107",353,243,1,17,3,25,5,0,47,12
"E00033108",317,245,1,0,0,0,4,1,54,12
"E00033109",322,241,0,0,0,1,0,0,49,31
"E00033110",340,280,0,1,0,0,0,1,39,19
"E00033112",308,214,1,3,4,15,0,0,57,14
"E00033113",246,155,1,5,28,1,0,0,40,16
"E00033114",308,242,0,3,8,6,0,0,27,22
"E00033115",132,94,0,0,7,2,3,0,19,7
"E00033116",190,149,0,0,1,1,0,0,27,12
"E00033117",385,285,1,5,6,15,0,1,50,22
"E00033118",331,278,0,0,2,9,0,0,25,17
"E00033119",262,180,0,0,8,15,0,0,39,20
"E00033120",313,262,0,0,0,5,0,0,33,13
"E00033121",220,178,1,0,0,0,0,1,23,17
"E00033122",275,241,0,0,0,0,0,0,22,12
"E00033123",258,219,0,0,0,0,0,0,21,18
"E00033124",307,200,2,14,11,6,0,1,63,10
"E00033125",187,125,1,1,0,1,0,3,39,17
"E00033126",254,209,0,0,0,0,0,0,23,22
"E00033127",524,383,4,2,5,0,0,2,103,25
"E00033128",268,214,0,4,0,5,0,0,28,17
