"GeographyCode","QS302EW0001","QS302EW0002","QS302EW0003","QS302EW0004","QS302EW0005","QS302EW0006"
"E00032987",198,89,70,23,13,3
"E00032988",348,126,116,65,36,5
"E00032989",333,140,115,49,22,7
"E00032990",330,127,113,65,17,8
"E00032991",320,138,101,46,28,7
"E00032992",240,106,69,42,16,7
"E00032993",282,132,105,26,16,3
"E00032994",111,32,37,19,18,5
"E00032995",268,99,56,58,36,19
"E00032996",417,159,112,78,49,19
"E00032997",211,82,71,33,22,3
"E00032998",337,156,91,54,24,12
"E00032999",359,174,133,32,15,5
"E00033000",177,58,44,43,25,7
"E00033002",227,97,75,27,22,6
"E00033004",252,146,88,11,4,3
"E00033005",402,117,97,87,67,34
"E00033006",271,107,71,52,31,10
"E00033007",317,121,76,65,39,16
"E00033008",345,157,80,55,33,20
"E00033012",149,83,50,10,5,1
"E00033013",202,102,65,19,12,4
"E00033015",209,102,79,23,3,2
"E00033016",597,360,199,25,8,5
"E00033018",270,161,94,14,1,0
"E00033019",350,150,115,56,24,5
"E00033020",231,120,69,28,9,5
"E00033021",262,117,69,40,31,5
"E00033023",433,231,134,45,19,4
"E00033024",178,56,35,57,27,3
"E00033025",265,144,74,35,8,4
"E00033026",219,126,59,25,7,2
"E00033027",393,183,137,60,8,5
"E00033029",240,112,87,22,14,5
"E00033030",321,187,96,31,4,3
"E00033031",309,176,86,26,18,3
"E00033032",347,176,110,43,15,3
"E00033033",288,178,72,24,12,2
"E00033034",313,190,85,24,12,2
"E00033035",359,176,86,62,30,5
"E00033036",191,96,56,22,14,3
"E00033037",314,124,93,67,25,5
"E00033038",166,83,53,21,7,2
"E00033040",270,132,79,38,14,7
"E00033041",262,121,88,39,12,2
"E00033042",239,118,75,30,12,4
"E00033043",252,127,86,29,8,2
"E00033044",239,128,73,28,9,1
"E00033045",215,61,66,49,33,6
"E00033046",180,46,66,44,21,3
"E00033047",328,147,94,44,32,11
"E00033048",252,122,76,39,12,3
"E00033049",372,203,126,32,9,2
"E00033050",227,135,63,25,3,1
"E00033051",308,183,84,27,10,4
"E00033052",379,208,99,50,16,6
"E00033053",278,148,96,27,5,2
"E00033054",158,62,49,28,14,5
"E00033055",244,158,62,14,8,2
"E00033056",278,147,96,29,5,1
"E00033057",292,157,85,40,10,0
"E00033059",307,124,94,50,30,9
"E00033060",204,85,62,39,13,5
"E00033061",235,126,75,23,8,3
"E00033062",264,139,83,30,10,2
"E00033063",259,143,79,28,7,2
"E00033064",235,130,78,18,7,2
"E00033065",293,180,72,29,8,4
"E00033066",242,137,58,25,18,4
"E00033067",279,145,84,39,10,1
"E00033068",327,193,96,28,8,2
"E00033069",248,126,72,31,13,6
"E00033070",279,118,79,44,26,12
"E00033071",275,166,76,26,5,2
"E00033072",304,152,99,39,13,1
"E00033073",257,112,86,32,22,5
"E00033074",299,119,95,47,29,9
"E00033075",254,66,73,70,35,10
"E00033076",397,145,98,89,44,21
"E00033077",292,131,96,31,28,6
"E00033078",329,123,82,56,60,8
"E00033079",230,98,80,33,12,7
"E00033080",197,67,44,51,31,4
"E00033081",220,109,79,22,6,4
"E00033082",312,171,97,37,6,1
"E00033083",336,193,110,21,10,2
"E00033084",325,138,102,57,21,7
"E00033085",321,141,104,47,24,5
"E00033086",249,102,82,44,19,2
"E00033087",397,246,92,42,12,5
"E00033088",239,104,71,40,19,5
"E00033089",302,160,68,46,17,11
"E00033090",376,182,91,56,37,10
"E00033091",306,141,90,48,22,5
"E00033092",307,148,102,43,12,2
"E00033093",372,179,115,48,22,8
"E00033094",328,120,119,54,25,10
"E00033095",443,238,127,51,19,8
"E00033096",262,125,82,39,12,4
"E00033097",263,108,73,54,22,6
"E00033098",277,135,90,35,13,4
"E00033099",163,51,38,54,16,4
"E00033100",297,122,76,55,32,12
"E00033101",212,88,72,36,14,2
"E00033102",429,211,136,52,25,5
"E00033103",298,134,69,56,28,11
"E00033104",275,118,81,50,17,9
"E00033105",293,139,97,39,17,1
"E00033106",286,116,99,42,21,8
"E00033107",353,194,107,35,12,5
"E00033108",317,174,79,33,26,5
"E00033109",322,170,84,48,16,4
"E00033110",340,156,105,52,20,7
"E00033112",308,190,73,34,10,1
"E00033113",246,123,88,29,3,3
"E00033114",308,154,116,25,8,5
"E00033115",132,40,56,27,6,3
"E00033116",190,39,47,52,36,16
"E00033117",385,220,93,51,15,6
"E00033118",331,178,102,35,13,3
"E00033119",262,139,88,29,4,2
"E00033120",313,176,88,40,8,1
"E00033121",220,75,79,36,23,7
"E00033122",275,130,73,47,20,5
"E00033123",258,105,86,53,12,2
"E00033124",307,177,92,30,7,1
"E00033125",187,58,67,36,24,2
"E00033126",254,108,84,45,13,4
"E00033127",524,226,125,105,50,18
"E00033128",268,132,69,32,28,7
"E00033129",256,109,85,39,20,3
"E00033130",360,215,100,30,14,1
"E00033131",275,116,71,57,25,6
"E00033132",459,202,162,75,14,6
"E00033133",366,146,106,65,35,14
"E00033134",190,72,68,28,18,4
"E00033135",445,220,146,50,21,8
"E00033136",225,107,65,27,20,6
"E00033137",289,106,98,44,28,13
"E00033138",171,55,50,40,21,5
"E00033139",248,70,93,47,31,7
"E00033140",202,85,70,29,17,1
"E00033141",208,102,71,22,10,3
"E00033142",273,104,118,31,17,3
"E00033143",261,113,104,29,11,4
"E00033144",204,63,89,32,14,6
"E00033145",294,133,102,42,9,8
"E00033146",304,140,104,42,14,4
"E00033147",308,159,94,39,14,2
"E00033148",258,136,59,40,19,4
"E00033149",226,92,57,45,26,6
"E00033150",316,153,91,53,16,3
"E00033151",262,98,76,66,16,6
"E00033152",305,138,97,51,11,8
"E00033153",427,149,125,88,51,14
"E00033154",156,59,52,28,10,7
"E00033155",266,92,92,55,22,5
"E00033156",238,86,78,41,27,6
"E00033157",326,149,114,44,15,4
"E00033158",302,146,101,32,20,3
"E00033159",197,86,71,26,11,3
"E00033160",354,152,123,43,20,16
"E00033161",295,114,80,57,37,7
"E00033162",280,146,77,34,20,3
"E00033163",277,106,105,36,19,11
"E00033164",351,158,139,31,17,6
"E00033165",166,37,50,50,25,4
"E00033166",158,30,59,43,21,5
"E00033167",310,149,95,35,25,6
"E00033168",285,118,106,42,12,7
"E00033169",302,157,103,30,10,2
"E00033170",360,186,110,37,17,10
"E00033171",345,172,100,46,18,9
"E00033172",242,64,82,56,33,7
"E00033173",315,146,102,47,17,3
"E00033174",297,139,73,49,25,11
"E00033175",279,117,89,43,24,6
"E00033176",264,119,78,46,13,8
"E00033177",298,144,97,38,13,6
"E00033178",174,58,62,34,13,7
"E00033179",322,137,99,50,27,9
"E00033181",425,251,133,31,8,2
"E00033182",368,210,95,39,17,7
"E00033183",586,336,187,45,14,4
"E00033185",340,230,81,16,13,0
"E00033186",318,191,89,27,5,6
"E00033187",218,94,86,25,12,1
"E00033188",327,181,103,30,10,3
"E00033189",509,231,165,64,31,18
"E00033190",574,278,195,68,26,7
"E00033191",449,291,117,25,13,3
"E00033192",434,272,131,25,3,3
"E00033193",327,192,100,27,8,0
"E00033194",345,201,102,29,12,1
"E00033195",249,131,84,22,9,3
"E00033196",292,115,87,49,26,15
"E00033197",372,109,91,113,42,17
"E00033198",393,240,110,29,13,1
"E00033199",185,39,52,53,30,11
"E00033200",289,125,85,48,28,3
"E00033201",235,122,79,28,4,2
"E00033202",315,208,77,24,5,1
"E00033203",247,128,72,36,7,4
"E00033204",252,144,83,21,4,0
"E00033206",557,331,180,28,9,9
"E00033207",293,131,90,41,20,11
"E00033208",257,103,85,43,21,5
"E00033209",324,109,101,51,44,19
"E00033210",271,113,95,40,16,7
"E00033211",357,176,102,48,25,6
"E00033212",314,134,120,42,12,6
"E00033213",401,238,107,34,15,7
"E00033214",538,267,186,60,15,10
"E00033215",349,193,99,41,13,3
"E00033216",254,111,86,41,12,4
"E00033217",287,149,88,30,18,2
"E00033218",303,186,80,24,8,5
"E00033219",378,195,112,51,14,6
"E00033220",389,228,122,30,8,1
"E00033221",249,122,71,29,22,5
"E00033222",178,47,37,57,29,8
"E00033223",248,117,87,24,17,3
"E00033224",301,116,74,63,30,18
"E00033225",303,99,102,62,32,8
"E00033226",417,140,151,79,34,13
"E00033227",262,95,72,41,43,11
"E00033228",341,84,96,90,57,14
"E00033229",284,107,82,65,23,7
"E00033230",279,108,101,41,23,6
"E00033231",203,64,73,48,13,5
"E00033235",228,69,72,59,23,5
"E00033237",276,82,70,75,37,12
"E00033238",463,190,133,79,46,15
"E00033242",233,77,74,41,33,8
"E00033245",315,110,91,64,39,11
"E00033246",253,90,85,48,25,5
"E00033247",333,135,108,61,25,4
"E00033248",294,50,86,96,45,17
"E00033249",285,97,106,52,26,4
"E00033250",226,72,66,46,32,10
"E00033251",222,84,72,45,16,5
"E00033252",350,127,99,71,44,9
"E00033253",240,82,80,49,25,4
"E00033254",358,170,92,49,34,13
"E00033255",267,83,89,56,33,6
"E00033256",225,85,55,48,29,8
"E00033257",308,102,100,53,41,12
"E00033258",329,105,92,73,46,13
"E00033259",135,48,41,23,19,4
"E00033260",245,96,79,43,21,6
"E00033261",247,86,84,44,27,6
"E00033262",154,65,35,30,21,3
"E00033263",145,48,54,26,14,3
"E00033264",279,103,70,51,44,11
"E00033265",298,104,109,53,27,5
"E00033266",314,130,97,52,29,6
"E00033267",250,97,63,56,22,12
"E00033268",291,139,84,38,22,8
"E00033269",243,76,59,68,31,9
"E00033270",345,186,97,41,19,2
"E00033271",395,206,127,42,16,4
"E00033272",301,149,85,46,14,7
"E00033274",259,104,86,36,29,4
"E00033275",286,117,71,56,30,12
"E00033276",225,93,76,33,20,3
"E00033277",224,95,63,46,15,5
"E00033278",225,79,92,40,13,1
"E00033279",276,116,82,50,19,9
"E00033281",307,149,108,41,9,0
"E00033282",303,107,97,66,23,10
"E00033283",276,100,93,53,23,7
"E00033284",251,83,66,60,34,8
"E00033285",300,115,111,46,24,4
"E00033286",218,58,55,61,35,9
"E00033287",306,158,96,35,13,4
"E00033288",321,175,97,39,8,2
"E00033289",229,118,80,17,11,3
"E00033290",368,140,98,38,11,81
"E00033291",498,270,160,46,15,7
"E00033292",203,90,52,47,13,1
"E00033293",319,140,98,47,28,6
"E00033294",232,102,74,32,18,6
"E00033295",283,169,71,29,7,7
"E00033296",268,123,82,42,15,6
"E00033297",315,118,110,54,26,7
"E00033298",330,118,82,55,39,36
"E00033299",309,128,98,58,13,12
"E00033300",234,88,85,31,22,8
"E00033301",300,148,87,42,19,4
"E00033302",239,101,72,34,23,9
"E00033304",281,106,87,49,27,12
"E00033305",276,112,78,51,30,5
"E00033306",280,117,75,43,35,10
"E00033307",312,145,87,50,21,9
"E00033308",288,111,83,68,18,8
"E00033309",316,134,89,59,28,6
"E00033310",331,148,99,50,28,6
"E00033312",276,102,89,44,27,14
"E00033313",340,156,98,44,32,10
"E00033314",316,146,92,49,19,10
"E00033315",354,151,107,50,29,17
"E00033316",327,157,106,39,18,7
"E00033317",368,177,119,48,22,2
"E00033318",355,147,108,60,33,7
"E00033319",419,221,127,52,16,3
"E00033320",292,129,98,53,9,3
"E00033322",301,152,97,32,14,6
"E00033323",297,152,98,40,5,2
"E00033324",304,187,78,31,7,1
"E00033326",293,186,70,30,5,2
"E00033327",295,142,103,34,10,6
"E00033328",264,110,67,54,25,8
"E00033329",316,154,99,41,18,4
"E00033330",320,151,102,52,12,3
"E00033331",328,161,93,52,17,5
"E00033332",314,198,80,22,9,5
"E00033333",341,193,106,26,13,3
"E00033334",294,166,77,33,15,3
"E00033335",255,140,80,28,6,1
"E00033336",328,194,102,26,3,3
"E00033337",200,101,61,27,11,0
"E00033338",274,156,80,26,10,2
"E00033339",353,185,120,34,14,0
"E00033340",305,173,96,28,8,0
"E00033341",309,165,104,31,9,0
"E00033342",324,154,107,47,15,1
"E00033343",265,160,78,22,5,0
"E00033344",332,179,94,40,13,6
"E00033345",396,235,122,28,11,0
"E00033346",289,157,89,34,6,3
"E00033347",315,170,105,32,6,2
"E00033348",291,148,100,31,8,4
"E00033349",267,109,85,43,28,2
"E00033350",322,164,95,37,18,8
"E00033351",300,108,102,52,28,10
"E00033352",255,131,80,30,11,3
"E00033353",254,135,74,34,11,0
"E00033354",214,49,68,49,40,8
"E00033355",277,158,79,26,11,3
"E00033356",350,138,134,48,23,7
"E00033357",266,94,74,58,27,13
"E00033358",221,83,74,38,15,11
"E00033359",324,164,79,50,22,9
"E00033360",354,164,99,62,17,12
"E00033361",429,232,116,59,17,5
"E00033362",272,166,68,29,6,3
"E00033363",196,116,56,17,5,2
"E00033364",362,173,121,48,15,5
"E00033365",448,234,145,55,12,2
"E00033366",284,144,95,32,9,4
"E00033367",336,202,88,32,11,3
"E00033368",269,134,85,44,5,1
"E00033369",373,226,105,31,9,2
"E00033370",272,117,94,45,12,4
"E00033371",308,155,102,32,8,11
"E00033372",291,161,75,39,14,2
"E00033373",474,267,136,55,11,5
"E00033374",275,119,97,40,10,9
"E00033375",375,167,126,57,19,6
"E00033376",281,146,75,46,10,4
"E00033377",306,166,103,30,7,0
"E00033378",334,188,99,34,10,3
"E00033379",273,153,79,26,7,8
"E00033380",246,121,74,34,14,3
"E00033381",208,77,77,45,8,1
"E00033382",332,189,97,32,12,2
"E00033383",281,128,102,37,10,4
"E00033384",356,179,107,44,16,10
"E00033385",317,161,109,29,10,8
"E00033386",352,192,103,32,22,3
"E00033387",219,104,69,28,14,4
"E00033388",288,93,90,61,29,15
"E00033389",293,165,64,42,17,5
"E00033391",346,165,108,47,20,6
"E00033392",285,129,97,41,17,1
"E00033394",284,146,94,28,14,2
"E00033395",335,162,94,54,19,6
"E00033396",291,131,77,52,25,6
"E00033397",323,192,90,32,7,2
"E00033399",330,178,96,40,15,1
"E00033400",299,176,88,25,9,1
"E00033401",275,157,82,24,10,2
"E00033402",346,175,119,37,13,2
"E00033403",348,154,108,61,18,7
"E00033404",332,165,101,37,26,3
"E00033405",305,163,92,31,14,5
"E00033406",321,197,85,29,9,1
"E00033407",328,187,90,34,12,5
"E00033408",327,166,99,50,10,2
"E00033409",314,123,107,64,18,2
"E00033410",289,173,79,31,5,1
"E00033411",330,192,96,30,11,1
"E00033412",347,176,126,27,13,5
"E00033413",242,136,74,16,16,0
"E00033414",330,194,94,24,14,4
"E00033415",274,167,79,21,7,0
"E00033416",359,207,106,30,13,3
"E00033417",339,205,91,33,6,4
"E00033418",429,268,116,33,8,4
"E00033419",332,183,100,42,4,3
"E00033420",388,224,110,45,7,2
"E00033421",309,183,90,22,10,4
"E00033422",467,274,134,40,12,7
"E00033423",315,196,92,22,5,0
"E00033424",304,172,98,19,10,5
"E00033425",245,147,75,18,2,3
"E00033426",302,154,91,41,14,2
"E00033427",240,110,79,37,12,2
"E00033428",309,150,85,40,29,5
