"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E01006512",1880,1275,272,333
"E01006513",2941,1375,1256,310
"E01006514",2108,1445,570,93
"E01006515",1208,1126,65,17
"E01006518",1696,1642,39,15
"E01006519",1286,1227,32,27
"E01006520",1706,1583,93,30
"E01006521",1660,1539,78,43
"E01006522",1731,1589,109,33
"E01006523",1508,1391,99,18
"E01006524",2431,1249,1104,78
"E01006525",1209,1146,40,23
"E01006526",1404,1359,32,13
"E01006527",1454,1315,128,11
"E01006528",1461,1291,148,22
"E01006529",1304,1223,63,18
"E01006530",1431,1400,21,10
"E01006531",1458,1408,31,19
"E01006532",1557,1476,44,37
"E01006533",1408,1356,31,21
"E01006534",1542,1501,37,4
"E01006535",1639,1607,22,10
"E01006536",1848,1824,18,6
"E01006537",2257,2156,54,47
"E01006538",1318,1290,21,7
"E01006539",1437,1376,42,19
"E01006540",1509,1468,30,11
"E01006541",1593,1573,18,2
"E01006542",1397,1379,17,1
"E01006543",1247,1226,17,4
"E01006544",1658,1640,17,1
"E01006545",1512,1482,22,8
"E01006546",1319,1293,25,1
"E01006547",1490,1451,25,14
"E01006548",1675,1582,83,10
"E01006549",1662,1413,220,29
"E01006550",1595,728,838,29
"E01006551",1581,1134,422,25
"E01006552",2029,1904,80,45
"E01006553",1880,1152,698,30
"E01006554",1692,1097,543,52
"E01006556",2011,1885,96,30
"E01006557",2054,945,1069,40
"E01006558",1357,1330,27,0
"E01006560",1860,1829,22,9
"E01006562",1514,1477,37,0
"E01006563",1744,1717,23,4
"E01006564",1721,1681,31,9
"E01006565",1549,1530,16,3
"E01006566",1506,1473,21,12
"E01006567",1655,1615,34,6
"E01006568",1617,1595,13,9
"E01006569",1429,1405,23,1
"E01006570",1479,1436,35,8
"E01006571",1470,1452,15,3
"E01006572",1207,1191,14,2
"E01006573",1501,1474,23,4
"E01006574",1388,1366,9,13
"E01006575",1294,1271,21,2
"E01006576",1693,1659,26,8
"E01006577",1503,1462,30,11
"E01006578",1380,1353,23,4
"E01006579",1643,1605,23,15
"E01006580",1335,1298,23,14
"E01006581",1559,1494,49,16
"E01006582",1642,1566,58,18
"E01006583",1758,1250,469,39
"E01006584",1393,1368,21,4
"E01006585",1354,1320,23,11
"E01006586",1899,1823,66,10
"E01006587",1624,1559,50,15
"E01006588",1569,1423,127,19
"E01006589",1518,1490,23,5
"E01006590",1642,1397,232,13
"E01006591",1633,1473,139,21
"E01006592",1565,1441,103,21
"E01006593",1541,1324,198,19
"E01006594",1410,1358,27,25
"E01006595",1745,1666,62,17
"E01006596",1451,1396,43,12
"E01006597",1667,1555,81,31
"E01006598",1361,1347,8,6
"E01006599",1121,1104,14,3
"E01006600",1407,1395,10,2
"E01006603",1410,1380,24,6
"E01006604",1367,1343,22,2
"E01006605",1531,1509,16,6
"E01006606",1521,1491,28,2
"E01006607",1531,1499,30,2
"E01006608",1215,1194,18,3
"E01006609",1283,1268,14,1
"E01006610",1397,1366,26,5
"E01006611",1291,1268,19,4
"E01006612",1495,1475,19,1
"E01006613",1360,1331,23,6
"E01006614",1322,1299,20,3
"E01006615",1302,1283,16,3
"E01006616",1428,1406,19,3
"E01006617",1421,1388,31,2
"E01006618",1639,1627,9,3
"E01006619",1599,1565,30,4
"E01006620",1417,1380,29,8
"E01006621",1468,1413,26,29
"E01006622",1519,1479,31,9
"E01006623",1462,1433,24,5
"E01006624",1556,1511,28,17
"E01006625",1416,1390,21,5
"E01006626",1448,1430,13,5
"E01006627",1378,1352,20,6
"E01006628",1874,1499,333,42
"E01006629",1255,1215,35,5
"E01006630",1338,1319,14,5
"E01006632",1842,1799,31,12
"E01006633",1432,1403,26,3
"E01006637",1596,1566,22,8
"E01006638",1219,1200,17,2
"E01006639",1509,1477,26,6
"E01006640",1880,1824,44,12
"E01006641",1740,1710,20,10
"E01006642",1290,1275,12,3
"E01006643",1822,1784,30,8
"E01006644",2040,1993,40,7
"E01006645",1424,1398,24,2
"E01006646",1899,1758,93,48
"E01006647",1422,1404,8,10
"E01006648",2175,2011,123,41
"E01006651",1642,1617,14,11
"E01006652",1505,1461,36,8
"E01006653",1520,1479,25,16
"E01006654",1513,1480,26,7
"E01006655",1758,1698,48,12
"E01006656",1493,1461,28,4
"E01006657",1211,1183,21,7
"E01006658",1300,1283,17,0
"E01006659",1765,1659,97,9
"E01006660",1433,1411,14,8
"E01006661",1663,1643,13,7
"E01006662",1775,1727,39,9
"E01006663",1153,1139,13,1
"E01006664",1795,1744,40,11
"E01006665",1555,1518,25,12
"E01006666",1504,1461,26,17
"E01006667",1453,1435,15,3
"E01006668",1534,1499,30,5
"E01006669",1470,1436,19,15
"E01006670",1526,1492,17,17
"E01006671",1355,1323,16,16
"E01006672",1955,1911,39,5
"E01006673",1937,1798,101,38
"E01006674",1885,1831,37,17
"E01006675",1824,1688,100,36
"E01006676",1753,1635,88,30
"E01006677",1040,1004,25,11
"E01006678",2127,2014,100,13
"E01006679",2232,2165,48,19
"E01006680",1569,1518,44,7
"E01006681",1585,1542,34,9
"E01006682",1310,1279,23,8
"E01006683",1510,1468,37,5
"E01006684",2138,2045,67,26
"E01006685",1484,1380,73,31
"E01006686",1433,1372,52,9
"E01006687",1952,1842,61,49
"E01006688",1524,1459,47,18
"E01006689",1651,1599,42,10
"E01006690",1492,1371,107,14
"E01006691",1503,1399,82,22
"E01006692",2180,2092,55,33
"E01006693",1511,1494,13,4
"E01006694",1864,1777,62,25
"E01006695",1821,1680,97,44
"E01006696",1744,1621,101,22
"E01006697",1845,1755,65,25
"E01006698",1716,1676,33,7
"E01006699",1594,1566,22,6
"E01006700",1438,1409,23,6
"E01006701",1380,1360,15,5
"E01006702",1618,1587,22,9
"E01006703",1561,1524,25,12
"E01006705",1409,1379,26,4
"E01006706",1346,1332,12,2
"E01006707",1323,1318,2,3
"E01006708",1805,1767,28,10
"E01006709",1438,1414,20,4
"E01006710",1496,1460,25,11
"E01006711",1538,1489,38,11
"E01006712",1339,1325,12,2
"E01006713",1377,1354,21,2
"E01006716",1589,1545,36,8
"E01006717",1436,1404,24,8
"E01006718",1587,1544,27,16
"E01006719",1535,1506,27,2
"E01006720",2108,1781,293,34
"E01006721",1655,1474,163,18
"E01006722",1793,1095,665,33
"E01006723",1875,1247,582,46
"E01006724",1790,966,792,32
"E01006725",1537,1428,89,20
"E01006726",1565,1266,278,21
"E01006727",1441,1355,73,13
"E01006728",1623,1488,123,12
"E01006729",1400,1380,19,1
"E01006730",1326,1306,16,4
"E01006731",1196,1171,24,1
"E01006732",1643,1614,23,6
"E01006734",1412,1391,18,3
"E01006735",1309,1291,14,4
"E01006736",1460,1444,15,1
"E01006737",1435,1408,22,5
"E01006738",1501,1480,17,4
"E01006739",1769,1751,13,5
"E01006740",1280,1264,11,5
"E01006741",1815,1790,23,2
"E01006742",1394,1369,19,6
