"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E02001347",28,11,17
"E02001348",27,10,17
"E02001349",42,18,24
"E02001350",22,13,9
"E02001351",38,19,19
"E02001352",10,3,7
"E02001353",60,34,26
"E02001354",18,8,10
"E02001355",22,9,13
"E02001356",29,15,14
"E02001357",24,16,8
"E02001358",26,16,10
"E02001359",55,31,24
"E02001360",39,19,20
"E02001361",31,15,16
"E02001362",36,17,19
"E02001363",25,11,14
"E02001364",17,11,6
"E02001365",32,16,16
"E02001366",34,22,12
"E02001367",96,37,59
"E02001368",12,3,9
"E02001369",22,6,16
"E02001370",14,4,10
"E02001371",23,11,12
"E02001372",41,20,21
"E02001373",60,35,25
"E02001374",54,25,29
"E02001375",42,18,24
"E02001376",37,15,22
"E02001377",141,67,74
"E02001378",39,25,14
"E02001380",64,28,36
"E02001381",42,25,17
"E02001382",78,36,42
"E02001383",63,25,38
"E02001384",101,52,49
"E02001385",51,30,21
"E02001386",28,16,12
"E02001387",159,73,86
"E02001388",77,35,42
"E02001389",17,10,7
"E02001390",33,13,20
"E02001391",22,9,13
"E02001392",67,31,36
"E02001393",200,89,111
"E02001394",108,55,53
"E02001395",87,46,41
"E02001396",26,18,8
"E02001397",71,33,38
"E02001398",71,34,37
"E02001399",94,50,44
"E02001400",58,27,31
"E02001401",77,44,33
"E02001402",135,66,69
"E02001403",32,12,20
"E02001404",14,8,6
"E02001405",31,15,16
"E02006932",195,97,98
"E02006933",33,18,15
"E02006934",53,30,23
