"GeographyCode","QS205EW0001","QS205EW0002","QS205EW0003","QS205EW0004","QS205EW0005","QS205EW0006"
"E02001347",7350,7088,166,66,26,4
"E02001348",6939,6833,51,38,13,4
"E02001349",7687,7563,54,34,28,8
"E02001350",7493,7216,87,77,96,17
"E02001351",8564,8229,146,121,56,12
"E02001352",7146,6867,86,116,71,6
"E02001353",7289,7080,76,75,46,12
"E02001354",7305,7181,59,43,16,6
"E02001355",6404,6282,31,44,39,8
"E02001356",5282,5069,77,81,49,6
"E02001357",6738,6601,53,46,31,7
"E02001358",6732,6587,41,44,49,11
"E02001359",5588,5396,62,56,64,10
"E02001360",8051,7681,145,119,94,12
"E02001361",7374,7255,34,46,29,10
"E02001362",7228,7139,36,33,19,1
"E02001363",7402,7137,110,88,54,13
"E02001364",5084,4869,55,85,58,17
"E02001365",8589,8186,128,131,114,30
"E02001366",8682,8327,152,117,71,15
"E02001367",9045,8865,87,64,28,1
"E02001368",5668,5473,80,71,38,6
"E02001369",7440,6972,216,188,51,13
"E02001370",5961,5587,82,179,92,21
"E02001371",7090,6836,125,81,33,15
"E02001372",6056,5936,58,37,16,9
"E02001373",8884,8557,118,135,60,14
"E02001374",7907,6852,380,443,195,37
"E02001375",6938,6782,74,58,18,6
"E02001376",8095,6761,457,553,278,46
"E02001377",11258,8385,883,1617,333,40
"E02001378",7663,7331,137,107,76,12
"E02001380",7273,7167,53,36,15,2
"E02001381",8876,7662,430,451,280,53
"E02001382",6880,6718,70,48,37,7
"E02001383",7293,5803,537,592,249,112
"E02001384",10520,9536,476,331,137,40
"E02001385",7650,5161,774,1046,579,90
"E02001386",7313,7195,37,42,31,8
"E02001387",7769,7572,112,59,21,5
"E02001388",8647,8239,228,124,49,7
"E02001389",6061,5218,359,307,141,36
"E02001390",8413,7572,303,346,144,48
"E02001391",5746,5693,23,14,14,2
"E02001392",5570,5442,63,35,25,5
"E02001393",7572,7323,127,75,42,5
"E02001394",9897,9339,307,177,57,17
"E02001395",5857,5698,74,57,20,8
"E02001396",7752,7300,196,163,68,25
"E02001397",7413,7283,70,37,17,6
"E02001398",7569,7184,216,108,57,4
"E02001399",7100,6948,81,44,22,5
"E02001400",6432,6229,94,64,37,8
"E02001401",7650,7405,66,90,66,23
"E02001402",8098,7841,160,56,36,5
"E02001403",5784,5514,110,108,47,5
"E02001404",6943,6745,91,67,32,8
"E02001405",9081,8703,103,148,110,17
"E02006932",9899,7648,762,1269,210,10
"E02006933",5319,4622,348,284,56,9
"E02006934",5130,4391,361,323,52,3
