"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E00032987",198,10,0,10,0,121,5,116,65,65,0,0,0,2
"E00032988",298,43,25,18,0,183,3,180,72,70,0,0,2,0
"E00032989",333,31,6,25,0,225,7,218,77,73,0,2,2,0
"E00032990",326,43,13,30,26,164,8,156,92,86,0,6,0,1
"E00032991",320,25,12,13,0,192,8,184,100,92,0,5,3,3
"E00032992",240,21,12,9,0,177,8,169,41,34,0,7,0,1
"E00032993",282,58,18,40,2,99,24,75,119,106,0,10,3,4
"E00032994",111,10,0,10,0,75,32,43,23,17,0,6,0,3
"E00032995",268,79,49,30,0,126,11,115,59,53,0,6,0,4
"E00032996",417,68,11,57,0,334,128,206,7,5,0,0,2,8
"E00032997",211,87,39,48,3,65,1,64,53,44,0,9,0,3
"E00032998",337,87,32,55,0,148,32,116,97,94,0,3,0,5
"E00032999",359,20,15,5,0,183,9,174,153,148,0,5,0,3
"E00033000",177,13,0,13,0,157,9,148,5,5,0,0,0,2
"E00033002",227,61,25,36,0,95,10,85,62,52,0,8,2,9
"E00033004",252,154,66,88,0,7,0,7,89,82,2,2,3,2
"E00033005",336,59,19,40,2,240,35,205,29,26,0,0,3,6
"E00033006",271,93,45,48,0,118,7,111,60,59,0,1,0,0
"E00033007",317,18,3,15,24,235,26,209,30,27,0,0,3,10
"E00033008",345,51,6,45,2,259,102,157,29,28,0,0,1,4
"E00033012",149,118,62,56,0,1,0,1,28,21,0,3,4,2
"E00033013",202,53,28,25,0,75,4,71,73,71,0,1,1,1
"E00033015",209,40,19,21,4,4,0,4,155,146,0,9,0,6
"E00033016",448,128,51,77,6,52,2,50,259,245,0,6,8,3
"E00033018",140,11,7,4,6,54,0,54,69,69,0,0,0,0
"E00033019",350,6,2,4,2,213,7,206,129,126,3,0,0,0
"E00033020",231,19,2,17,6,61,3,58,144,125,1,9,9,1
"E00033021",262,25,11,14,42,162,21,141,30,18,0,5,7,3
"E00033023",298,35,20,15,0,157,8,149,93,89,3,0,1,13
"E00033024",178,26,8,18,0,134,42,92,14,13,0,0,1,4
"E00033025",265,201,79,122,0,27,0,27,35,30,0,5,0,2
"E00033026",219,213,77,136,0,0,0,0,1,1,0,0,0,5
"E00033027",366,155,69,86,0,26,0,26,185,178,0,5,2,0
"E00033029",240,134,59,75,3,15,0,15,87,78,3,6,0,1
"E00033030",240,208,93,115,0,5,5,0,27,24,0,3,0,0
"E00033031",309,253,86,167,3,9,4,5,44,38,0,6,0,0
"E00033032",347,59,23,36,0,45,2,43,239,233,0,5,1,4
"E00033033",288,61,11,50,0,39,0,39,186,180,0,6,0,2
"E00033034",313,110,34,76,0,13,0,13,189,182,0,7,0,1
"E00033035",324,108,39,69,1,124,0,124,90,88,0,2,0,1
"E00033036",191,45,16,29,1,79,0,79,66,61,0,5,0,0
"E00033037",276,188,123,65,0,6,0,6,81,79,0,2,0,1
