"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E00032987",162,40,14,27,0,19,46,16
"E00032988",330,49,28,52,3,58,132,8
"E00032989",299,46,28,35,1,59,118,12
"E00032990",307,55,24,31,0,57,117,23
"E00032991",302,38,25,29,1,58,142,9
"E00032992",222,61,20,29,2,48,56,6
"E00032993",254,49,20,29,2,29,108,17
"E00032994",84,40,4,16,3,5,10,6
"E00032995",229,125,26,21,2,20,30,5
"E00032996",314,187,31,34,6,27,21,8
"E00032997",173,75,21,17,1,19,31,9
"E00032998",277,91,36,32,4,32,66,16
"E00032999",331,40,23,27,1,67,154,19
"E00033000",146,85,13,14,0,18,8,8
"E00033002",194,50,21,26,4,18,61,14
"E00033004",240,21,27,30,6,32,119,5
"E00033005",348,193,30,34,1,31,37,22
"E00033006",230,102,20,37,7,23,27,14
"E00033007",251,123,33,28,2,21,16,28
"E00033008",249,127,33,34,4,20,20,11
"E00033012",143,24,15,10,3,11,71,9
"E00033013",175,31,10,6,1,27,89,11
"E00033015",187,7,13,15,0,17,112,23
"E00033016",502,49,53,28,0,50,193,129
"E00033018",266,1,6,21,0,162,65,11
"E00033019",322,49,33,27,6,69,118,20
"E00033020",227,8,14,23,1,86,86,9
"E00033021",220,80,8,23,3,29,61,16
"E00033023",409,35,21,40,1,175,126,11
"E00033024",157,87,12,13,1,10,28,6
"E00033025",228,41,23,31,3,23,100,7
"E00033026",174,35,21,14,4,17,78,5
"E00033027",362,73,21,44,5,51,149,19
"E00033029",209,36,25,16,4,22,100,6
"E00033030",288,27,24,43,8,76,100,10
"E00033031",265,41,25,41,6,37,108,7
"E00033032",334,29,30,23,1,42,202,7
"E00033033",270,19,16,22,2,26,180,5
"E00033034",297,20,12,22,0,20,215,8
"E00033035",325,91,19,32,5,31,142,5
"E00033036",175,15,16,22,3,14,102,3
"E00033037",285,72,25,33,11,15,123,6
"E00033038",151,19,8,15,3,15,83,8
"E00033040",233,41,23,22,8,38,95,6
"E00033041",210,27,26,39,9,20,73,16
"E00033042",214,36,21,27,6,36,79,9
"E00033043",215,28,24,20,5,30,103,5
"E00033044",208,18,14,32,6,31,103,4
"E00033045",190,83,24,27,6,16,21,13
"E00033046",175,46,14,21,4,15,71,4
"E00033047",277,61,31,30,6,32,106,11
"E00033048",213,46,17,47,10,23,63,7
"E00033049",298,25,32,42,10,41,136,12
"E00033050",199,21,19,23,9,25,94,8
"E00033051",285,20,19,19,8,44,170,5
"E00033052",343,54,21,43,10,79,123,13
"E00033053",231,27,35,28,6,40,85,10
"E00033054",132,40,16,16,7,11,39,3
"E00033055",194,17,16,26,5,16,107,7
"E00033056",224,40,24,22,5,25,101,7
"E00033057",238,39,32,35,4,29,94,5
"E00033059",250,78,28,38,13,15,72,6
"E00033060",182,50,18,21,5,19,58,11
"E00033061",192,24,15,23,6,27,92,5
"E00033062",220,42,21,32,4,24,90,7
"E00033063",218,31,18,26,8,14,113,8
"E00033064",189,29,22,26,7,17,84,4
"E00033065",236,28,18,26,6,22,131,5
"E00033066",223,34,6,12,0,18,149,4
"E00033067",255,35,16,18,1,28,151,6
"E00033068",309,23,18,23,2,44,187,12
"E00033069",228,17,22,24,2,23,137,3
"E00033070",260,62,18,25,3,36,112,4
"E00033071",241,22,20,17,4,31,136,11
"E00033072",288,52,18,31,5,44,135,3
"E00033073",248,40,24,17,7,32,124,4
"E00033074",259,68,21,33,2,29,98,8
"E00033075",247,90,20,27,3,24,61,22
"E00033076",354,132,28,26,7,28,122,11
"E00033077",274,50,14,19,4,29,151,7
"E00033078",304,117,21,25,1,22,111,7
"E00033079",194,38,17,22,3,26,79,9
"E00033080",178,62,17,29,13,17,35,5
"E00033081",198,39,21,19,5,21,88,5
"E00033082",262,36,18,41,8,24,130,5
"E00033083",276,27,33,49,13,33,110,11
"E00033084",263,77,39,35,11,30,65,6
"E00033085",270,78,31,40,13,31,67,10
"E00033086",227,70,29,38,11,18,56,5
"E00033087",314,64,50,59,5,38,88,10
"E00033088",211,66,30,34,7,33,32,9
"E00033089",244,67,51,38,5,21,53,9
"E00033090",316,109,44,47,11,32,60,13
"E00033091",271,62,38,46,7,37,73,8
"E00033092",263,57,41,38,12,34,77,4
"E00033093",311,73,48,56,17,36,70,11
"E00033094",279,81,42,55,11,28,49,13
"E00033095",379,61,26,36,5,40,200,11
"E00033096",220,37,22,28,10,22,98,3
"E00033097",225,74,28,32,6,32,44,9
"E00033098",237,49,37,43,10,34,58,6
"E00033099",150,76,10,17,6,16,20,5
"E00033100",249,101,43,32,10,30,25,8
"E00033101",185,36,20,24,14,23,65,3
"E00033102",356,76,56,60,8,50,103,3
"E00033103",253,105,34,45,5,26,33,5
"E00033104",222,88,29,39,4,21,33,8
"E00033105",256,55,31,54,6,36,67,7
"E00033106",240,89,44,31,8,26,32,10
"E00033107",291,54,43,48,8,43,80,15
"E00033108",259,80,40,50,6,32,46,5
"E00033109",268,57,33,36,14,44,69,15
"E00033110",292,76,32,41,19,39,66,19
"E00033112",255,18,21,46,7,29,128,6
"E00033113",221,45,17,20,3,16,116,4
"E00033114",253,34,31,44,6,23,109,6
"E00033115",129,37,10,16,4,11,47,4
"E00033116",186,88,14,17,12,10,40,5
"E00033117",310,52,23,45,12,34,138,6
"E00033118",284,43,24,63,17,39,88,10
"E00033119",212,34,18,25,7,24,102,2
"E00033120",250,38,38,45,12,30,77,10
"E00033121",193,76,14,20,11,22,46,4
"E00033122",230,51,27,31,11,31,66,13
"E00033123",225,66,21,30,14,22,66,6
"E00033124",253,50,27,34,3,29,101,9
"E00033125",164,64,25,26,0,14,26,9
"E00033126",233,72,24,46,7,26,53,5
"E00033127",456,177,48,41,6,38,132,14
"E00033128",219,70,47,41,6,20,33,2
"E00033129",229,47,24,38,10,34,70,6
"E00033130",301,43,39,47,14,35,116,7
"E00033131",224,87,34,39,8,20,29,7
"E00033132",380,114,73,57,7,40,61,28
"E00033133",284,132,48,45,1,21,29,8
"E00033134",159,67,36,28,5,12,9,2
"E00033135",333,117,66,48,10,44,38,10
"E00033136",171,66,32,20,4,18,26,5
"E00033137",236,110,39,36,2,16,26,7
"E00033138",149,74,26,15,4,12,12,6
"E00033139",230,108,32,26,12,19,26,7
"E00033140",165,53,30,31,3,21,22,5
"E00033141",164,56,24,29,7,19,25,4
"E00033142",214,63,36,50,8,25,26,6
"E00033143",180,60,44,29,3,24,14,6
"E00033144",172,65,27,31,5,19,20,5
"E00033145",224,59,30,46,4,29,42,14
"E00033146",230,73,40,33,12,23,42,7
"E00033147",250,73,52,36,4,38,39,8
"E00033148",200,64,25,35,9,22,29,16
"E00033149",187,69,33,27,4,26,18,10
"E00033150",235,81,44,42,9,27,27,5
"E00033151",201,88,26,33,5,21,21,7
"E00033152",255,80,41,45,6,33,43,7
"E00033153",375,177,54,52,11,27,42,12
"E00033154",139,61,29,12,2,10,13,12
"E00033155",216,73,43,30,6,29,26,9
"E00033156",201,89,27,23,5,22,25,10
"E00033157",242,70,41,32,3,48,30,18
"E00033158",218,69,27,47,3,39,22,11
"E00033159",127,44,22,26,3,7,19,6
"E00033160",277,83,47,49,5,38,40,15
"E00033161",249,104,43,26,8,17,37,14
"E00033162",219,77,40,36,5,28,20,13
"E00033163",238,74,47,40,2,20,21,34
"E00033164",282,64,69,52,7,33,44,13
"E00033165",149,93,16,17,1,10,7,5
"E00033166",148,81,20,14,8,10,8,7
"E00033167",243,76,44,38,19,37,24,5
"E00033168",238,93,31,33,7,31,33,10
"E00033169",257,73,48,41,17,32,39,7
"E00033170",298,83,60,54,19,27,47,8
"E00033171",284,72,62,56,17,39,32,6
"E00033172",224,120,26,17,8,21,25,7
"E00033173",274,73,52,50,13,41,41,4
"E00033174",219,84,37,46,1,24,15,12
"E00033175",218,80,38,42,6,23,22,7
"E00033176",195,74,34,32,5,22,25,3
"E00033177",238,61,47,42,8,32,37,11
"E00033178",150,53,24,20,3,22,25,3
"E00033179",252,87,37,57,12,25,20,14
"E00033181",382,31,24,31,2,150,128,16
"E00033182",329,55,23,36,3,84,109,19
"E00033183",558,42,26,32,3,298,141,16
"E00033185",303,21,19,22,3,138,95,5
"E00033186",291,21,18,28,1,125,91,7
"E00033187",212,23,11,18,0,28,125,7
"E00033188",295,56,9,33,10,104,78,5
"E00033189",390,145,68,36,5,51,58,27
"E00033190",386,129,54,33,7,33,78,52
"E00033191",421,31,19,37,4,227,87,16
"E00033192",404,24,14,18,2,256,81,9
"E00033193",296,29,18,27,3,109,102,8
"E00033194",317,26,14,30,1,118,122,6
"E00033195",225,26,21,36,3,34,102,3
"E00033196",272,98,8,24,4,37,96,5
"E00033197",356,153,21,29,5,26,106,16
"E00033198",355,16,15,28,3,159,128,6
"E00033199",179,95,15,15,4,12,34,4
"E00033200",252,72,15,15,5,66,67,12
"E00033201",213,22,8,12,1,75,93,2
"E00033202",285,27,6,26,2,125,92,7
"E00033203",213,31,19,22,4,54,78,5
"E00033204",228,18,11,30,3,59,104,3
"E00033206",536,39,16,44,7,330,87,13
"E00033207",238,109,25,26,1,23,30,24
"E00033208",202,79,26,25,1,12,37,22
"E00033209",273,118,32,24,3,23,49,24
"E00033210",223,52,29,30,1,37,49,25
"E00033211",269,83,42,28,3,39,48,26
"E00033212",218,83,38,32,2,16,33,14
"E00033213",376,36,18,29,7,179,92,15
"E00033214",390,92,46,50,4,48,106,44
"E00033215",245,62,28,32,3,24,73,23
"E00033216",213,19,31,24,1,35,98,5
"E00033217",257,17,17,27,2,51,135,8
"E00033218",239,18,12,21,2,32,145,9
"E00033219",351,52,21,18,2,99,149,10
"E00033220",371,33,11,27,1,205,88,6
"E00033221",236,46,19,19,1,56,76,19
"E00033222",162,79,9,21,5,9,28,11
"E00033223",230,30,22,32,1,33,78,34
"E00033224",249,144,27,28,6,22,19,3
"E00033225",229,94,39,34,4,22,21,15
"E00033226",324,149,60,53,10,23,19,10
"E00033227",225,114,35,35,4,20,13,4
"E00033228",286,136,32,41,9,21,29,18
"E00033229",255,110,34,21,14,28,30,18
"E00033230",241,105,39,39,3,19,30,6
"E00033231",164,70,31,20,9,17,13,4
"E00033235",188,84,31,29,4,10,17,13
"E00033237",230,124,27,37,2,17,13,10
"E00033238",377,176,55,60,6,34,28,18
"E00033242",206,113,25,20,2,21,19,6
"E00033245",265,141,37,36,8,18,14,11
"E00033246",213,78,27,38,4,32,25,9
"E00033247",258,98,43,43,3,29,23,19
"E00033248",278,141,49,39,8,14,18,9
"E00033249",213,97,42,31,4,17,13,9
"E00033250",177,101,25,23,2,14,5,7
"E00033251",165,74,15,32,3,9,20,12
"E00033252",270,153,39,24,10,12,18,14
"E00033253",197,94,28,31,5,13,14,12
"E00033254",295,144,40,34,6,34,28,9
"E00033255",228,119,21,26,2,15,36,9
"E00033256",182,87,26,20,10,23,14,2
"E00033257",276,133,37,18,6,28,44,10
"E00033258",265,155,38,28,5,16,12,11
"E00033259",112,51,13,24,2,11,9,2
"E00033260",205,89,33,37,8,12,14,12
"E00033261",204,84,30,46,5,13,15,11
"E00033262",132,61,17,19,3,10,12,10
"E00033263",126,54,17,24,0,13,11,7
"E00033264",220,124,20,32,6,15,17,6
"E00033265",248,103,36,41,10,23,27,8
"E00033266",274,108,37,48,11,22,41,7
"E00033267",207,95,28,25,5,17,27,10
"E00033268",252,72,36,27,7,35,62,13
"E00033269",221,92,17,29,4,20,48,11
"E00033270",277,65,38,51,7,42,59,15
"E00033271",318,62,34,56,18,53,89,6
"E00033272",251,61,41,40,11,26,66,6
"E00033274",206,74,33,42,5,14,32,6
"E00033275",245,91,43,34,8,32,31,6
"E00033276",184,50,23,39,3,28,30,11
"E00033277",177,74,22,32,5,20,18,6
"E00033278",180,58,31,26,6,16,37,6
"E00033279",215,76,34,38,5,29,28,5
"E00033281",245,63,37,43,6,33,56,7
"E00033282",250,77,59,20,16,27,43,8
"E00033283",242,101,38,37,10,27,23,6
"E00033284",221,104,34,27,4,29,17,6
"E00033285",242,76,40,34,7,28,47,10
"E00033286",192,116,14,17,7,13,21,4
"E00033287",230,41,40,46,9,28,55,11
"E00033288",254,48,38,39,13,46,65,5
"E00033289",201,39,33,49,2,32,44,2
"E00033290",310,116,33,30,9,33,85,4
"E00033291",364,79,48,71,17,55,86,8
"E00033292",176,32,33,34,7,30,33,7
"E00033293",255,83,30,43,5,31,48,15
"E00033294",194,63,30,32,5,21,31,12
"E00033295",223,44,30,31,8,32,76,2
"E00033296",235,69,30,37,12,30,47,10
"E00033297",272,118,31,45,5,30,36,7
"E00033298",286,129,48,32,9,18,35,15
"E00033299",255,94,27,38,10,29,53,4
"E00033300",206,84,33,38,6,11,28,6
"E00033301",225,89,26,43,7,21,31,8
"E00033302",180,81,22,34,5,15,20,3
"E00033304",240,98,27,40,11,26,25,13
"E00033305",225,99,29,35,4,27,22,9
"E00033306",231,93,33,36,10,27,24,8
"E00033307",224,93,32,35,3,24,29,8
"E00033308",228,77,26,40,6,31,38,10
"E00033309",240,100,45,34,6,33,16,6
"E00033310",238,96,39,41,8,25,16,13
"E00033312",236,93,35,41,11,17,32,7
"E00033313",265,106,35,36,6,41,30,11
"E00033314",256,93,34,32,12,22,51,12
"E00033315",285,107,49,52,6,33,28,10
"E00033316",264,65,38,47,10,28,69,7
"E00033317",307,62,45,59,17,50,65,9
"E00033318",296,114,35,49,7,37,38,16
"E00033319",341,58,32,55,9,44,136,7
"E00033320",257,73,24,35,8,29,84,4
"E00033322",253,53,23,44,9,38,73,13
"E00033323",241,29,19,39,4,39,107,4
"E00033324",246,23,19,49,10,22,111,12
"E00033326",235,29,21,44,7,24,101,9
"E00033327",245,57,33,46,6,29,56,18
"E00033328",224,90,35,38,3,20,29,9
"E00033329",272,66,36,39,9,28,85,9
"E00033330",263,62,34,31,15,35,78,8
"E00033331",270,72,39,44,8,24,73,10
"E00033332",256,26,39,48,11,35,88,9
"E00033333",258,44,33,43,10,25,88,15
"E00033334",236,48,25,42,7,28,76,10
"E00033335",220,34,30,48,4,26,73,5
"E00033336",259,51,29,40,10,31,87,11
"E00033337",168,30,17,31,3,26,57,4
"E00033338",210,28,23,23,3,25,101,7
"E00033339",283,46,27,45,15,38,106,6
"E00033340",240,35,35,43,10,31,82,4
"E00033341",248,25,35,30,10,36,106,6
"E00033342",267,44,30,42,6,34,107,4
"E00033343",214,16,26,36,5,23,97,11
"E00033344",271,35,27,41,10,46,101,11
"E00033345",315,38,20,48,12,50,141,6
"E00033346",238,44,21,36,6,42,82,7
"E00033347",255,35,30,38,11,33,100,8
"E00033348",236,34,21,45,6,25,99,6
"E00033349",228,74,26,30,7,31,54,6
"E00033350",257,48,43,47,8,34,72,5
"E00033351",244,100,39,35,3,30,23,14
