"GeographyCode","QS116EW0001","QS116EW0002","QS116EW0003","QS116EW0004","QS116EW0005","QS116EW0006","QS116EW0007","QS116EW0008","QS116EW0009","QS116EW0010","QS116EW0011","QS116EW0012"
"E01006512",799,431,70,41,0,1,6,64,43,6,84,53
"E01006513",909,467,12,46,0,5,9,109,21,11,139,90
"E01006514",1115,747,34,51,0,2,9,100,35,15,58,64
"E01006515",641,313,30,67,1,3,15,41,71,38,20,42
"E01006518",835,389,50,109,0,0,21,35,119,67,3,42
"E01006519",514,128,118,164,0,0,19,24,24,21,1,15
"E01006520",1182,805,31,58,0,6,16,160,20,11,6,69
"E01006521",928,485,39,158,1,3,17,74,52,31,7,61
"E01006522",1094,675,24,50,1,2,17,136,65,11,12,101
"E01006523",830,448,45,84,1,3,16,82,41,32,8,70
"E01006524",583,273,54,117,1,1,11,56,24,16,4,26
"E01006525",486,109,95,170,0,0,16,27,16,27,5,21
"E01006526",654,287,68,145,0,1,33,46,34,20,2,18
"E01006527",638,245,81,158,0,0,21,37,47,23,6,20
"E01006528",613,214,76,109,1,3,27,51,40,21,26,45
"E01006529",559,180,84,131,0,3,33,42,30,26,4,26
"E01006530",616,172,95,230,0,0,24,19,29,39,0,8
"E01006531",674,227,86,261,0,0,14,25,23,20,1,17
"E01006532",617,149,145,245,0,1,13,15,22,22,0,5
"E01006533",614,240,85,185,0,1,10,29,32,29,0,3
"E01006534",649,224,111,159,0,0,15,22,65,40,0,13
"E01006535",656,205,104,162,0,0,22,29,65,53,0,16
"E01006536",815,272,81,183,0,0,37,37,104,79,0,22
"E01006537",964,278,126,232,0,0,35,77,111,63,4,38
"E01006538",527,130,102,170,0,1,20,20,41,35,0,8
"E01006539",601,176,114,225,0,1,11,25,21,17,0,11
"E01006540",771,415,33,63,0,0,33,37,127,31,1,31
"E01006541",803,362,64,158,0,0,28,32,90,49,0,20
"E01006542",583,241,60,89,0,0,23,34,79,37,0,20
"E01006543",509,148,79,166,0,0,27,18,39,29,0,3
"E01006544",738,264,60,119,0,0,38,28,148,68,0,13
"E01006545",646,201,66,142,0,1,38,22,128,36,1,11
"E01006546",583,227,49,96,0,0,30,28,103,37,0,13
"E01006547",718,334,47,100,1,1,31,29,113,29,7,26
"E01006548",759,334,59,97,0,0,38,19,149,34,12,17
"E01006549",949,636,24,46,1,1,14,71,40,14,31,71
"E01006550",483,118,31,41,0,0,12,33,21,24,156,47
"E01006551",751,511,20,67,0,2,5,50,29,30,5,32
"E01006552",869,346,109,73,0,0,23,37,172,33,20,56
"E01006553",642,167,48,76,1,0,14,58,46,21,129,82
"E01006554",649,280,54,70,0,1,18,48,26,17,78,57
"E01006556",1016,538,79,55,0,0,23,32,160,51,20,58
"E01006557",635,138,41,43,0,0,6,38,37,27,206,99
"E01006558",739,380,29,93,0,1,29,31,110,53,0,13
"E01006560",996,536,43,119,0,0,27,25,135,75,2,34
"E01006562",714,294,49,96,0,0,29,25,152,55,0,14
"E01006563",908,477,34,113,0,1,34,25,146,57,1,20
"E01006564",800,300,54,226,0,0,24,35,84,59,1,17
"E01006565",638,197,80,161,0,1,26,34,62,66,0,11
"E01006566",577,184,116,136,0,0,31,33,36,32,0,9
"E01006567",892,500,67,129,0,1,23,40,71,46,0,15
"E01006568",629,191,103,138,0,1,28,41,80,38,0,9
"E01006569",613,236,56,144,0,0,26,23,56,55,0,17
"E01006570",595,165,110,181,0,0,15,32,58,23,0,11
"E01006571",612,204,67,129,0,1,25,25,81,64,0,16
"E01006572",501,133,45,91,0,0,31,31,105,55,0,10
"E01006573",778,368,60,131,0,0,32,27,111,32,0,17
"E01006574",612,231,83,126,0,0,23,16,83,42,0,8
"E01006575",578,205,73,136,1,0,24,34,50,40,0,15
"E01006576",713,191,137,223,0,1,27,40,44,35,1,14
"E01006577",597,145,135,184,0,2,23,31,34,28,1,14
"E01006578",554,139,103,164,0,0,37,34,39,26,2,10
"E01006579",618,131,147,232,0,0,28,21,28,22,0,9
"E01006580",515,113,131,187,0,0,15,17,21,24,0,7
"E01006581",607,138,147,205,0,1,20,24,26,27,10,9
"E01006582",585,110,166,205,1,0,26,6,30,29,4,8
"E01006583",467,85,124,196,0,2,10,8,14,22,0,6
"E01006584",611,205,112,174,0,0,15,25,44,28,0,8
"E01006585",641,268,53,119,0,0,16,24,76,69,2,14
"E01006586",921,414,100,135,0,2,29,64,82,58,6,31
"E01006587",717,259,105,171,0,2,19,50,47,39,1,24
"E01006588",702,272,64,142,0,1,26,74,25,27,20,51
"E01006589",599,152,138,173,0,3,26,24,37,35,0,11
"E01006590",701,231,68,105,0,1,19,67,42,38,45,85
"E01006591",671,192,121,133,0,1,14,66,47,33,21,43
"E01006592",624,189,129,194,0,2,10,30,16,20,9,25
"E01006593",662,232,77,104,0,1,13,61,50,25,34,65
"E01006594",579,172,118,216,1,0,15,23,14,17,1,2
"E01006595",812,280,97,211,0,2,23,61,60,35,7,36
