"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E00032987",87,26,6,20,45,1,13,5,3,3,2,0,0,0,0,0,8,4,2,2,0,23,12,4,7,16,2,0,2,0,12
"E00032988",200,142,13,129,40,0,13,6,5,1,1,0,0,0,0,0,15,12,0,2,1,12,9,1,2,18,1,1,4,0,12
"E00032989",232,174,9,165,36,2,8,1,4,3,0,0,0,0,0,0,11,8,1,1,1,15,5,5,5,22,0,2,8,0,12
"E00032990",219,148,31,117,51,1,14,7,5,1,1,1,1,0,0,0,24,19,4,1,0,11,8,0,3,20,0,1,5,0,14
"E00032991",219,154,3,151,42,0,10,3,6,1,0,0,0,0,0,0,16,14,1,1,0,16,6,3,7,23,1,0,5,0,17
"E00032992",165,123,7,116,26,1,4,2,1,1,0,0,0,0,0,0,7,3,4,0,0,14,9,1,4,16,1,1,6,0,8
"E00032993",166,87,11,76,43,2,15,8,0,5,2,2,2,0,0,0,14,11,1,0,2,10,5,1,4,36,3,2,14,0,17
"E00032994",63,36,12,24,21,2,4,1,1,1,1,1,1,0,0,0,2,0,0,2,0,12,6,5,1,6,0,2,1,0,3
"E00032995",149,82,40,42,58,8,17,5,3,4,5,0,0,0,0,0,8,4,3,1,0,25,10,4,11,9,2,1,0,0,6
"E00032996",181,63,29,34,98,11,31,10,3,6,12,0,0,0,0,0,9,2,6,1,0,47,14,21,12,20,3,5,1,1,10
"E00032997",106,44,12,32,45,2,15,6,1,4,4,0,0,0,0,0,5,2,3,0,0,23,10,6,7,17,3,1,0,1,12
"E00032998",164,63,16,47,83,5,31,12,6,6,7,1,1,0,0,0,19,11,3,3,2,27,13,6,8,18,2,1,4,0,11
"E00032999",236,153,8,145,52,0,10,6,0,3,1,0,0,0,0,0,25,21,0,2,2,17,7,3,7,31,0,1,10,0,20
"E00033000",87,41,33,8,43,11,12,1,2,4,5,0,0,0,0,0,4,0,1,1,2,16,4,6,6,3,0,0,1,1,1
"E00033002",129,74,11,63,42,3,15,7,1,5,2,0,0,0,0,0,10,5,2,2,1,14,7,3,4,13,3,1,2,0,7
"E00033004",167,102,9,93,59,1,35,25,7,0,3,0,0,0,0,0,17,14,2,1,0,6,3,0,3,6,0,0,1,0,5
"E00033005",176,85,29,56,78,10,22,8,3,8,3,0,0,0,0,0,9,7,0,0,2,37,14,10,13,13,2,3,0,0,8
"E00033006",120,32,15,17,75,7,25,10,4,2,9,0,0,0,0,0,13,7,1,3,2,30,14,5,11,13,2,3,1,0,7
"E00033007",155,72,32,40,67,5,20,6,1,9,4,0,0,0,0,0,6,3,2,1,0,36,13,9,14,16,2,3,0,0,11
"E00033008",147,54,14,40,80,1,17,5,3,3,6,0,0,0,0,0,7,1,0,5,1,55,19,20,16,13,5,3,0,0,5
"E00033012",104,66,6,60,35,6,25,21,2,2,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,3,0,0,2,0,1
"E00033013",115,61,13,48,39,1,14,8,2,4,0,1,1,0,0,0,9,7,2,0,0,14,8,3,3,15,1,2,5,0,7
"E00033015",109,41,5,36,42,0,18,6,4,7,1,0,0,0,0,0,22,22,0,0,0,2,1,1,0,26,0,0,16,0,10
"E00033016",226,128,6,122,64,0,47,8,10,26,3,0,0,0,0,0,10,9,0,1,0,7,4,1,2,34,2,2,15,0,15
"E00033018",72,36,3,33,16,0,4,3,1,0,0,0,0,0,0,0,10,10,0,0,0,2,1,1,0,20,0,0,10,0,10
