"GeographyCode","QS116EW0001","QS116EW0002","QS116EW0003","QS116EW0004","QS116EW0005","QS116EW0006","QS116EW0007","QS116EW0008","QS116EW0009","QS116EW0010","QS116EW0011","QS116EW0012"
"E00032987",87,26,6,7,0,0,4,5,18,7,2,12
"E00032988",200,142,6,7,0,0,3,13,10,3,4,12
"E00032989",232,174,7,3,0,0,2,10,12,6,8,10
"E00032990",219,148,6,10,0,1,5,20,9,3,4,13
"E00032991",219,154,7,3,0,1,3,16,9,7,5,14
"E00032992",165,123,2,3,0,0,5,4,11,4,6,7
"E00032993",166,87,7,12,0,2,1,13,9,4,14,17
"E00032994",63,36,2,4,0,1,2,0,13,1,1,3
"E00032995",149,82,8,18,0,0,5,4,15,13,0,4
"E00032996",181,63,10,35,0,0,7,5,39,14,1,7
"E00032997",106,44,5,13,0,0,3,2,19,8,0,12
"E00032998",164,63,12,26,0,1,6,14,20,8,4,10
"E00032999",236,153,3,7,0,0,2,24,10,7,10,20
"E00033000",87,41,6,16,0,0,2,3,10,7,1,1
"E00033002",129,74,7,12,0,0,4,6,13,5,2,6
"E00033004",167,102,7,29,0,1,3,14,3,3,1,4
"E00033005",176,85,11,25,0,0,1,9,26,14,0,5
"E00033006",120,32,6,26,0,0,5,10,23,12,1,5
"E00033007",155,72,13,15,0,0,3,4,23,15,0,10
"E00033008",147,54,8,13,0,0,5,3,44,16,0,4
"E00033012",104,66,4,27,0,1,1,2,0,0,2,1
"E00033013",115,61,6,10,0,1,2,7,13,3,5,7
"E00033015",109,41,11,7,0,0,0,25,2,0,16,7
"E00033016",226,128,38,12,0,0,2,9,6,2,15,14
"E00033018",72,36,1,3,0,0,0,11,2,0,10,9
"E00033019",218,145,5,6,0,1,1,9,13,7,21,10
"E00033020",143,94,2,2,0,0,0,20,2,1,13,9
"E00033021",134,65,8,15,1,0,6,16,7,9,2,5
"E00033023",149,86,9,11,0,1,2,11,5,2,15,7
"E00033024",104,58,1,13,0,0,0,4,14,10,0,4
"E00033025",135,56,14,29,0,0,7,12,5,6,2,4
"E00033026",90,28,18,26,0,0,3,5,6,3,0,1
"E00033027",200,109,8,22,0,0,3,16,13,5,4,20
"E00033029",111,39,8,27,0,1,4,9,5,6,0,12
"E00033030",95,23,23,36,0,0,4,2,3,2,0,2
"E00033031",130,39,25,26,0,1,4,12,6,12,3,2
"E00033032",238,154,7,12,0,1,1,33,3,3,3,21
"E00033033",193,122,5,9,0,0,3,27,9,1,1,16
"E00033034",201,118,3,13,0,1,5,35,5,2,0,19
"E00033035",159,57,10,29,1,1,2,19,10,8,1,21
"E00033036",128,75,5,8,0,0,0,12,10,6,0,12
"E00033037",153,78,17,44,1,0,1,1,4,3,0,4
"E00033038",110,73,2,2,0,0,2,13,6,3,0,9
"E00033040",132,69,9,18,0,1,6,8,6,5,3,7
"E00033041",110,33,18,33,0,0,8,3,9,4,0,2
"E00033042",98,27,17,39,0,0,2,3,4,2,2,2
"E00033043",112,28,15,26,0,0,7,8,6,7,2,13
"E00033044",92,18,19,34,0,0,3,2,4,6,1,5
"E00033045",132,81,4,21,0,0,2,3,12,5,1,3
"E00033046",121,73,1,33,0,0,2,3,0,2,1,6
"E00033047",106,19,20,43,0,1,8,4,5,4,0,2
"E00033048",100,23,27,36,0,0,2,5,1,5,0,1
"E00033049",154,41,26,25,0,1,10,20,17,4,3,7
"E00033050",84,13,17,35,0,0,2,9,1,7,0,0
"E00033051",167,65,4,37,0,0,2,25,10,7,1,16
"E00033052",144,41,12,26,1,0,6,13,5,6,14,20
"E00033053",111,32,15,19,0,0,6,15,10,3,4,7
"E00033054",76,30,7,16,0,0,2,6,12,2,0,1
"E00033055",106,35,15,22,0,0,11,10,3,2,0,8
"E00033056",123,34,22,29,0,0,6,10,6,9,1,6
"E00033057",122,39,18,30,0,1,11,6,10,3,1,3
"E00033059",149,63,16,42,0,0,4,4,13,3,0,4
"E00033060",101,45,10,37,0,0,1,1,4,2,0,1
"E00033061",91,27,19,27,0,0,5,4,3,2,1,3
"E00033062",105,30,27,33,0,0,2,2,2,5,0,4
"E00033063",101,19,18,46,0,0,3,4,6,4,0,1
"E00033064",97,23,26,24,0,0,4,7,7,3,0,3
"E00033065",120,29,28,34,0,0,5,7,6,7,0,4
"E00033066",155,88,7,9,0,2,4,30,4,1,0,10
"E00033067",184,120,7,16,0,0,2,19,7,4,0,9
"E00033068",203,115,5,12,0,1,5,40,3,3,3,16
"E00033069",164,102,7,11,0,1,1,21,6,1,0,14
"E00033070",190,129,1,5,0,0,1,22,16,1,2,13
"E00033071",141,61,9,18,1,3,3,22,7,5,1,11
"E00033072",167,82,2,8,0,0,3,20,9,4,9,30
"E00033073",192,140,3,6,0,2,1,31,1,0,0,8
"E00033074",179,122,6,4,1,0,4,11,20,2,0,9
"E00033075",210,188,2,3,0,0,3,7,2,0,0,5
"E00033076",152,68,19,33,0,0,3,13,4,7,0,5
"E00033077",185,113,6,12,0,1,4,23,5,5,3,13
"E00033078",176,117,8,20,0,0,3,9,10,2,0,7
"E00033079",116,61,13,15,0,0,2,7,4,5,1,8
"E00033080",150,114,1,6,0,0,3,4,9,9,0,4
"E00033081",127,62,8,20,0,0,7,18,5,4,0,3
"E00033082",122,22,27,54,0,0,3,4,6,3,0,3
"E00033083",122,23,28,54,0,0,4,3,6,4,0,0
"E00033084",148,59,22,36,0,0,2,6,13,10,0,0
"E00033085",143,51,16,44,0,0,3,8,12,8,0,1
"E00033086",122,35,11,54,0,0,4,5,7,5,0,1
"E00033087",149,36,42,38,0,0,4,5,18,5,0,1
"E00033088",101,26,15,34,0,0,3,2,6,13,0,2
"E00033089",124,42,22,19,0,0,6,5,18,7,0,5
"E00033090",139,26,24,47,0,0,5,7,10,15,0,5
"E00033091",126,28,23,44,0,0,3,12,9,4,0,3
"E00033092",127,32,25,51,0,0,3,2,3,8,0,3
"E00033093",158,48,28,43,0,0,6,8,12,12,0,1
"E00033094",136,35,21,57,0,0,7,2,6,6,0,2
"E00033095",164,35,34,58,0,0,2,9,10,9,0,7
"E00033096",110,30,21,48,0,0,1,3,4,3,0,0
"E00033097",119,35,10,25,0,0,4,3,24,16,0,2
"E00033098",113,21,18,52,0,0,2,5,2,6,0,7
"E00033099",94,57,8,22,0,0,2,2,1,2,0,0
"E00033100",138,52,12,35,0,0,3,5,13,12,0,6
"E00033101",96,34,12,31,0,0,2,7,1,7,0,2
"E00033102",207,82,19,35,0,0,10,15,28,10,0,8
"E00033103",117,32,15,31,0,0,6,5,11,16,0,1
"E00033104",109,34,13,25,0,0,5,3,16,9,0,4
"E00033105",118,31,24,49,0,0,4,2,3,3,0,2
"E00033106",125,37,12,32,0,0,9,6,12,16,0,1
"E00033107",121,17,29,42,0,0,3,7,10,11,0,2
"E00033108",119,22,21,30,0,0,8,7,19,9,0,3
"E00033109",123,28,28,46,0,1,3,3,7,6,0,1
"E00033110",142,33,17,46,0,0,3,9,15,17,0,2
"E00033112",115,23,28,52,0,0,4,2,3,1,0,2
"E00033113",117,38,18,47,0,0,1,7,4,1,0,1
"E00033114",113,18,29,49,0,0,4,4,3,5,0,1
"E00033115",92,62,5,19,0,1,0,3,1,1,0,0
"E00033116",101,73,1,23,0,1,0,1,1,1,0,0
"E00033117",154,44,40,55,0,0,4,1,4,6,0,0
"E00033118",129,24,26,49,0,0,5,5,7,12,0,1
