"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E00032987",87,19,52,5,11
"E00032988",200,53,127,4,16
"E00032989",232,58,147,7,20
"E00032990",219,35,153,9,22
"E00032991",219,27,164,9,19
"E00032992",165,45,109,8,3
"E00032993",166,76,74,6,10
"E00032994",63,19,31,9,4
"E00032995",149,50,74,16,9
"E00032996",181,46,99,18,18
"E00032997",106,42,49,11,4
"E00032998",164,54,87,14,9
"E00032999",236,73,130,8,25
"E00033000",87,16,54,7,10
"E00033002",129,56,49,10,14
"E00033004",167,97,60,8,2
"E00033005",176,56,86,15,19
"E00033006",120,34,64,14,8
"E00033007",155,70,61,8,16
"E00033008",147,44,65,21,17
"E00033012",104,39,55,1,9
"E00033013",115,40,52,5,18
"E00033015",109,36,53,9,11
"E00033016",226,63,114,17,32
"E00033018",72,26,35,6,5
"E00033019",218,73,117,10,18
"E00033020",143,35,91,6,11
"E00033021",134,46,64,12,12
"E00033023",149,36,85,12,16
"E00033024",104,51,44,8,1
"E00033025",135,55,56,16,8
"E00033026",90,27,47,14,2
"E00033027",200,44,126,13,17
"E00033029",111,36,57,14,4
"E00033030",95,36,48,9,2
"E00033031",130,56,51,20,3
"E00033032",238,60,154,6,18
"E00033033",193,52,113,5,23
"E00033034",201,49,118,5,29
"E00033035",159,51,86,12,10
"E00033036",128,55,61,5,7
"E00033037",153,62,77,5,9
"E00033038",110,34,65,2,9
"E00033040",132,45,75,6,6
"E00033041",110,36,56,16,2
"E00033042",98,32,50,10,6
"E00033043",112,44,59,9,0
"E00033044",92,26,49,15,2
"E00033045",132,33,85,8,6
"E00033046",121,59,58,0,4
"E00033047",106,29,59,15,3
"E00033048",100,31,56,12,1
"E00033049",154,37,88,24,5
"E00033050",84,21,52,9,2
"E00033051",167,69,73,11,14
"E00033052",144,52,67,17,8
"E00033053",111,39,51,17,4
"E00033054",76,18,43,6,9
"E00033055",106,43,51,11,1
"E00033056",123,34,73,15,1
"E00033057",122,39,59,18,6
"E00033059",149,35,87,13,14
"E00033060",101,46,43,11,1
"E00033061",91,39,35,12,5
"E00033062",105,41,42,21,1
"E00033063",101,38,51,8,4
"E00033064",97,26,59,9,3
"E00033065",120,52,59,9,0
"E00033066",155,42,89,4,20
"E00033067",184,40,125,3,16
"E00033068",203,57,121,8,17
"E00033069",164,48,96,6,14
"E00033070",190,54,120,5,11
"E00033071",141,46,75,8,12
"E00033072",167,43,96,9,19
"E00033073",192,19,137,3,33
"E00033074",179,52,105,13,9
"E00033075",210,18,179,1,12
"E00033076",152,60,68,8,16
"E00033077",185,43,127,4,11
"E00033078",176,83,78,5,10
"E00033079",116,32,68,13,3
"E00033080",150,54,83,4,9
"E00033081",127,60,45,17,5
"E00033082",122,54,58,6,4
"E00033083",122,53,54,12,3
"E00033084",148,61,63,19,5
"E00033085",143,61,55,21,6
"E00033086",122,40,74,7,1
"E00033087",149,38,86,19,6
"E00033088",101,27,58,10,6
"E00033089",124,41,54,18,11
"E00033090",139,29,72,24,14
"E00033091",126,31,76,14,5
"E00033092",127,41,67,17,2
"E00033093",158,49,81,21,7
"E00033094",136,35,77,22,2
"E00033095",164,68,86,7,3
"E00033096",110,46,53,9,2
"E00033097",119,36,67,13,3
"E00033098",113,27,72,8,6
"E00033099",94,18,66,5,5
"E00033100",138,43,71,16,8
"E00033101",96,37,46,9,4
"E00033102",207,66,109,25,7
"E00033103",117,32,60,15,10
"E00033104",109,35,50,14,10
"E00033105",118,37,67,12,2
"E00033106",125,36,67,19,3
"E00033107",121,35,63,16,7
"E00033108",119,24,61,23,11
"E00033109",123,33,63,23,4
"E00033110",142,36,89,13,4
"E00033112",115,53,51,9,2
"E00033113",117,64,43,7,3
"E00033114",113,38,59,14,2
"E00033115",92,55,31,3,3
"E00033116",101,40,58,2,1
"E00033117",154,41,86,24,3
"E00033118",129,28,73,26,2
"E00033119",109,39,52,16,2
"E00033120",132,45,66,16,5
"E00033121",119,35,71,7,6
"E00033122",121,41,66,10,4
"E00033123",123,50,60,10,3
"E00033124",120,43,60,12,5
"E00033125",111,39,60,9,3
"E00033126",111,32,63,16,0
"E00033127",194,56,98,30,10
"E00033128",111,36,52,15,8
"E00033129",108,37,54,15,2
"E00033130",126,40,68,15,3
"E00033131",130,39,65,12,14
"E00033132",158,41,79,27,11
"E00033133",144,33,77,21,13
"E00033134",111,62,31,14,4
"E00033135",183,50,93,27,13
"E00033136",99,28,52,8,11
"E00033137",167,72,73,12,10
"E00033138",113,72,25,13,3
"E00033139",149,31,103,9,6
"E00033140",94,33,49,9,3
"E00033141",85,32,36,15,2
"E00033142",117,38,52,18,9
"E00033143",127,53,51,14,9
"E00033144",126,70,43,7,6
"E00033145",122,33,63,18,8
"E00033146",124,44,57,12,11
"E00033147",127,47,51,16,13
"E00033148",116,38,63,9,6
"E00033149",98,33,46,13,6
"E00033150",146,28,83,10,25
"E00033151",125,46,52,21,6
"E00033152",146,51,65,20,10
"E00033153",167,71,68,22,6
"E00033154",102,67,22,8,5
"E00033155",155,77,61,9,8
"E00033156",122,52,47,14,9
"E00033157",140,54,51,22,13
"E00033158",130,40,60,24,6
"E00033159",87,28,35,16,8
"E00033160",167,48,83,17,19
"E00033161",137,30,77,16,14
"E00033162",131,51,50,16,14
"E00033163",136,32,77,10,17
"E00033164",152,41,88,19,4
"E00033165",117,20,82,7,8
"E00033166",113,23,83,2,5
"E00033167",130,30,78,14,8
"E00033168",122,32,70,14,6
"E00033169",122,34,61,21,6
"E00033170",142,34,73,28,7
"E00033171",136,37,65,25,9
"E00033172",122,25,85,3,9
"E00033173",129,42,56,25,6
"E00033174",114,32,52,18,12
"E00033175",107,27,50,18,12
"E00033176",99,36,43,12,8
"E00033177",130,39,75,11,5
"E00033178",88,32,47,5,4
"E00033179",136,39,68,19,10
"E00033181",155,47,89,6,13
"E00033182",184,49,113,6,16
"E00033183",207,44,124,22,17
"E00033185",117,34,60,21,2
"E00033186",105,22,67,9,7
"E00033187",129,38,76,2,13
"E00033188",113,20,73,19,1
"E00033189",208,81,85,25,17
"E00033190",226,66,84,27,49
"E00033191",128,25,74,24,5
"E00033192",118,21,57,27,13
"E00033193",114,46,47,19,2
"E00033194",117,34,66,11,6
"E00033195",105,28,60,15,2
"E00033196",137,38,82,5,12
"E00033197",236,122,99,6,9
"E00033198",135,38,82,11,4
"E00033199",137,85,44,5,3
"E00033200",126,23,84,6,13
"E00033201",91,17,59,9,6
"E00033202",98,25,54,17,2
"E00033203",101,29,56,15,1
"E00033204",105,27,63,12,3
"E00033206",117,50,57,5,5
"E00033207",179,97,64,9,9
"E00033208",143,59,59,13,12
"E00033209",208,47,139,5,17
"E00033210",133,42,61,15,15
"E00033211",145,51,60,15,19
"E00033212",123,36,54,17,16
"E00033213",136,35,74,21,6
"E00033214",223,58,97,27,41
"E00033215",147,36,79,20,12
"E00033216",150,59,71,10,10
"E00033217",158,33,101,7,17
"E00033218",106,28,60,8,10
"E00033219",181,40,124,9,8
"E00033220",135,39,74,11,11
"E00033221",170,34,121,4,11
"E00033222",135,21,99,2,13
"E00033223",171,42,103,5,21
"E00033224",148,28,97,9,14
"E00033225",160,72,72,11,5
"E00033226",187,47,101,24,15
"E00033227",136,36,72,14,14
