"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E01006512",974,100,73,801
"E01006513",2062,453,217,1392
"E01006514",868,268,82,518
"E01006515",121,34,14,73
"E01006518",122,25,17,80
"E01006519",94,24,8,62
"E01006520",126,47,16,63
"E01006521",113,40,9,64
"E01006522",135,54,11,70
"E01006523",100,26,7,67
"E01006524",1220,180,144,896
"E01006525",98,37,6,55
"E01006526",78,29,17,32
"E01006527",184,52,24,108
"E01006528",180,56,15,109
"E01006529",87,36,5,46
"E01006530",88,31,9,48
"E01006531",87,25,7,55
"E01006532",104,28,5,71
"E01006533",75,27,7,41
"E01006534",124,32,12,80
"E01006535",109,36,15,58
"E01006536",117,32,11,74
"E01006537",123,38,16,69
"E01006538",77,28,5,44
"E01006539",103,42,3,58
"E01006540",121,24,21,76
"E01006541",85,28,11,46
"E01006542",92,32,4,56
"E01006543",92,36,10,46
"E01006544",118,23,9,86
"E01006545",97,26,9,62
"E01006546",74,22,8,44
"E01006547",117,26,12,79
"E01006548",155,42,15,98
"E01006549",275,78,28,169
"E01006550",971,237,66,668
"E01006551",446,84,45,317
"E01006552",243,49,41,153
"E01006553",833,238,72,523
"E01006554",632,169,50,413
"E01006556",250,61,26,163
"E01006557",1205,271,103,831
"E01006558",60,10,6,44
"E01006560",99,20,15,64
"E01006562",97,22,11,64
"E01006563",88,20,11,57
"E01006564",84,23,7,54
"E01006565",82,25,14,43
"E01006566",99,35,9,55
"E01006567",98,36,14,48
"E01006568",87,22,18,47
"E01006569",82,20,15,47
"E01006570",98,39,5,54
"E01006571",85,19,7,59
"E01006572",63,16,9,38
"E01006573",65,11,7,47
"E01006574",75,14,15,46
"E01006575",90,25,5,60
"E01006576",91,29,6,56
"E01006577",104,31,12,61
"E01006578",76,23,11,42
"E01006579",82,32,2,48
"E01006580",99,37,5,57
"E01006581",120,45,5,70
"E01006582",150,46,12,92
"E01006583",572,170,98,304
"E01006584",77,23,13,41
"E01006585",81,16,18,47
"E01006586",147,39,18,90
"E01006587",91,33,7,51
"E01006588",188,52,23,113
"E01006589",107,37,13,57
"E01006590",283,70,20,193
"E01006591",227,76,16,135
"E01006592",139,40,7,92
"E01006593",274,66,19,189
"E01006594",104,32,3,69
"E01006595",112,40,3,69
"E01006596",99,32,9,58
"E01006597",119,32,5,82
"E01006598",89,16,11,62
"E01006599",70,15,12,43
"E01006600",92,27,11,54
"E01006603",78,21,11,46
"E01006604",75,18,9,48
"E01006605",91,25,12,54
"E01006606",67,19,12,36
"E01006607",114,35,12,67
"E01006608",66,22,16,28
"E01006609",86,17,8,61
"E01006610",94,22,9,63
"E01006611",65,19,15,31
"E01006612",73,21,6,46
"E01006613",94,29,12,53
"E01006614",59,19,5,35
"E01006615",71,22,6,43
"E01006616",80,22,9,49
"E01006617",85,26,12,47
"E01006618",109,23,8,78
"E01006619",96,30,10,56
"E01006620",78,31,5,42
"E01006621",125,34,10,81
