"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E01006512",1666,21,5,23,51,7,1,159,9,12,221,4,1153
"E01006513",2853,41,10,83,89,11,4,202,40,14,548,10,1801
"E01006514",1955,54,7,76,95,9,1,194,32,21,430,7,1029
"E01006515",921,6,3,41,69,3,3,120,16,12,205,4,439
"E01006518",1229,13,2,20,152,9,2,195,32,11,117,9,667
"E01006519",949,33,17,93,39,4,5,361,23,19,41,8,306
"E01006520",1523,23,23,89,171,6,3,518,48,74,86,8,474
"E01006521",1256,41,4,43,122,2,4,484,23,23,45,8,457
"E01006522",1564,49,16,95,162,9,2,489,43,58,91,13,537
"E01006523",1242,28,17,69,140,3,5,427,31,33,56,3,430
"E01006524",2033,41,6,58,102,6,3,430,38,13,60,10,1266
"E01006525",942,42,3,63,50,2,2,386,34,15,37,4,304
"E01006526",1029,38,3,40,109,4,3,414,25,14,44,4,331
"E01006527",1103,29,3,43,99,10,3,370,28,16,52,5,445
"E01006528",1157,23,9,35,148,9,2,427,37,30,36,4,397
"E01006529",1007,24,4,39,120,6,3,405,34,24,48,2,298
"E01006530",1005,16,2,44,61,4,0,425,37,17,39,3,357
"E01006531",997,18,5,42,46,2,2,376,35,7,29,8,427
"E01006532",1132,46,8,24,32,3,3,541,35,13,16,8,403
"E01006533",992,16,4,46,44,5,0,377,35,11,39,4,411
"E01006534",1158,28,1,57,107,8,1,404,53,9,30,11,449
"E01006535",1222,20,10,67,98,6,2,444,39,20,29,4,483
"E01006536",1386,18,10,82,143,10,6,383,40,13,65,5,611
"E01006537",1728,27,8,111,102,20,6,614,68,36,159,16,561
"E01006538",972,12,2,79,48,7,2,380,35,17,52,9,329
"E01006539",1117,54,2,16,62,2,3,508,28,13,40,4,385
"E01006540",1139,5,2,8,158,7,3,177,40,7,79,1,652
"E01006541",1211,15,3,7,192,15,3,343,49,10,72,8,494
"E01006542",1025,5,0,11,163,10,1,249,53,7,61,5,460
"E01006543",966,8,2,9,124,3,3,349,56,7,60,5,340
"E01006544",1190,6,2,13,194,5,1,229,41,4,64,2,629
"E01006545",1083,9,0,5,182,10,2,298,61,13,78,12,413
"E01006546",942,9,0,7,174,14,2,202,46,16,72,4,396
"E01006547",1125,23,0,12,161,9,1,208,30,15,54,8,604
"E01006548",1177,9,6,3,205,10,2,226,47,11,60,4,594
"E01006549",1456,26,4,34,195,8,3,339,35,60,106,10,636
"E01006550",1466,18,2,30,161,10,0,216,35,27,79,5,883
"E01006551",1298,21,1,19,87,4,1,218,32,23,55,5,832
"E01006552",1403,21,6,28,152,15,1,248,27,34,113,1,757
"E01006553",1673,23,3,41,233,9,4,386,38,33,100,3,800
"E01006554",1500,44,6,34,189,11,3,303,31,47,80,4,748
"E01006556",1510,21,3,29,201,13,3,195,27,11,82,11,914
"E01006557",1874,19,2,30,246,8,2,269,33,20,102,8,1135
"E01006558",1057,7,6,10,175,6,1,153,30,10,71,3,585
"E01006560",1419,7,1,16,199,18,1,167,29,8,76,3,894
"E01006562",1109,9,0,11,171,9,3,152,32,4,76,1,641
"E01006563",1224,7,3,8,144,10,1,144,20,10,60,3,814
"E01006564",1354,8,0,20,182,10,1,306,54,7,91,4,671
"E01006565",1119,5,2,11,141,12,4,321,39,14,101,3,466
"E01006566",1078,26,1,14,144,12,4,378,30,9,71,6,383
"E01006567",1237,18,2,17,126,12,4,343,32,11,86,8,578
"E01006568",1145,13,2,10,106,10,2,474,54,10,50,2,412
"E01006569",1035,10,2,8,89,7,4,251,44,5,84,5,526
"E01006570",1082,29,2,12,125,13,3,443,36,12,57,7,343
"E01006571",1050,7,0,7,152,11,0,264,32,3,73,8,493
"E01006572",834,6,1,9,100,10,3,179,35,3,58,5,425
"E01006573",1055,15,0,11,181,8,3,258,26,8,77,3,465
"E01006574",966,7,1,11,113,8,1,275,48,3,42,3,454
"E01006575",956,18,1,19,100,4,2,313,42,10,57,3,387
"E01006576",1264,25,2,64,95,8,6,584,58,8,45,7,362
"E01006577",1106,27,5,20,114,7,4,501,41,12,43,1,331
"E01006578",1020,16,3,40,95,4,1,444,49,13,42,5,308
"E01006579",1177,34,2,21,142,8,3,489,55,10,32,4,377
"E01006580",1015,32,0,13,88,3,4,481,38,8,35,9,304
"E01006581",1152,26,0,15,102,4,1,517,39,13,57,3,375
"E01006582",1192,38,6,19,116,0,5,526,46,15,44,3,374
"E01006583",1408,45,2,18,87,5,1,500,47,5,55,4,639
"E01006584",1042,16,0,56,76,9,3,393,47,10,57,5,370
"E01006585",1005,12,2,26,113,9,3,224,33,8,57,4,514
"E01006586",1460,17,2,24,173,16,3,473,57,26,80,4,585
"E01006587",1280,31,2,63,112,12,5,455,37,20,67,1,475
"E01006588",1264,35,1,36,196,3,6,415,36,13,85,5,433
"E01006589",1116,28,0,13,153,4,7,478,43,13,46,4,327
"E01006590",1369,29,5,41,230,15,0,402,54,23,103,4,463
"E01006591",1289,25,3,27,177,6,0,503,33,23,66,4,422
"E01006592",1136,59,2,12,99,5,5,472,27,27,52,3,373
"E01006593",1255,27,2,24,190,7,4,433,38,28,80,5,417
"E01006594",1054,45,1,20,54,1,3,491,30,6,25,5,373
"E01006595",1313,28,5,65,115,4,3,525,47,15,83,7,416
"E01006596",1095,28,3,23,110,7,4,448,46,18,69,3,336
"E01006597",1232,52,3,36,114,4,0,531,31,11,50,5,395
"E01006598",927,5,2,4,126,8,2,148,16,6,49,3,558
"E01006599",778,4,0,3,139,10,1,131,20,10,43,1,416
"E01006600",1030,11,0,7,155,13,6,268,32,6,66,5,461
"E01006603",1025,7,1,9,150,9,4,254,35,9,44,4,499
"E01006604",1019,4,0,9,151,8,3,310,36,9,50,3,436
"E01006605",1121,13,1,8,166,16,4,274,43,9,48,4,535
"E01006606",1155,13,3,12,153,16,4,359,52,7,47,4,485
"E01006607",1084,5,4,6,169,11,7,264,51,9,49,3,506
"E01006608",926,11,0,10,107,10,0,319,41,12,43,6,367
"E01006609",975,12,0,10,149,7,1,267,36,9,57,5,422
"E01006610",1015,10,0,17,175,10,1,216,42,7,66,1,470
"E01006611",994,1,0,23,190,12,1,146,45,6,48,1,521
"E01006612",1073,6,0,14,150,7,4,234,49,12,57,3,537
"E01006613",1016,4,2,5,111,7,2,240,54,14,47,5,525
"E01006614",989,2,1,11,168,21,5,215,49,11,65,3,438
"E01006615",998,7,0,14,193,13,4,222,35,8,63,3,436
"E01006616",1068,10,2,8,160,10,5,287,45,8,47,6,480
"E01006617",1093,23,0,6,168,8,2,453,41,21,42,4,325
"E01006618",1205,10,0,7,185,9,4,338,54,12,45,3,538
"E01006619",1196,12,2,8,151,8,4,450,46,5,75,6,429
"E01006620",1021,21,0,10,86,7,2,381,49,6,53,3,403
"E01006621",1123,41,1,10,73,5,1,477,33,5,44,2,431
"E01006622",1097,20,1,6,108,4,3,513,44,12,56,5,325
"E01006623",1150,27,1,5,97,11,4,543,56,9,21,5,371
"E01006624",1174,10,1,5,150,10,3,396,48,5,35,4,507
"E01006625",1010,16,5,17,114,5,2,410,41,11,31,8,350
"E01006626",1116,15,1,4,141,6,1,430,60,10,37,5,406
"E01006627",1033,16,0,12,129,4,2,392,62,5,55,6,350
"E01006628",1525,34,26,131,115,5,0,416,54,33,54,6,651
"E01006629",1008,26,12,50,116,5,1,317,29,11,53,1,387
"E01006630",970,7,1,38,104,8,1,132,18,6,88,3,564
"E01006632",1352,17,3,30,206,13,1,243,34,17,98,8,682
"E01006633",1036,5,2,18,135,5,1,158,29,6,51,2,624
"E01006637",1109,9,3,11,134,10,1,266,56,1,57,4,557
"E01006638",872,2,0,1,100,10,4,161,24,8,53,8,501
"E01006639",1097,12,0,9,119,15,4,441,52,7,40,6,392
"E01006640",1358,19,1,10,103,14,2,593,67,9,47,5,488
"E01006641",1187,17,0,23,153,19,4,578,52,5,41,7,288
"E01006642",900,7,0,6,118,6,4,195,36,13,57,0,458
"E01006643",1275,6,1,16,185,21,1,324,49,13,53,5,601
"E01006644",1507,10,3,12,197,12,4,456,71,22,60,3,657
"E01006645",993,11,0,6,126,3,0,206,43,5,35,0,558
"E01006646",1543,18,1,28,141,9,2,311,45,13,183,6,786
"E01006647",1000,3,2,10,105,10,1,101,25,5,73,2,663
"E01006648",1780,14,7,66,136,18,3,290,35,17,340,7,847
"E01006651",1214,27,5,89,45,15,3,606,60,4,59,7,294
"E01006652",1118,19,3,73,82,18,4,361,50,13,107,3,385
"E01006653",1100,10,4,51,70,7,2,343,54,6,69,4,480
"E01006654",1080,10,7,71,88,9,1,410,44,10,89,5,336
"E01006655",1272,21,5,78,71,14,2,368,40,10,150,7,506
"E01006656",1135,12,4,69,98,17,4,376,50,12,94,4,395
"E01006657",905,8,2,42,86,7,3,282,38,11,69,2,355
"E01006658",971,3,0,36,102,12,0,196,37,16,83,4,482
"E01006659",1476,15,5,11,87,13,1,264,33,23,111,8,905
"E01006660",1008,16,1,25,74,13,1,296,35,10,108,4,425
"E01006661",1176,6,1,8,134,6,0,268,47,4,64,7,631
"E01006662",1165,6,1,14,138,8,1,319,41,6,56,6,569
"E01006663",820,10,1,15,89,3,2,312,39,5,35,3,306
"E01006664",1264,9,3,12,152,13,8,344,52,12,54,4,601
"E01006665",1172,27,0,12,110,10,3,614,58,6,14,1,317
"E01006666",1107,24,0,11,116,10,2,580,48,8,16,4,288
"E01006667",1079,17,0,4,122,13,3,418,43,6,31,4,418
"E01006668",1118,28,0,14,107,8,2,612,47,6,18,5,271
"E01006669",1109,18,1,7,99,14,5,519,61,14,20,6,345
"E01006670",1150,21,0,6,122,6,3,522,73,9,22,5,361
"E01006671",1046,16,1,10,85,12,1,429,47,2,26,7,410
"E01006672",1353,19,0,9,179,13,3,354,52,16,55,2,651
"E01006673",1425,12,11,45,149,10,7,183,22,14,167,9,796
"E01006674",1277,13,0,11,134,9,6,160,13,7,83,5,836
"E01006675",1604,45,5,48,218,17,1,347,32,74,136,13,668
"E01006676",1208,16,1,16,162,17,2,167,32,6,94,5,690
"E01006677",704,10,2,10,89,6,4,83,10,4,53,3,430
"E01006678",1657,18,8,38,199,16,5,264,34,26,110,13,926
"E01006679",1460,7,1,20,114,6,0,179,23,11,104,8,987
"E01006680",1182,26,10,56,80,7,2,489,42,22,53,6,389
"E01006681",1176,22,3,56,90,8,4,427,39,14,40,3,470
"E01006682",963,34,5,59,33,8,2,428,48,16,29,4,297
"E01006683",1118,19,4,53,40,3,7,524,37,19,37,6,369
"E01006684",1629,53,24,157,78,13,6,741,49,25,41,6,436
"E01006685",1121,39,14,58,55,6,2,435,39,12,32,4,425
"E01006686",1060,25,9,57,69,4,6,415,28,15,43,3,386
"E01006687",1483,62,19,95,72,1,4,632,39,22,28,5,504
"E01006688",1174,39,14,94,85,8,3,423,30,21,45,4,408
"E01006689",1215,32,9,89,71,5,3,524,39,27,63,5,348
"E01006690",1227,18,1,19,198,8,1,215,37,18,103,2,607
"E01006691",1110,12,2,22,161,10,1,165,36,11,101,2,587
"E01006692",1644,15,6,18,244,12,4,338,47,27,113,4,816
"E01006693",1190,9,0,7,146,8,1,194,32,9,80,4,700
"E01006694",1392,10,4,25,287,8,6,208,41,12,112,2,677
"E01006695",1496,16,5,32,217,17,0,271,32,29,114,5,758
"E01006696",1286,5,3,25,193,15,3,222,34,7,115,8,656
"E01006697",1365,19,1,18,228,11,6,204,45,19,110,7,697
"E01006698",1244,13,4,53,170,12,2,335,60,6,93,2,494
"E01006699",1186,6,4,89,105,5,2,185,36,6,69,2,677
"E01006700",1085,9,1,32,152,15,2,192,47,11,70,8,546
"E01006701",1111,7,2,46,128,13,1,276,42,7,68,9,512
"E01006702",1179,3,5,55,164,7,1,198,33,8,67,1,637
"E01006703",1210,8,1,29,166,6,3,181,45,11,62,10,688
"E01006705",1106,13,1,20,186,19,0,277,48,7,59,5,471
"E01006706",1010,5,0,7,140,4,2,190,42,5,46,4,565
"E01006707",935,4,0,4,155,5,0,181,35,4,28,2,517
"E01006708",1257,11,1,14,162,8,3,411,46,7,65,10,519
"E01006709",1064,8,0,13,165,10,3,299,29,17,51,4,465
"E01006710",1139,7,1,13,177,7,5,355,48,9,41,5,471
"E01006711",1138,21,2,16,158,7,2,255,50,6,88,5,528
"E01006712",949,8,5,10,149,8,1,259,43,14,81,3,368
