"GeographyCode","QS404EW0001","QS404EW0002","QS404EW0003","QS404EW0004","QS404EW0005","QS404EW0006","QS404EW0007"
"E00032987",14,0,0,3,9,1,1
"E00032988",14,1,0,0,13,0,0
"E00032989",14,0,0,0,12,2,0
"E00032990",33,3,0,3,23,3,1
"E00032991",3,0,0,0,2,0,1
"E00032992",9,0,0,0,8,1,0
"E00032993",17,5,0,2,9,0,1
"E00032994",16,0,0,5,8,1,2
"E00032995",55,17,0,2,31,1,4
"E00032996",55,5,0,13,34,1,2
"E00032997",18,9,0,1,6,1,1
"E00032998",30,10,0,1,15,1,3
"E00032999",9,4,0,0,5,0,0
"E00033000",49,1,0,0,47,1,0
"E00033002",16,8,0,1,5,1,1
"E00033004",15,12,0,0,1,2,0
"E00033005",48,6,0,8,26,5,3
"E00033006",35,16,0,0,16,3,0
"E00033007",48,1,0,5,38,2,2
"E00033008",23,2,0,6,14,1,0
"E00033012",14,13,0,0,0,0,1
"E00033013",14,7,0,0,5,2,0
"E00033015",5,4,0,0,1,0,0
"E00033016",8,6,0,1,1,0,0
"E00033018",3,3,0,0,0,0,0
"E00033019",13,1,0,0,10,2,0
"E00033020",3,1,0,0,2,0,0
"E00033021",24,2,0,2,18,2,0
"E00033023",40,4,0,2,27,5,2
"E00033024",23,3,0,6,11,1,2
"E00033025",28,24,0,0,3,1,0
"E00033026",28,27,0,0,0,0,1
"E00033027",49,37,0,0,11,1,0
"E00033029",23,16,1,0,3,2,1
"E00033030",34,32,0,2,0,0,0
"E00033031",28,25,0,1,0,2,0
"E00033032",23,3,0,0,14,5,1
"E00033033",9,2,0,0,3,2,2
"E00033034",7,5,0,0,2,0,0
"E00033035",27,2,0,0,23,1,1
"E00033036",8,2,0,0,5,1,0
"E00033037",55,49,0,0,1,4,1
"E00033038",2,1,0,0,1,0,0
"E00033040",24,15,0,0,5,4,0
"E00033041",39,38,0,0,1,0,0
"E00033042",33,33,0,0,0,0,0
"E00033043",25,20,0,0,0,4,1
"E00033044",32,31,0,0,0,1,0
"E00033045",56,1,0,0,54,1,0
"E00033046",79,78,0,0,0,1,0
"E00033047",33,31,0,0,1,0,1
"E00033048",41,39,0,1,0,1,0
"E00033049",13,9,0,0,2,1,1
"E00033050",23,22,0,1,0,0,0
"E00033051",18,14,0,0,0,4,0
"E00033052",27,16,0,0,5,6,0
"E00033053",16,13,0,0,3,0,0
"E00033054",19,2,0,0,17,0,0
"E00033055",13,13,0,0,0,0,0
"E00033056",29,28,0,0,0,1,0
"E00033057",30,26,0,2,1,1,0
"E00033059",65,22,0,1,35,7,0
"E00033060",54,52,0,0,0,0,2
"E00033061",29,26,0,0,2,1,0
"E00033062",41,39,0,1,0,0,1
"E00033063",30,29,0,0,1,0,0
"E00033064",19,19,0,0,0,0,0
"E00033065",30,30,0,0,0,0,0
"E00033066",19,3,0,0,14,2,0
"E00033067",22,5,0,0,12,5,0
"E00033068",9,2,0,0,0,7,0
"E00033069",15,6,0,0,7,2,0
"E00033070",19,2,0,0,10,7,0
"E00033071",12,9,0,0,0,3,0
