"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E02001347",3204,980,370,610,2026,161,953,261,209,272,211,0,0,0,0,0,305,114,93,72,26,607,207,157,243,198,45,35,1,19,98
"E02001348",3148,1041,360,681,1923,172,881,265,153,223,240,1,1,0,0,0,332,156,82,74,20,537,215,151,171,184,34,34,3,13,100
"E02001349",3422,1155,350,805,2043,171,1038,300,218,254,266,3,3,0,0,0,362,183,73,85,21,469,175,136,158,224,45,39,2,14,124
"E02001350",3417,1227,505,722,1970,143,833,250,181,220,182,0,0,0,0,0,349,151,86,90,22,645,265,160,220,220,51,43,2,18,106
"E02001351",3515,1175,444,731,2080,156,813,219,158,197,239,2,1,0,0,1,288,106,76,79,27,821,329,229,263,260,72,51,2,12,123
"E02001352",3046,1217,340,877,1558,121,626,201,114,153,158,0,0,0,0,0,226,82,59,72,13,585,244,166,175,271,46,40,6,15,164
"E02001353",2959,704,227,477,2087,149,1199,353,268,347,231,4,2,1,1,0,305,159,66,67,13,430,174,134,122,168,44,41,0,4,79
"E02001354",3312,1124,408,716,1995,187,804,230,136,175,263,3,2,0,0,1,284,110,80,72,22,717,242,243,232,193,47,41,2,10,93
"E02001355",3108,1252,441,811,1679,145,709,228,132,136,213,0,0,0,0,0,245,114,62,50,19,580,246,155,179,177,38,34,5,10,90
"E02001356",2364,761,296,465,1468,113,498,139,75,135,149,5,4,1,0,0,252,70,73,87,22,600,230,213,157,135,38,35,0,5,57
"E02001357",2858,839,390,449,1802,163,629,173,105,146,205,0,0,0,0,0,245,67,61,96,21,765,248,209,308,217,66,49,1,15,86
"E02001358",3450,1491,352,1139,1809,139,637,206,123,127,181,0,0,0,0,0,304,141,67,76,20,729,327,205,197,150,28,21,1,9,91
"E02001359",2328,647,262,385,1525,181,861,259,148,209,245,2,1,0,0,1,175,76,38,48,13,306,126,64,116,156,46,29,1,9,71
"E02001360",4130,1818,488,1330,2025,154,631,239,79,121,192,3,2,1,0,0,323,148,77,68,30,914,356,239,319,287,57,46,6,19,159
"E02001361",3388,1207,465,742,1974,203,833,261,155,171,246,0,0,0,0,0,274,100,71,79,24,664,222,192,250,207,61,37,0,14,95
"E02001362",3161,1034,548,486,1890,240,916,250,167,209,290,1,1,0,0,0,214,78,46,65,25,519,139,135,245,237,69,36,0,21,111
"E02001363",3481,1271,449,822,1969,154,719,203,146,179,191,1,0,1,0,0,293,117,80,75,21,802,344,236,222,241,58,61,2,12,108
"E02001364",2532,1148,298,850,1206,91,395,127,69,86,113,1,1,0,0,0,182,76,44,51,11,537,232,147,158,178,63,34,0,4,77
"E02001365",4059,1622,397,1225,2089,165,704,211,135,173,185,3,2,1,0,0,363,125,105,114,19,854,391,271,192,348,64,67,28,7,182
"E02001366",4081,1608,421,1187,2167,205,925,296,162,226,241,0,0,0,0,0,318,158,66,77,17,719,302,184,233,306,51,57,5,11,182
"E02001367",3939,1205,558,647,2511,389,1412,421,247,388,356,2,1,0,1,0,288,147,57,68,16,420,150,93,177,223,51,39,4,13,116
"E02001368",2918,1327,511,816,1348,95,431,157,78,64,132,2,1,0,0,1,172,101,34,27,10,648,210,186,252,243,49,31,7,23,133
"E02001369",3877,1767,517,1250,1678,139,611,230,90,104,187,2,1,0,0,1,283,187,41,42,13,643,247,150,246,432,64,47,56,20,245
"E02001370",3153,1597,582,1015,1316,143,389,127,64,88,110,2,2,0,0,0,185,59,53,54,19,597,258,173,166,240,47,41,2,20,130
"E02001371",3076,935,340,595,1954,124,776,230,140,257,149,0,0,0,0,0,341,121,89,103,28,713,287,208,218,187,57,41,1,14,74
"E02001372",2728,1060,417,643,1521,172,725,194,144,197,190,3,3,0,0,0,199,97,40,48,14,422,152,114,156,147,27,22,0,23,75
"E02001373",4089,1529,474,1055,2276,197,953,255,190,256,252,3,3,0,0,0,379,162,109,85,23,744,296,204,244,284,65,55,7,14,143
"E02001374",4105,2151,320,1831,1527,97,601,179,122,165,135,5,4,0,0,1,302,166,59,58,19,522,231,145,146,427,49,47,45,8,278
"E02001375",3202,1191,523,668,1800,184,760,244,126,199,191,1,0,0,0,1,302,128,70,86,18,553,203,134,216,211,48,39,0,22,102
"E02001376",3789,1447,358,1089,1848,151,700,201,120,224,155,2,2,0,0,0,258,122,47,76,13,737,316,197,224,494,57,51,140,10,236
"E02001377",4063,1938,430,1508,1240,66,504,165,107,130,102,1,1,0,0,0,199,147,20,24,8,470,181,119,170,885,55,35,504,8,283
"E02001378",3557,1410,448,962,1901,154,876,265,183,237,191,5,4,1,0,0,326,177,69,53,27,540,203,128,209,246,40,39,10,13,144
"E02001380",3117,877,442,435,2069,254,1245,367,237,348,293,4,3,0,1,0,242,119,51,60,12,324,103,78,143,171,33,30,2,21,85
"E02001381",4312,1764,427,1337,1947,112,735,239,139,201,156,2,2,0,0,0,385,246,57,69,13,713,352,169,192,601,58,46,197,5,295
"E02001382",2782,628,303,325,2012,259,1233,332,273,345,283,3,3,0,0,0,225,100,58,51,16,292,81,71,140,142,35,17,13,5,72
"E02001383",4260,2689,353,2336,1061,44,315,115,76,93,31,9,7,1,0,1,285,221,20,31,13,408,188,91,129,510,26,40,191,7,246
"E02001384",3941,1241,359,882,1268,81,468,142,90,134,102,0,0,0,0,0,254,178,32,37,7,465,209,100,156,1432,42,35,857,13,485
"E02001385",3631,1676,344,1332,1540,51,571,108,132,275,56,1,1,0,0,0,164,88,33,35,8,753,315,240,198,415,57,88,50,15,205
"E02001386",3572,1483,698,785,1873,192,684,228,117,140,199,3,3,0,0,0,263,98,65,67,33,731,220,191,320,216,52,42,1,20,101
"E02001387",3162,836,411,425,2061,265,1267,352,264,394,257,9,7,1,1,0,238,145,38,47,8,282,85,59,138,265,30,36,40,10,149
"E02001388",4170,1979,251,1728,1440,115,657,240,123,161,133,4,3,0,1,0,353,248,48,40,17,311,104,86,121,751,24,23,282,11,411
"E02001389",3740,2417,317,2100,957,33,285,134,52,63,36,9,8,0,1,0,366,310,35,19,2,264,136,61,67,366,30,21,59,5,251
"E02001390",4094,1702,465,1237,1990,143,650,208,122,174,146,2,2,0,0,0,256,118,65,55,18,939,364,262,313,402,79,68,25,17,213
"E02001391",2481,734,329,405,1572,156,626,215,85,144,182,0,0,0,0,0,207,67,52,67,21,583,195,172,216,175,48,38,2,6,81
"E02001392",2556,790,428,362,1654,384,908,315,141,210,242,1,1,0,0,0,162,96,33,25,8,199,63,35,101,112,18,22,2,14,56
"E02001393",2845,687,404,283,2025,354,1396,450,238,402,306,4,3,0,1,0,126,58,26,30,12,145,41,26,78,133,26,34,1,10,62
"E02001394",4290,2206,512,1694,1611,168,684,278,138,143,125,9,7,2,0,0,463,338,62,53,10,287,136,46,105,473,29,36,110,17,281
"E02001395",2612,779,365,414,1653,212,939,307,171,236,225,9,6,1,2,0,235,144,44,37,10,258,68,59,131,180,23,16,16,9,116
"E02001396",3918,1584,408,1176,1863,136,687,259,128,133,167,5,4,1,0,0,434,298,72,52,12,601,263,138,200,471,35,42,53,12,329
"E02001397",3848,1751,749,1002,1927,295,953,343,154,229,227,2,2,0,0,0,299,184,55,45,15,378,130,92,156,170,27,25,0,27,91
"E02001398",3595,1550,452,1098,1625,169,730,294,121,157,158,10,6,0,2,2,385,273,56,49,7,331,144,59,128,420,37,24,51,15,293
"E02001399",2866,739,416,323,1960,295,1206,349,196,335,326,2,0,0,2,0,191,92,40,44,15,266,81,63,122,167,40,25,11,7,84
"E02001400",2839,977,404,573,1672,191,846,261,168,196,221,0,0,0,0,0,188,82,55,41,10,447,161,97,189,190,44,38,1,11,96
"E02001401",3395,1047,525,522,2149,387,1121,344,192,274,311,2,2,0,0,0,252,131,50,48,23,387,122,99,166,199,36,31,5,13,114
"E02001402",3762,1343,493,850,2204,263,1254,421,221,339,273,6,5,1,0,0,366,223,77,47,19,315,122,66,127,215,32,22,15,18,128
"E02001403",2841,1196,304,892,1461,123,543,184,101,135,123,2,2,0,0,0,284,136,65,60,23,509,221,146,142,184,37,23,3,7,114
"E02001404",3155,1081,392,689,1858,128,663,207,125,159,172,1,1,0,0,0,344,111,77,121,35,722,284,189,249,216,63,36,4,14,99
"E02001405",4154,1412,471,941,2433,148,799,262,129,175,233,2,2,0,0,0,389,122,111,134,22,1095,437,369,289,309,88,63,0,14,144
"E02006932",3201,1806,91,1715,621,8,153,101,27,15,10,5,5,0,0,0,371,357,6,6,2,84,43,14,27,774,10,3,395,2,364
"E02006933",3135,1596,145,1451,1001,54,354,204,56,46,48,3,3,0,0,0,375,332,20,19,4,215,83,63,69,538,19,14,150,3,352
