"GeographyCode","QS611EW0001","QS611EW0002","QS611EW0003","QS611EW0004","QS611EW0005"
"E02001347",2421,280,711,532,898
"E02001348",2430,281,875,522,752
"E02001349",2723,357,1006,576,784
"E02001350",2546,249,667,483,1147
"E02001351",2660,163,721,544,1232
"E02001352",2423,173,701,494,1055
"E02001353",2476,452,935,513,576
"E02001354",2506,170,653,546,1137
"E02001355",2337,162,702,475,998
"E02001356",1814,103,433,348,930
"E02001357",2023,97,496,419,1011
"E02001358",2794,131,760,550,1353
"E02001359",1705,279,564,366,496
"E02001360",3268,196,697,561,1814
"E02001361",2482,183,644,558,1097
"E02001362",2102,257,642,467,736
"E02001363",2672,209,748,528,1187
"E02001364",2030,85,426,329,1190
"E02001365",3313,236,899,621,1557
"E02001366",3219,318,967,648,1286
"E02001367",2740,601,992,542,605
"E02001368",2090,166,475,320,1129
"E02001369",2968,355,750,462,1401
"E02001370",2246,94,512,371,1269
"E02001371",2439,202,700,482,1055
"E02001372",1983,245,608,437,693
"E02001373",3182,343,995,640,1204
"E02001374",3543,333,980,619,1611
"E02001375",2257,239,724,467,827
"E02001376",3065,179,882,490,1514
"E02001377",3395,384,1536,296,1179
"E02001378",2759,418,902,494,945
"E02001380",2207,574,767,410,456
"E02001381",3604,444,1212,554,1394
"E02001382",2048,599,758,370,321
"E02001383",3787,582,1800,272,1133
"E02001384",3365,467,1673,332,893
"E02001385",3035,298,855,365,1517
"E02001386",2400,167,625,483,1125
"E02001387",2304,985,743,301,275
"E02001388",3674,861,2045,313,455
"E02001389",3335,828,1111,350,1046
"E02001390",3221,296,812,502,1611
"E02001391",1792,122,429,407,834
"E02001392",1532,506,558,242,226
"E02001393",1863,916,590,181,176
"E02001394",3460,1197,1180,361,722
"E02001395",1871,638,677,276,280
"E02001396",3208,702,1000,465,1041
"E02001397",2583,678,799,429,677
"E02001398",2818,959,918,326,615
"E02001399",1939,650,676,317,296
"E02001400",2052,361,649,374,668
"E02001401",2252,497,755,443,557
"E02001402",2784,1114,887,347,436
"E02001403",2283,312,625,430,916
"E02001404",2451,183,620,526,1122
"E02001405",3276,141,655,652,1828
"E02006932",3075,664,1785,199,427
"E02006933",2869,932,1197,252,488
"E02006934",2700,1047,1212,178,263
