"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E02001347",6562,451,135,0,135,316,176,108,27,5,1361,845,753,51,37,4,358,158,820,447,227,102,44,692,160,160,0,532,532,0,613,336,277,258,19,1164,219,537,85,225,4,56,38,937,112,80,350,388,7,438,292,146,86,83,3
"E02001348",6204,450,124,0,124,326,156,146,20,4,1387,777,660,72,40,5,329,281,1079,643,268,137,31,582,112,112,0,470,470,0,530,293,237,197,40,1079,266,403,118,196,1,70,25,692,100,78,273,235,6,325,184,141,80,80,0
"E02001349",6946,535,139,0,139,396,177,198,17,4,1561,946,755,111,75,5,386,229,1180,733,310,99,38,699,142,138,4,557,555,2,617,315,302,281,21,1019,212,453,109,163,0,63,19,866,71,80,410,305,0,351,188,163,118,118,0
"E02001350",6591,444,93,0,93,351,214,91,34,12,1005,609,526,53,23,7,258,138,881,460,287,95,39,650,146,146,0,504,504,0,512,240,272,247,25,1250,265,525,123,247,0,64,26,1093,94,149,347,492,11,684,437,247,72,72,0
"E02001351",7011,299,91,0,91,208,109,80,13,6,1048,688,601,52,30,5,224,136,892,422,319,115,36,501,127,127,0,374,374,0,596,341,255,225,30,1470,347,620,118,233,6,105,41,1298,144,169,411,573,1,746,437,309,161,160,1
"E02001352",5776,254,58,0,58,196,110,74,12,0,975,600,501,49,41,9,220,155,788,456,225,70,37,548,107,107,0,441,439,2,421,229,192,166,26,1042,214,433,122,199,4,48,22,1035,126,88,347,469,5,601,350,251,112,112,0
"E02001353",6805,814,221,0,221,593,319,226,46,2,1752,1042,894,73,55,20,471,239,1013,523,313,90,87,899,276,276,0,623,619,4,587,271,316,264,52,838,250,316,50,136,6,58,22,619,74,31,313,200,1,222,134,88,61,61,0
"E02001354",6506,294,80,0,80,214,111,86,14,3,996,583,488,62,33,0,284,129,799,454,222,94,29,561,89,89,0,472,470,2,603,336,267,243,24,1259,344,508,107,167,4,81,48,1194,108,129,416,539,2,699,431,268,101,101,0
"E02001355",5641,209,90,0,90,119,62,52,5,0,874,527,475,30,18,4,202,145,820,499,227,56,38,536,87,83,4,449,443,6,517,277,240,202,38,1068,259,475,94,181,0,45,14,917,119,75,325,389,9,598,361,237,102,102,0
"E02001356",4851,161,57,0,57,104,61,43,0,0,641,354,309,28,9,8,170,117,556,295,147,86,28,402,105,105,0,297,297,0,387,245,142,130,12,980,258,422,64,146,0,61,29,941,153,120,246,420,2,684,387,297,99,99,0
