"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E02001347",3204,4,158,589,2060,334,59
"E02001348",3148,9,150,711,1919,288,71
"E02001349",3422,7,324,457,2022,448,164
"E02001350",3417,6,210,1151,1560,452,38
"E02001351",3515,6,274,600,2310,284,41
"E02001352",3046,15,496,815,1345,288,87
"E02001353",2959,2,38,758,1457,655,49
"E02001354",3312,7,254,549,2349,124,29
"E02001355",3108,8,243,908,1596,271,82
"E02001356",2364,8,102,284,1871,66,33
"E02001357",2858,5,28,82,2634,72,37
"E02001358",3450,22,174,1601,1480,128,45
"E02001359",2328,1,70,414,1121,655,67
"E02001360",4130,21,614,1459,1756,246,34
"E02001361",3388,12,278,612,2344,113,29
"E02001362",3161,4,177,173,2580,191,36
"E02001363",3481,18,349,741,2093,229,51
"E02001364",2532,13,326,967,983,176,67
"E02001365",4059,12,314,1247,2092,295,99
"E02001366",4081,23,526,787,2235,334,176
"E02001367",3939,3,288,598,2176,746,128
"E02001368",2918,3,402,1080,1241,173,19
"E02001369",3877,10,703,1628,1237,271,28
"E02001370",3153,5,630,1278,1042,159,39
"E02001371",3076,9,148,586,2208,86,39
"E02001372",2728,7,396,490,1508,285,42
"E02001373",4089,8,349,972,2348,309,103
"E02001374",4105,29,1224,1118,1146,342,246
"E02001375",3202,8,180,649,2245,89,31
"E02001376",3789,10,314,1552,1628,215,70
"E02001377",4063,19,900,1415,1113,349,267
"E02001378",3557,14,459,900,1812,283,89
"E02001380",3117,10,102,256,2216,431,102
"E02001381",4312,16,351,2090,1439,296,120
"E02001382",2782,3,22,130,2082,481,64
"E02001383",4260,41,1805,1401,662,151,200
"E02001384",3941,11,371,1051,1247,712,549
"E02001385",3631,6,708,1641,870,293,113
"E02001386",3572,9,360,954,1888,334,27
"E02001387",3162,8,132,323,1473,919,307
"E02001388",4170,25,1054,498,1575,650,368
"E02001389",3740,19,1808,1345,347,84,137
"E02001390",4094,13,658,1596,1569,213,45
"E02001391",2481,4,93,461,1706,196,21
"E02001392",2556,4,48,592,1204,571,137
"E02001393",2845,0,81,325,854,1195,390
"E02001394",4290,14,1087,1391,1168,362,268
"E02001395",2612,2,108,270,1780,360,92
"E02001396",3918,10,294,1766,1418,352,78
"E02001397",3848,15,706,1076,1513,420,118
"E02001398",3595,7,699,1059,1122,541,167
"E02001399",2866,2,94,189,1828,622,131
"E02001400",2839,7,232,320,1903,319,58
"E02001401",3395,3,139,492,2150,482,129
"E02001402",3762,11,338,759,1475,844,335
"E02001403",2841,19,334,965,1305,151,67
"E02001404",3155,6,149,767,2031,176,26
"E02001405",4154,9,471,993,2415,218,48
"E02006932",3201,22,1311,1280,239,138,211
"E02006933",3135,14,742,1778,475,103,23
"E02006934",2782,6,807,1741,202,16,10
