"GeographyCode","KS202EW0001","KS202EW0002","KS202EW0003","KS202EW0004","KS202EW0005","KS202EW0006","KS202EW0007","KS202EW0008","KS202EW0009","KS202EW0010","KS202EW0011","KS202EW0012","KS202EW0013","KS202EW0014","KS202EW0015","KS202EW0016","KS202EW0017","KS202EW0018","KS202EW0019","KS202EW0020","KS202EW0021","KS202EW0022","KS202EW0023","KS202EW0024","KS202EW0025","KS202EW0026","KS202EW0027","KS202EW0028","KS202EW0029","KS202EW0030","KS202EW0031","KS202EW0032","KS202EW0033","KS202EW0034","KS202EW0035","KS202EW0036","KS202EW0037","KS202EW0038","KS202EW0039","KS202EW0040","KS202EW0041","KS202EW0042","KS202EW0043","KS202EW0044","KS202EW0045","KS202EW0046","KS202EW0047","KS202EW0048","KS202EW0049","KS202EW0050","KS202EW0051","KS202EW0052","KS202EW0053","KS202EW0054","KS202EW0055","KS202EW0056","KS202EW0057","KS202EW0058","KS202EW0059","KS202EW0060","KS202EW0061","KS202EW0062","KS202EW0063","KS202EW0064","KS202EW0065","KS202EW0066","KS202EW0067","KS202EW0068","KS202EW0069","KS202EW0070","KS202EW0071","KS202EW0072","KS202EW0073","KS202EW0074"
"E02001347",7653,5572,657,17,1407,7653,16,3,3,7631,7653,22,8,0,7623,7653,6,0,1,7646,7653,1061,714,5878,7653,0,0,0,7653,7653,31,2,0,0,1,1,7618,7653,255,49,7349,72.8080491310597,8.58486867894943,0.222135110414217,18.3849470795766,0.20906833921338,0.0392003136025088,0.0392003136025088,99.7125310335816,0.287468966418398,0.10453416960669,0,99.6079968639749,0.0784006272050176,0,0.0130667712008363,99.9085326015941,13.8638442440873,9.3296746373971,76.8064811185156,0,0,0,100,0.405069907225925,0.0261335424016725,0,0,0.0130667712008363,0.0130667712008363,99.5426630079707,3.33202665621325,0.640271788840977,96.0277015549458
"E02001348",7222,5431,665,17,1109,7222,18,2,2,7200,7222,22,7,6,7187,7222,20,2,1,7199,7222,886,686,5650,7222,0,0,0,7222,7222,35,2,1,0,4,0,7180,7222,144,17,7061,75.2007754084741,9.20797563001939,0.235391858211022,15.3558571032955,0.249238438105788,0.027693159789532,0.027693159789532,99.6953752423151,0.304624757684852,0.096926059263362,0.083079479368596,99.5153697036832,0.27693159789532,0.027693159789532,0.013846579894766,99.6815286624204,12.2680697867627,9.49875380780947,78.2331764054279,0,0,0,100,0.48463029631681,0.027693159789532,0.013846579894766,0,0.055386319579064,0,99.4184436444198,1.9939075048463,0.235391858211022,97.7707006369427
"E02001349",7966,5814,717,21,1414,7966,18,4,6,7938,7966,29,1,1,7935,7966,18,8,1,7939,7966,1158,745,6063,7966,0,0,0,7966,7966,43,1,0,0,3,0,7919,7966,172,19,7775,72.985187044941,9.0007532011047,0.263620386643234,17.7504393673111,0.225960331408486,0.0502134069796636,0.0753201104694954,99.6485061511424,0.364047200602561,0.0125533517449159,0.0125533517449159,99.6108460959076,0.225960331408486,0.100426813959327,0.0125533517449159,99.6610595028873,14.5367813206126,9.35224704996234,76.1109716294251,0,0,0,100,0.539794125031383,0.0125533517449159,0,0,0.0376600552347477,0,99.409992467989,2.15917650012553,0.238513683153402,97.6023098167211
"E02001350",7856,5902,557,14,1383,7856,28,1,4,7823,7856,23,2,1,7830,7856,8,1,2,7845,7856,930,583,6343,7856,0,0,0,7856,7856,21,0,1,0,1,0,7833,7856,369,28,7459,75.1272912423625,7.09012219959267,0.178207739307536,17.6043788187373,0.356415478615071,0.0127291242362525,0.0509164969450102,99.5799389002037,0.292769857433809,0.0254582484725051,0.0127291242362525,99.6690427698574,0.10183299389002,0.0127291242362525,0.0254582484725051,99.8599796334012,11.8380855397149,7.42107942973523,80.7408350305499,0,0,0,100,0.267311608961303,0,0.0127291242362525,0,0.0127291242362525,0,99.7072301425662,4.69704684317719,0.356415478615071,94.9465376782077
"E02001351",8894,6614,744,8,1528,8894,164,17,3,8710,8894,21,2,0,8871,8894,10,1,1,8882,8894,970,771,7153,8894,0,0,0,8894,8894,28,0,0,0,0,0,8866,8894,336,10,8548,74.3647402743423,8.36519001574095,0.08994827973915,17.1801214301776,1.84393973465257,0.191140094445694,0.0337306049021812,97.9311895659996,0.236114234315269,0.0224870699347875,0,99.7413986957499,0.112435349673937,0.0112435349673937,0.0112435349673937,99.8650775803913,10.9062289183719,8.66876545986058,80.4250056217675,0,0,0,100,0.314818979087025,0,0,0,0,0,99.685181020913,3.7778277490443,0.112435349673937,96.1097369012818
"E02001352",7416,5624,516,15,1261,7416,39,2,2,7373,7416,34,1,0,7381,7416,17,3,1,7395,7416,803,527,6086,7416,0,0,0,7416,7416,37,0,0,0,2,0,7377,7416,360,14,7042,75.8360302049622,6.957928802589,0.202265372168285,17.0037756202805,0.52588996763754,0.0269687162891046,0.0269687162891046,99.4201725997843,0.458468176914779,0.0134843581445523,0,99.5280474649407,0.229234088457389,0.040453074433657,0.0134843581445523,99.7168284789644,10.8279395900755,7.10625674217907,82.0658036677454,0,0,0,100,0.498921251348436,0,0,0,0.0269687162891046,0,99.4741100323625,4.85436893203883,0.188781014023732,94.9568500539374
"E02001353",7572,5397,715,20,1440,7572,24,7,6,7535,7572,24,3,2,7543,7572,11,1,0,7560,7572,1119,751,5702,7572,0,0,0,7572,7572,30,0,0,0,1,0,7541,7572,231,33,7308,71.2757527733756,9.44268357105124,0.264131008980454,19.0174326465927,0.316957210776545,0.092445853143159,0.0792393026941363,99.5113576333862,0.316957210776545,0.0396196513470681,0.0264131008980454,99.6170100369783,0.14527205493925,0.0132065504490227,0,99.8415213946117,14.7781299524564,9.91811938721606,75.3037506603275,0,0,0,100,0.396196513470681,0,0,0,0.0132065504490227,0,99.5905969360803,3.05071315372425,0.43581616481775,96.513470681458
"E02001354",7613,6069,569,16,959,7613,14,0,5,7594,7613,22,0,1,7590,7613,9,0,2,7602,7613,749,575,6289,7613,0,0,0,7613,7613,23,0,0,0,5,0,7585,7613,162,11,7440,79.718901878366,7.47405753316695,0.210166819913306,12.5968737685538,0.183895967424143,0,0.0656771312229082,99.750426901353,0.288979377380796,0,0.0131354262445816,99.6978851963746,0.118218836201235,0,0.0262708524891633,99.8555103113096,9.83843425719165,7.55287009063444,82.6086956521739,0,0,0,100,0.302114803625378,0,0,0,0.0656771312229082,0,99.6322080651517,2.12793905162223,0.144489688690398,97.7275712596874
"E02001355",6664,5100,562,10,992,6664,21,1,0,6642,6664,15,2,4,6643,6664,12,1,3,6648,6664,777,579,5308,6664,1,0,0,6663,6664,26,0,0,0,1,0,6637,6664,153,14,6497,76.530612244898,8.43337334933974,0.150060024009604,14.8859543817527,0.315126050420168,0.0150060024009604,0,99.6698679471789,0.225090036014406,0.0300120048019208,0.0600240096038415,99.6848739495798,0.180072028811525,0.0150060024009604,0.0450180072028812,99.7599039615846,11.6596638655462,8.68847539015606,79.6518607442977,0.0150060024009604,0,0,99.984993997599,0.39015606242497,0,0,0,0.0150060024009604,0,99.5948379351741,2.29591836734694,0.210084033613445,97.4939975990396
"E02001356",5584,4332,423,11,818,5584,18,0,1,5565,5584,24,0,4,5556,5584,11,0,1,5572,5584,501,438,4645,5584,0,0,0,5584,5584,7,0,0,0,0,0,5577,5584,253,17,5314,77.5787965616046,7.57521489971347,0.196991404011461,14.6489971346705,0.322349570200573,0,0.0179083094555874,99.6597421203438,0.429799426934097,0,0.0716332378223496,99.4985673352435,0.196991404011461,0,0.0179083094555874,99.785100286533,8.97206303724928,7.84383954154728,83.1840974212034,0,0,0,100,0.125358166189112,0,0,0,0,0,99.8746418338109,4.53080229226361,0.304441260744986,95.1647564469914
"E02001357",6982,5529,576,12,865,6982,13,1,5,6963,6982,11,2,1,6968,6982,4,1,2,6975,6982,682,599,5701,6982,0,0,0,6982,6982,12,0,0,0,1,0,6969,6982,138,18,6826,79.1893440274993,8.24978516184474,0.171870524205099,12.3890002864509,0.186193067888857,0.0143225436837582,0.0716127184187912,99.7278716700086,0.157547980521341,0.0286450873675165,0.0143225436837582,99.7994843884274,0.0572901747350329,0.0143225436837582,0.0286450873675165,99.8997421942137,9.76797479232312,8.57920366657118,81.6528215411057,0,0,0,100,0.171870524205099,0,0,0,0.0143225436837582,0,99.8138069321111,1.97651102835864,0.257805786307648,97.7656831853337
