"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00032987",198,137,0,0,1,2,4,1,11,7,17,13,5
"E00032988",348,308,0,4,2,5,1,3,12,4,2,4,3
"E00032989",333,283,0,0,3,3,3,2,9,5,5,12,8
"E00032990",330,251,1,0,5,9,4,4,16,8,6,21,5
"E00032991",320,260,0,0,0,3,3,11,14,4,7,15,3
"E00032992",240,185,0,0,0,2,0,3,10,13,1,20,6
"E00032993",282,204,0,0,1,1,1,2,19,12,11,16,15
"E00032994",111,104,0,0,0,0,1,0,3,1,0,2,0
"E00032995",268,242,2,0,1,0,0,1,12,6,2,0,2
"E00032996",417,395,1,3,2,2,0,0,3,3,0,7,1
"E00032997",211,169,0,0,1,1,1,2,13,3,5,15,1
"E00032998",337,290,2,0,0,1,2,3,4,7,12,12,4
"E00032999",359,270,0,1,0,5,4,6,6,8,14,25,20
"E00033000",177,116,1,1,6,14,6,14,5,2,5,5,2
"E00033002",227,176,0,0,0,5,1,3,6,5,6,19,6
"E00033004",252,220,0,0,1,1,1,0,8,5,10,6,0
"E00033005",402,357,0,1,4,0,2,1,8,8,9,11,1
"E00033006",271,251,0,0,0,0,2,1,0,7,0,7,3
"E00033007",317,273,0,0,4,0,0,1,9,9,4,5,12
"E00033008",345,318,0,0,0,6,1,0,4,6,1,8,1
"E00033012",149,121,0,0,1,0,2,2,2,1,1,12,7
"E00033013",202,132,0,0,1,3,2,3,5,9,8,23,16
"E00033015",209,74,0,0,1,1,2,2,6,7,15,61,40
"E00033016",597,159,1,0,1,3,2,9,23,9,17,125,248
"E00033018",270,237,0,0,0,1,0,3,5,2,4,12,6
"E00033019",350,240,0,1,1,3,1,5,12,18,12,30,27
"E00033020",231,189,0,0,1,0,0,0,6,7,4,16,8
"E00033021",262,185,0,0,3,6,5,15,10,13,8,15,2
"E00033023",433,372,0,1,6,4,2,5,11,2,4,13,13
"E00033024",178,164,0,0,0,2,3,1,4,1,1,2,0
"E00033025",265,258,0,0,0,0,1,3,0,0,2,0,1
"E00033026",219,212,0,0,1,2,2,1,0,0,0,0,1
"E00033027",393,357,0,2,0,5,3,0,6,4,5,9,2
"E00033029",240,218,1,1,0,2,3,1,1,6,4,2,1
"E00033030",321,296,1,2,3,4,3,2,6,0,1,2,1
"E00033031",309,290,0,0,0,0,3,6,3,1,2,4,0
"E00033032",347,301,0,0,1,2,1,6,11,5,12,2,6
"E00033033",288,250,0,0,1,1,2,7,6,3,6,6,6
"E00033034",313,280,0,0,0,3,0,2,7,4,3,10,4
"E00033035",359,336,0,1,2,2,3,1,5,2,1,2,4
"E00033036",191,168,0,2,2,0,1,4,3,3,1,4,3
"E00033037",314,277,0,2,3,2,7,3,1,3,4,9,3
"E00033038",166,141,0,0,0,0,1,2,3,2,7,6,4
"E00033040",270,236,0,1,0,0,0,4,6,5,14,3,1
"E00033041",262,256,0,0,0,0,1,0,1,0,1,1,2
"E00033042",239,227,0,2,0,2,1,2,1,0,0,0,4
"E00033043",252,232,1,1,1,2,0,6,1,2,2,0,4
"E00033044",239,231,0,1,0,3,0,0,1,0,2,1,0
"E00033045",215,208,0,0,1,1,0,0,1,0,1,2,1
"E00033046",180,167,2,0,3,0,0,1,3,0,2,2,0
"E00033047",328,317,1,1,1,1,3,2,1,1,0,0,0
"E00033048",252,234,0,2,3,3,4,2,1,0,0,3,0
"E00033049",372,334,0,0,0,3,2,3,7,4,7,11,1
"E00033050",227,217,0,0,0,2,2,5,1,0,0,0,0
"E00033051",308,261,1,1,3,7,8,9,5,3,7,2,1
"E00033052",379,339,0,0,2,3,4,3,4,2,7,11,4
