"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E00032987",87,51,35,1,0
"E00032988",200,168,30,1,1
"E00032989",232,190,41,1,0
"E00032990",219,171,47,1,0
"E00032991",219,177,40,2,0
"E00032992",165,149,16,0,0
"E00032993",166,129,34,3,0
"E00032994",63,48,14,1,0
"E00032995",149,124,22,1,2
"E00032996",181,121,55,3,2
"E00032997",106,76,29,1,0
"E00032998",164,114,46,3,1
"E00032999",236,182,48,1,5
"E00033000",87,63,22,2,0
"E00033002",129,99,25,4,1
"E00033004",167,150,17,0,0
"E00033005",176,128,46,1,1
"E00033006",120,86,33,1,0
"E00033007",155,105,43,6,1
"E00033008",147,99,44,3,1
"E00033012",104,89,14,1,0
"E00033013",115,86,27,1,1
"E00033015",109,82,23,3,1
"E00033016",226,153,62,5,6
"E00033018",72,41,30,1,0
"E00033019",218,180,30,3,5
"E00033020",143,97,46,0,0
"E00033021",134,87,41,4,2
"E00033023",149,103,44,1,1
"E00033024",104,82,21,1,0
"E00033025",135,108,25,2,0
"E00033026",90,66,24,0,0
"E00033027",200,140,57,1,2
"E00033029",111,89,20,0,2
"E00033030",95,73,22,0,0
"E00033031",130,95,35,0,0
"E00033032",238,202,36,0,0
"E00033033",193,158,33,1,1
"E00033034",201,148,52,1,0
"E00033035",159,117,42,0,0
"E00033036",128,106,21,1,0
"E00033037",153,133,20,0,0
"E00033038",110,90,19,1,0
"E00033040",132,105,25,0,2
"E00033041",110,86,24,0,0
"E00033042",98,79,18,1,0
"E00033043",112,91,21,0,0
"E00033044",92,69,23,0,0
"E00033045",132,111,21,0,0
"E00033046",121,109,10,1,1
"E00033047",106,80,25,1,0
"E00033048",100,82,18,0,0
"E00033049",154,106,47,1,0
"E00033050",84,69,15,0,0
"E00033051",167,135,31,1,0
"E00033052",144,107,36,1,0
"E00033053",111,80,31,0,0
"E00033054",76,56,20,0,0
"E00033055",106,92,14,0,0
"E00033056",123,94,29,0,0
"E00033057",122,91,30,1,0
"E00033059",149,119,29,0,1
"E00033060",101,85,16,0,0
"E00033061",91,71,18,2,0
"E00033062",105,79,26,0,0
"E00033063",101,87,14,0,0
"E00033064",97,85,12,0,0
"E00033065",120,103,17,0,0
"E00033066",155,118,37,0,0
"E00033067",184,146,35,0,3
"E00033068",203,171,28,2,2
"E00033069",164,134,29,0,1
"E00033070",190,153,35,0,2
"E00033071",141,112,27,1,1
"E00033072",167,113,50,0,4
"E00033073",192,150,41,0,1
"E00033074",179,146,32,1,0
"E00033075",210,194,16,0,0
"E00033076",152,126,26,0,0
"E00033077",185,154,30,0,1
"E00033078",176,155,19,2,0
"E00033079",116,93,23,0,0
"E00033080",150,136,14,0,0
"E00033081",127,103,23,1,0
"E00033082",122,109,13,0,0
"E00033083",122,100,22,0,0
"E00033084",148,114,33,0,1
"E00033085",143,111,32,0,0
"E00033086",122,107,15,0,0
"E00033087",149,104,43,1,1
"E00033088",101,79,21,1,0
"E00033089",124,91,31,2,0
"E00033090",139,93,44,2,0
"E00033091",126,97,29,0,0
"E00033092",127,107,19,1,0
"E00033093",158,113,45,0,0
"E00033094",136,98,38,0,0
"E00033095",164,141,23,0,0
"E00033096",110,99,11,0,0
"E00033097",119,95,24,0,0
"E00033098",113,94,18,0,1
"E00033099",94,75,19,0,0
"E00033100",138,111,27,0,0
"E00033101",96,78,18,0,0
"E00033102",207,157,48,2,0
"E00033103",117,87,30,0,0
"E00033104",109,82,25,2,0
"E00033105",118,91,27,0,0
"E00033106",125,103,21,0,1
"E00033107",121,88,31,2,0
"E00033108",119,74,45,0,0
"E00033109",123,88,35,0,0
"E00033110",142,115,26,1,0
"E00033112",115,102,12,1,0
"E00033113",117,106,11,0,0
"E00033114",113,88,24,1,0
"E00033115",92,83,9,0,0
"E00033116",101,99,2,0,0
"E00033117",154,124,29,1,0
"E00033118",129,93,35,1,0
"E00033119",109,89,19,1,0
"E00033120",132,100,31,1,0
"E00033121",119,100,19,0,0
"E00033122",121,99,21,1,0
"E00033123",123,106,17,0,0
"E00033124",120,96,24,0,0
"E00033125",111,92,19,0,0
"E00033126",111,94,16,1,0
"E00033127",194,146,48,0,0
"E00033128",111,86,24,1,0
"E00033129",108,83,25,0,0
"E00033130",126,103,23,0,0
"E00033131",130,94,33,3,0
"E00033132",158,110,48,0,0
"E00033133",144,82,58,4,0
"E00033134",111,89,20,2,0
"E00033135",183,126,55,2,0
"E00033136",99,72,27,0,0
"E00033137",167,139,24,2,2
"E00033138",113,93,20,0,0
"E00033139",149,124,25,0,0
"E00033140",94,74,19,1,0
"E00033141",85,64,20,1,0
"E00033142",117,84,32,1,0
"E00033143",127,97,27,3,0
"E00033144",126,111,15,0,0
"E00033145",122,80,41,1,0
"E00033146",124,89,31,2,2
"E00033147",127,91,34,1,1
"E00033148",116,94,22,0,0
"E00033149",98,78,20,0,0
"E00033150",146,106,38,2,0
"E00033151",125,95,30,0,0
"E00033152",146,106,36,3,1
"E00033153",167,127,40,0,0
"E00033154",102,86,16,0,0
"E00033155",155,130,25,0,0
"E00033156",122,98,21,3,0
"E00033157",140,94,40,6,0
"E00033158",130,86,42,2,0
"E00033159",87,56,29,2,0
"E00033160",167,120,38,2,7
"E00033161",137,98,39,0,0
"E00033162",131,95,30,5,1
"E00033163",136,98,34,3,1
"E00033164",152,106,46,0,0
"E00033165",117,104,13,0,0
"E00033166",113,101,11,0,1
"E00033167",130,92,35,2,1
"E00033168",122,95,25,2,0
"E00033169",122,81,41,0,0
"E00033170",142,96,45,1,0
"E00033171",136,85,51,0,0
"E00033172",122,103,19,0,0
"E00033173",129,86,42,1,0
"E00033174",114,73,40,1,0
"E00033175",107,72,32,2,1
"E00033176",99,66,33,0,0
"E00033177",130,101,28,1,0
"E00033178",88,75,13,0,0
"E00033179",136,93,42,1,0
"E00033181",155,109,44,2,0
"E00033182",184,146,37,0,1
"E00033183",207,126,78,1,2
"E00033185",117,72,45,0,0
"E00033186",105,65,37,2,1
"E00033187",129,94,33,0,2
"E00033188",113,77,35,0,1
"E00033189",208,154,44,9,1
"E00033190",226,136,75,10,5
"E00033191",128,54,72,2,0
"E00033192",118,49,63,5,1
"E00033193",114,78,36,0,0
"E00033194",117,74,40,3,0
"E00033195",105,80,25,0,0
"E00033196",137,112,22,2,1
"E00033197",236,208,26,0,2
"E00033198",135,91,44,0,0
"E00033199",137,125,12,0,0
"E00033200",126,97,29,0,0
"E00033201",91,63,28,0,0
"E00033202",98,59,39,0,0
"E00033203",101,71,30,0,0
"E00033204",105,83,22,0,0
"E00033206",117,92,25,0,0
"E00033207",179,152,21,6,0
"E00033208",143,108,29,1,5
"E00033209",208,165,37,3,3
"E00033210",133,100,27,5,1
"E00033211",145,92,47,3,3
"E00033212",123,83,37,2,1
"E00033213",136,80,53,3,0
"E00033214",223,138,73,8,4
"E00033215",147,101,36,7,3
"E00033216",150,120,28,1,1
"E00033217",158,121,35,1,1
"E00033218",106,81,20,4,1
"E00033219",181,129,51,1,0
"E00033220",135,75,60,0,0
"E00033221",170,136,29,1,4
"E00033222",135,109,25,1,0
"E00033223",171,137,30,2,2
"E00033224",148,105,43,0,0
"E00033225",160,129,28,2,1
"E00033226",187,134,47,5,1
"E00033227",136,97,37,2,0
"E00033228",208,166,38,4,0
"E00033229",128,93,34,0,1
"E00033230",114,75,38,1,0
"E00033231",113,91,21,1,0
"E00033235",122,97,23,2,0
"E00033237",146,119,24,3,0
"E00033238",182,105,67,10,0
"E00033242",104,68,33,1,2
"E00033245",167,125,39,1,2
"E00033246",121,91,27,2,1
"E00033247",148,103,42,3,0
"E00033248",250,226,23,0,1
"E00033249",132,95,32,5,0
"E00033250",126,102,22,2,0
"E00033251",106,73,31,2,0
"E00033252",169,123,42,2,2
