"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E02001347",3204,108,2867,59,2,2,72,94
"E02001348",3148,238,2716,82,2,1,43,66
"E02001349",3422,221,2894,176,2,3,51,75
"E02001350",3417,120,2948,164,2,1,78,104
"E02001351",3515,126,3117,84,3,4,73,108
"E02001352",3046,202,2510,164,0,2,72,96
"E02001353",2959,87,2720,55,2,1,35,59
"E02001354",3312,169,2876,125,0,2,55,85
"E02001355",3108,207,2636,131,0,3,47,84
"E02001356",2364,94,2051,79,1,3,62,74
"E02001357",2858,97,2587,33,0,0,51,90
"E02001358",3450,336,2842,111,2,4,67,88
"E02001359",2328,80,2087,46,3,0,48,64
"E02001360",4130,243,3351,272,0,1,110,153
"E02001361",3388,196,2919,101,0,1,70,101
"E02001362",3161,155,2806,75,3,3,50,69
"E02001363",3481,71,3049,127,2,2,92,138
"E02001364",2532,181,2066,73,0,1,87,124
"E02001365",4059,338,3320,168,0,2,85,146
"E02001366",4081,254,3441,162,2,3,89,130
"E02001367",3939,131,3498,178,4,3,41,84
"E02001368",2918,32,2340,305,9,0,109,123
"E02001369",3877,97,2864,651,0,0,109,156
"E02001370",3153,148,2498,204,7,1,142,153
"E02001371",3076,86,2732,71,1,7,75,104
"E02001372",2728,140,2355,80,4,0,69,80
"E02001373",4089,329,3451,124,1,5,64,115
"E02001374",4105,368,3136,330,8,0,92,171
"E02001375",3202,246,2689,140,3,2,46,76
"E02001376",3789,342,2978,182,0,1,91,195
"E02001377",4063,251,2502,942,18,3,144,203
"E02001378",3557,133,3047,192,0,6,67,112
"E02001380",3117,135,2807,76,2,3,26,68
"E02001381",4312,359,3451,263,1,1,89,148
"E02001382",2782,76,2597,31,1,0,14,63
"E02001383",4260,182,2842,898,11,11,123,193
"E02001384",3941,249,3224,244,3,0,67,154
"E02001385",3631,164,2897,171,4,0,177,218
"E02001386",3572,89,3134,122,0,1,116,110
"E02001387",3162,93,2825,138,3,2,23,78
"E02001388",4170,219,3294,322,63,2,157,113
"E02001389",3740,250,2734,486,9,0,121,140
"E02001390",4094,116,3479,184,2,0,122,191
"E02001391",2481,69,2201,40,0,6,94,71
"E02001392",2556,51,2301,147,4,2,15,36
"E02001393",2845,37,2606,120,7,4,16,55
"E02001394",4290,189,3633,278,7,12,77,94
"E02001395",2612,85,2359,75,5,6,23,59
"E02001396",3918,188,3107,416,2,0,66,139
"E02001397",3848,119,3213,360,12,3,53,88
"E02001398",3595,157,2933,325,2,1,70,107
"E02001399",2866,75,2670,44,2,2,24,49
"E02001400",2839,108,2517,106,0,3,39,66
"E02001401",3395,96,2885,308,2,2,42,60
"E02001402",3762,109,3239,266,2,3,30,113
"E02001403",2841,169,2376,143,0,5,50,98
"E02001404",3155,152,2595,246,7,2,78,75
"E02001405",4154,121,3616,141,0,6,121,149
"E02006932",3201,229,928,1901,9,1,54,79
"E02006933",3135,88,1508,1381,11,0,54,93
"E02006934",2782,141,290,2266,9,0,54,22
