"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E01006512",799,1,230,381,93,44,50
"E01006513",909,8,314,369,55,86,77
"E01006514",1115,14,568,337,74,53,69
"E01006515",641,0,112,300,198,25,6
"E01006518",835,0,114,419,269,32,1
"E01006519",514,1,8,23,257,189,36
"E01006520",1182,9,671,422,52,12,16
"E01006521",928,3,261,412,151,78,23
"E01006522",1094,5,480,463,109,16,21
"E01006523",830,2,238,294,215,61,20
"E01006524",583,1,93,297,113,43,36
"E01006525",486,0,1,26,311,119,29
"E01006526",654,1,46,279,257,55,16
"E01006527",638,0,82,113,311,102,30
"E01006528",613,0,87,75,208,175,68
"E01006529",559,4,14,30,382,109,20
"E01006530",616,0,3,62,441,95,15
"E01006531",674,0,81,46,418,111,18
"E01006532",617,0,17,61,249,220,70
"E01006533",614,1,39,145,268,123,38
"E01006534",649,3,62,62,394,114,14
"E01006535",656,2,39,38,507,57,13
"E01006536",815,2,29,98,646,30,10
"E01006537",964,2,12,208,611,97,34
"E01006538",527,0,4,31,412,56,24
"E01006539",601,0,22,108,155,235,81
"E01006540",771,0,158,388,169,42,14
"E01006541",803,5,204,73,491,24,6
"E01006542",583,3,108,55,286,102,29
"E01006543",509,0,11,34,432,25,7
"E01006544",738,2,5,233,479,16,3
"E01006545",646,1,23,61,498,39,24
"E01006546",583,1,62,106,339,62,13
"E01006547",718,1,79,271,269,63,35
"E01006548",759,7,51,353,313,28,7
"E01006549",949,3,511,253,62,37,83
"E01006550",483,2,40,66,116,125,134
"E01006551",751,2,248,225,245,15,16
"E01006552",869,2,144,422,202,57,42
"E01006553",642,2,38,43,255,177,127
"E01006554",649,1,206,97,62,124,159
"E01006556",1016,1,218,497,154,115,31
"E01006557",635,1,50,74,180,188,142
"E01006558",739,3,48,481,181,19,7
"E01006560",996,2,220,401,326,41,6
"E01006562",714,7,63,292,313,30,9
"E01006563",908,3,264,247,343,43,8
"E01006564",800,0,93,261,377,60,9
"E01006565",638,1,3,23,587,19,5
"E01006566",577,4,52,44,398,65,14
"E01006567",892,4,276,200,323,75,14
"E01006568",629,2,61,158,336,62,10
"E01006569",613,5,45,29,484,35,15
"E01006570",595,1,37,78,338,125,16
"E01006571",612,0,22,54,511,23,2
"E01006572",501,0,8,49,429,7,8
"E01006573",778,0,124,301,345,5,3
"E01006574",612,1,93,57,432,21,8
"E01006575",578,5,26,72,400,55,20
"E01006576",713,1,14,75,531,74,18
"E01006577",597,2,2,34,408,127,24
"E01006578",554,1,4,21,465,54,9
"E01006579",618,1,0,13,464,118,22
"E01006580",515,1,2,14,315,171,12
"E01006581",607,0,9,23,457,101,17
"E01006582",585,0,9,30,305,192,49
"E01006583",467,0,1,8,177,223,58
"E01006584",611,1,60,62,413,57,18
"E01006585",641,2,118,72,416,26,7
"E01006586",921,5,123,352,294,122,25
"E01006587",717,0,99,136,387,54,41
"E01006588",702,5,100,107,321,118,51
"E01006589",599,0,11,21,471,82,14
"E01006590",701,1,39,81,383,148,49
"E01006591",671,1,42,63,346,157,62
"E01006592",624,6,48,98,98,260,114
"E01006593",662,3,34,92,366,111,56
"E01006594",579,0,39,104,85,270,81
"E01006595",812,1,36,141,565,50,19
"E01006596",597,1,9,39,414,108,26
"E01006597",683,1,22,111,253,228,68
"E01006598",604,3,65,77,432,11,16
"E01006599",482,1,3,58,404,7,9
"E01006600",592,0,10,11,547,17,7
"E01006603",594,2,1,35,538,12,6
"E01006604",571,1,4,12,524,22,8
"E01006605",696,0,100,36,533,21,6
"E01006606",723,5,61,96,492,53,16
"E01006607",641,2,10,37,572,16,4
"E01006608",563,0,6,179,321,33,24
"E01006609",576,3,15,120,325,89,24
"E01006610",669,4,111,234,230,73,17
"E01006611",742,6,20,537,168,5,6
"E01006612",740,3,155,81,486,13,2
"E01006613",611,0,48,102,430,27,4
"E01006614",667,5,23,363,251,22,3
"E01006615",663,6,32,362,242,18,3
"E01006616",613,2,25,107,455,19,5
"E01006617",650,1,29,188,312,102,18
"E01006618",692,3,20,43,604,15,7
"E01006619",734,0,58,107,473,83,13
"E01006620",625,0,113,94,321,88,9
"E01006621",584,0,27,89,250,164,54
"E01006622",586,2,14,22,424,107,17
"E01006623",527,0,3,15,250,235,24
"E01006624",702,1,41,226,307,115,12
"E01006625",609,0,43,35,458,65,8
"E01006626",593,0,10,47,461,68,7
"E01006627",600,0,24,107,369,89,11
"E01006628",651,1,67,104,242,193,44
"E01006629",573,1,46,174,306,34,12
"E01006630",555,1,76,150,294,30,4
"E01006632",884,1,133,341,365,40,4
"E01006633",699,1,116,255,281,42,4
"E01006637",670,0,22,160,446,36,6
"E01006638",518,3,6,111,373,12,13
"E01006639",640,1,21,169,392,50,7
"E01006640",760,0,47,98,396,202,17
"E01006641",633,0,3,203,394,27,6
"E01006642",590,2,20,147,392,22,7
"E01006643",740,6,24,130,561,9,10
"E01006644",963,12,167,228,438,101,17
"E01006645",690,2,133,73,444,30,8
"E01006646",1006,3,237,435,249,74,8
"E01006647",636,2,46,219,328,36,5
"E01006648",1075,5,153,531,285,96,5
"E01006651",592,1,5,67,372,133,14
"E01006652",633,3,10,69,492,46,13
"E01006653",656,2,42,121,411,65,15
"E01006654",627,2,85,185,203,145,7
"E01006655",706,0,15,86,536,54,15
"E01006656",669,2,22,195,360,66,24
"E01006657",582,1,60,220,268,32,1
"E01006658",634,1,45,195,374,9,10
"E01006659",548,1,121,120,257,46,3
"E01006660",616,0,51,120,367,73,5
"E01006661",749,0,32,316,318,78,5
"E01006662",785,0,63,330,316,71,5
"E01006663",510,1,15,196,252,44,2
"E01006664",822,4,96,218,395,99,10
"E01006665",630,2,11,214,270,118,15
"E01006666",514,0,9,60,184,250,11
"E01006667",618,0,9,217,323,62,7
"E01006668",590,0,1,122,360,102,5
"E01006669",551,1,4,91,279,160,16
"E01006670",607,0,8,145,320,123,11
"E01006671",499,0,2,66,195,216,20
"E01006672",798,3,9,100,647,33,6
"E01006673",954,2,308,320,279,32,13
"E01006674",826,2,134,402,227,43,18
"E01006675",1132,7,593,398,78,23,33
"E01006676",761,10,66,361,273,39,12
"E01006677",477,0,33,272,155,12,5
"E01006678",1059,1,269,325,368,72,24
"E01006679",920,1,212,320,287,78,22
"E01006680",605,0,3,23,398,159,22
"E01006681",719,0,102,122,356,118,21
"E01006682",498,1,2,8,331,131,25
"E01006683",594,1,3,26,415,128,21
"E01006684",999,3,15,337,398,188,58
"E01006685",604,0,21,98,280,166,39
"E01006686",531,0,4,19,373,102,33
"E01006687",933,5,186,165,213,224,140
"E01006688",712,2,108,136,327,77,62
"E01006689",717,0,62,64,490,83,18
"E01006690",801,1,250,312,168,29,41
"E01006691",647,1,62,238,298,33,15
"E01006692",989,6,140,279,422,97,45
"E01006693",838,0,162,424,202,38,12
"E01006694",891,2,48,501,313,18,9
"E01006695",1029,8,462,263,176,76,44
"E01006696",768,3,93,281,327,54,10
"E01006697",828,1,58,371,349,35,14
"E01006698",725,2,35,141,486,48,13
"E01006699",777,0,109,306,326,27,9
"E01006700",653,3,64,198,333,35,20
"E01006701",671,9,92,220,309,34,7
"E01006702",740,4,38,285,375,34,4
"E01006703",818,7,211,201,336,55,8
"E01006705",689,1,63,273,290,49,13
"E01006706",582,3,29,131,370,46,3
"E01006707",553,0,32,117,358,43,3
"E01006708",754,0,31,171,472,71,9
"E01006709",685,5,55,237,239,143,6
"E01006710",592,1,1,42,506,36,6
"E01006711",685,2,81,217,321,51,13
"E01006712",569,1,5,134,403,21,5
"E01006713",604,1,3,162,426,9,3
"E01006716",701,3,67,296,317,16,2
"E01006717",576,1,8,72,407,70,18
"E01006718",678,0,80,106,363,96,33
"E01006719",638,0,11,48,524,42,13
"E01006720",905,7,57,424,325,70,22
"E01006721",912,2,137,617,120,23,13
"E01006722",608,1,22,84,270,138,93
"E01006723",749,0,102,177,278,136,56
"E01006724",554,5,20,33,283,102,111
"E01006725",739,0,62,321,303,42,11
"E01006726",659,5,27,248,258,86,35
"E01006727",665,0,39,234,320,47,25
"E01006728",855,2,56,633,128,24,12
"E01006729",539,1,2,14,502,12,8
"E01006730",542,0,2,9,506,16,9
"E01006731",486,0,13,18,427,20,8
"E01006732",644,3,2,9,616,7,7
"E01006734",625,1,41,147,420,8,8
"E01006735",571,1,7,111,403,36,13
"E01006736",582,1,8,13,529,26,5
"E01006737",562,0,12,24,498,23,5
"E01006738",662,0,3,192,453,11,3
"E01006739",707,1,54,72,516,56,8
"E01006740",604,5,102,224,236,22,15
"E01006741",778,2,23,93,638,18,4
"E01006742",591,3,21,21,498,39,9
"E01006743",1008,3,69,410,424,91,11
"E01006744",739,1,39,362,309,22,6
"E01006745",907,10,172,358,262,68,37
"E01006746",655,3,53,161,341,75,22
"E01006747",857,6,223,343,167,40,78
"E01006748",756,4,39,193,313,154,53
"E01006751",831,2,119,268,326,68,48
"E01006752",489,2,110,230,105,27,15
"E01006753",666,2,43,134,434,44,9
"E01006754",781,3,153,210,376,29,10
"E01006755",690,1,160,157,329,36,7
"E01006756",757,0,47,208,457,36,9
"E01006757",621,1,34,160,373,42,11
"E01006758",639,2,34,124,446,31,2
"E01006759",460,3,57,57,222,76,45
"E01006760",826,11,315,207,158,64,71
"E01006761",793,3,194,257,295,33,11
"E01006762",725,3,33,165,487,29,8
"E01006763",652,0,13,142,433,48,16
"E01006764",667,3,134,125,281,67,57
"E01006765",659,3,13,82,518,35,8
"E01006766",574,1,42,227,277,21,6
"E01006767",779,1,57,229,396,82,14
"E01006768",587,9,111,85,216,98,68
"E01006769",712,1,122,291,236,55,7
"E01006770",445,0,43,78,269,51,4
"E01006771",694,0,98,166,399,29,2
"E01006772",480,0,37,72,320,47,4
"E01006773",554,0,5,35,440,62,12
"E01006774",552,1,2,37,405,93,14
"E01006775",556,3,5,110,425,9,4
"E01006776",844,1,106,334,362,33,8
"E01006778",1124,1,164,447,410,96,6
"E01006779",902,0,70,337,433,55,7
"E01006780",619,1,40,80,378,93,27
"E01006781",600,0,33,44,408,86,29
"E01006782",691,5,74,97,379,91,45
"E01006783",645,2,18,147,421,51,6
"E01006784",586,1,46,56,414,42,27
"E01006785",781,1,77,184,375,114,30
"E01006786",764,0,94,76,446,115,33
"E01006787",691,0,232,69,222,115,53
"E01006788",681,1,1,38,537,94,10
"E01006790",801,8,106,427,230,29,1
"E01006791",873,6,157,281,356,50,23
"E01006792",557,2,14,79,224,177,61
"E01006793",759,3,153,208,257,107,31
"E01006794",711,2,24,181,311,158,35
"E01006795",628,0,36,161,293,94,44
"E01006796",581,0,2,44,188,247,100
"E01006797",707,9,127,87,419,57,8
"E01006798",609,1,62,88,300,132,26
"E01006799",1145,2,328,532,244,30,9
