"GeographyCode","QS611EW0001","QS611EW0002","QS611EW0003","QS611EW0004","QS611EW0005"
"E01006512",767,157,420,37,153
"E01006513",865,174,554,43,94
"E01006514",1029,190,582,59,198
"E01006515",498,77,160,58,203
"E01006518",615,55,145,106,309
"E01006519",365,191,103,36,35
"E01006520",1021,344,361,90,226
"E01006521",664,244,200,74,146
"E01006522",1025,334,338,84,269
"E01006523",712,266,227,61,158
"E01006524",441,192,169,37,43
"E01006525",332,129,124,45,34
"E01006526",499,162,166,83,88
"E01006527",430,124,144,63,99
"E01006528",522,165,187,67,103
"E01006529",437,174,147,53,63
"E01006530",369,88,141,75,65
"E01006531",323,86,130,58,49
"E01006532",387,190,116,38,43
"E01006533",401,117,118,76,90
"E01006534",486,85,160,88,153
"E01006535",469,92,161,92,124
"E01006536",587,76,165,114,232
"E01006537",795,132,260,156,247
"E01006538",364,74,106,78,106
"E01006539",417,204,125,49,39
"E01006540",635,41,158,94,342
"E01006541",574,59,160,130,225
"E01006542",479,37,116,96,230
"E01006543",359,35,106,106,112
"E01006544",568,21,140,97,310
"E01006545",500,42,156,98,204
"E01006546",480,37,119,94,230
"E01006547",579,31,149,98,301
"E01006548",613,41,164,111,297
"E01006549",883,221,306,94,262
"E01006550",429,73,260,35,61
"E01006551",470,133,128,53,156
"E01006552",778,103,250,119,306
"E01006553",579,159,275,44,101
"E01006554",588,202,232,51,103
"E01006556",878,61,225,97,495
"E01006557",572,85,353,32,102
"E01006558",597,16,126,102,353
"E01006560",712,20,106,131,455
"E01006562",586,20,108,84,374
"E01006563",590,11,149,95,335
"E01006564",552,33,126,117,276
"E01006565",424,45,122,97,160
"E01006566",427,75,145,86,121
"E01006567",611,50,166,140,255
"E01006568",501,83,175,108,135
"E01006569",395,39,108,89,159
"E01006570",431,87,141,95,108
"E01006571",440,25,126,94,195
"E01006572",373,15,90,81,187
"E01006573",552,53,170,105,224
"E01006574",423,36,109,95,183
"E01006575",394,78,145,66,105
"E01006576",521,121,195,101,104
"E01006577",432,165,141,69,57
"E01006578",410,101,168,78,63
"E01006579",414,130,138,68,78
"E01006580",369,144,125,57,43
"E01006581",432,151,164,70,47
"E01006582",435,167,150,67,51
"E01006583",302,135,113,33,21
"E01006584",446,80,148,106,112
"E01006585",447,47,119,84,197
"E01006586",709,128,219,129,233
"E01006587",589,116,218,86,169
"E01006588",564,174,213,88,89
"E01006589",441,136,150,83,72
"E01006590",581,188,235,62,96
"E01006591",543,230,187,57,69
"E01006592",399,221,111,38,29
"E01006593",560,186,220,61,93
"E01006594",381,170,130,37,44
"E01006595",589,190,216,88,95
"E01006596",435,156,152,61,66
"E01006597",486,231,145,56,54
"E01006598",426,12,90,76,248
"E01006599",396,11,84,65,236
"E01006600",396,23,105,85,183
"E01006603",392,28,96,87,181
"E01006604",404,34,112,84,174
"E01006605",485,36,126,108,215
"E01006606",545,48,157,114,226
"E01006607",462,20,113,84,245
"E01006608",434,49,134,89,162
"E01006609",442,31,146,82,183
"E01006610",479,25,126,104,224
"E01006611",613,27,153,132,301
"E01006612",531,27,121,116,267
"E01006613",405,18,119,79,189
"E01006614",528,20,159,80,269
"E01006615",540,14,152,114,260
"E01006616",434,33,121,112,168
"E01006617",494,116,191,77,110
"E01006618",425,27,137,100,161
"E01006619",529,83,196,115,135
"E01006620",375,67,127,83,98
"E01006621",389,114,140,73,62
"E01006622",390,99,140,90,61
"E01006623",380,76,139,90,75
"E01006624",519,52,165,109,193
"E01006625",393,82,127,82,102
"E01006626",395,78,140,93,84
"E01006627",428,81,143,86,118
