"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0006","KS403EW0007","KS403EW0008","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E00032987",87,6,81,14,5,2.27586206896552,4.54022988505747,2.39080459770115,6.89655172413793,93.1034482758621,16.0919540229885,5.74712643678161
"E00032988",200,24,176,35,8,1.49,3.965,1.835,12,88,17.5,4
"E00032989",232,3,229,57,13,1.43534482758621,3.51293103448276,1.5948275862069,1.29310344827586,98.7068965517241,24.5689655172414,5.60344827586207
"E00032990",219,5,214,50,13,1.48858447488584,3.71689497716895,1.72146118721461,2.28310502283105,97.7168949771689,22.8310502283105,5.93607305936073
"E00032991",219,18,201,72,12,1.46118721461187,3.38356164383562,1.50228310502283,8.21917808219178,91.7808219178082,32.8767123287671,5.47945205479452
"E00032992",165,9,156,21,3,1.45454545454545,3.73939393939394,1.78787878787879,5.45454545454545,94.5454545454545,12.7272727272727,1.81818181818182
"E00032993",166,1,165,23,6,1.69879518072289,4.21686746987952,2.24096385542169,0.602409638554217,99.3975903614458,13.855421686747,3.6144578313253
"E00032994",63,1,62,8,3,1.76190476190476,4.28571428571429,2.03174603174603,1.58730158730159,98.4126984126984,12.6984126984127,4.76190476190476
"E00032995",149,5,144,11,8,1.79865771812081,4.32885906040268,2.05369127516779,3.35570469798658,96.6442953020134,7.38255033557047,5.36912751677852
"E00032996",181,3,178,18,14,2.30386740331492,4.76795580110497,2.48618784530387,1.65745856353591,98.3425414364641,9.94475138121547,7.73480662983425
"E00032997",106,11,95,10,6,1.99056603773585,4.5377358490566,2.45283018867925,10.377358490566,89.622641509434,9.43396226415094,5.66037735849057
"E00032998",164,7,157,22,7,2.05487804878049,4.48170731707317,2.51829268292683,4.26829268292683,95.7317073170732,13.4146341463415,4.26829268292683
"E00032999",236,4,232,43,12,1.52118644067797,3.75847457627119,1.88983050847458,1.69491525423729,98.3050847457627,18.2203389830508,5.08474576271187
"E00033000",87,0,87,6,2,2.03448275862069,4.55172413793103,2.16091954022989,0,100,6.89655172413793,2.29885057471264
"E00033002",129,7,122,23,12,1.75968992248062,4.03100775193798,1.94573643410853,5.42635658914729,94.5736434108527,17.8294573643411,9.30232558139535
"E00033004",167,3,164,4,0,1.50898203592814,4.50299401197605,2.15568862275449,1.79640718562874,98.2035928143712,2.39520958083832,0
"E00033005",176,10,166,19,13,1.90909090909091,4.30681818181818,2.19318181818182,5.68181818181818,94.3181818181818,10.7954545454545,7.38636363636364
"E00033006",120,5,115,10,8,2.25833333333333,5.19166666666667,2.675,4.16666666666667,95.8333333333333,8.33333333333333,6.66666666666667
"E00033007",155,0,155,27,11,2.04516129032258,4.32903225806452,2.3741935483871,0,100,17.4193548387097,7.09677419354839
"E00033008",147,0,147,17,17,2.3469387755102,4.98639455782313,2.62585034013605,0,100,11.5646258503401,11.5646258503401
"E00033012",104,3,101,18,2,1.43269230769231,3.66346153846154,1.80769230769231,2.88461538461538,97.1153846153846,17.3076923076923,1.92307692307692
"E00033013",115,5,110,21,8,1.75652173913043,4.30434782608696,1.97391304347826,4.34782608695652,95.6521739130435,18.2608695652174,6.95652173913043
"E00033015",109,15,94,14,6,1.91743119266055,3.95412844036697,2,13.7614678899083,86.2385321100918,12.8440366972477,5.5045871559633
"E00033016",226,20,206,67,13,1.98230088495575,4.1858407079646,2.45132743362832,8.84955752212389,91.1504424778761,29.646017699115,5.75221238938053
"E00033018",72,1,71,25,5,1.94444444444444,3.93055555555556,2.52777777777778,1.38888888888889,98.6111111111111,34.7222222222222,6.94444444444444
"E00033019",218,5,213,32,16,1.60550458715596,4.03211009174312,2.01376146788991,2.29357798165138,97.7064220183486,14.6788990825688,7.3394495412844
"E00033020",143,11,132,49,4,1.61538461538462,3.36363636363636,1.81118881118881,7.69230769230769,92.3076923076923,34.2657342657343,2.7972027972028
"E00033021",134,7,127,28,7,1.95522388059702,3.97014925373134,2.14925373134328,5.22388059701492,94.7761194029851,20.8955223880597,5.22388059701492
"E00033023",149,11,138,29,10,2,4.63758389261745,2.20134228187919,7.38255033557047,92.6174496644295,19.4630872483221,6.71140939597315
"E00033024",104,2,102,9,3,1.71153846153846,4.33653846153846,2.44230769230769,1.92307692307692,98.0769230769231,8.65384615384615,2.88461538461538
"E00033025",135,9,126,4,2,1.96296296296296,4.93333333333333,2.41481481481481,6.66666666666667,93.3333333333333,2.96296296296296,1.48148148148148
"E00033026",90,3,87,1,1,2.43333333333333,6.05555555555556,3.1,3.33333333333333,96.6666666666667,1.11111111111111,1.11111111111111
"E00033027",200,14,186,44,11,1.83,4.12,2.09,7,93,22,5.5
"E00033029",111,3,108,6,6,2.16216216216216,5.52252252252252,2.93693693693694,2.7027027027027,97.2972972972973,5.40540540540541,5.40540540540541
"E00033030",95,1,94,1,0,2.52631578947368,6.77894736842105,3.43157894736842,1.05263157894737,98.9473684210526,1.05263157894737,0
"E00033031",130,4,126,0,3,2.37692307692308,6.24615384615385,3.3,3.07692307692308,96.9230769230769,0,2.30769230769231
"E00033032",238,17,221,38,7,1.45798319327731,3.5672268907563,1.63865546218487,7.14285714285714,92.8571428571429,15.9663865546218,2.94117647058824
"E00033033",193,13,180,20,6,1.49222797927461,3.96891191709845,1.78756476683938,6.73575129533679,93.2642487046632,10.3626943005181,3.10880829015544
"E00033034",201,14,187,35,9,1.55721393034826,3.75124378109453,1.69651741293532,6.96517412935323,93.0348258706468,17.4129353233831,4.47761194029851
"E00033035",159,6,153,13,7,2.0377358490566,4.93081761006289,2.55974842767296,3.77358490566038,96.2264150943396,8.17610062893082,4.40251572327044
"E00033036",128,9,119,16,0,1.4921875,3.796875,1.8671875,7.03125,92.96875,12.5,0
"E00033037",153,2,151,5,3,1.80392156862745,5.08496732026144,2.50326797385621,1.30718954248366,98.6928104575163,3.26797385620915,1.96078431372549
"E00033038",110,7,103,24,2,1.50909090909091,3.46363636363636,1.77272727272727,6.36363636363636,93.6363636363636,21.8181818181818,1.81818181818182
"E00033040",132,3,129,9,5,2.04545454545455,5.17424242424242,2.65151515151515,2.27272727272727,97.7272727272727,6.81818181818182,3.78787878787879
"E00033041",110,6,104,1,2,2.38181818181818,6.15454545454545,3.18181818181818,5.45454545454545,94.5454545454545,0.909090909090909,1.81818181818182
"E00033042",98,2,96,2,1,2.43877551020408,6.33673469387755,3.13265306122449,2.04081632653061,97.9591836734694,2.04081632653061,1.02040816326531
"E00033043",112,4,108,1,1,2.25,6.29464285714286,3.3125,3.57142857142857,96.4285714285714,0.892857142857143,0.892857142857143
"E00033044",92,2,90,2,3,2.59782608695652,6.76086956521739,3.41304347826087,2.17391304347826,97.8260869565217,2.17391304347826,3.26086956521739
"E00033045",132,1,131,11,1,1.62878787878788,4.16666666666667,2.0530303030303,0.757575757575758,99.2424242424242,8.33333333333333,0.757575757575758
"E00033046",121,2,119,7,2,1.48760330578512,4.21487603305785,2.03305785123967,1.65289256198347,98.3471074380165,5.78512396694215,1.65289256198347
"E00033047",106,1,105,0,2,2.66037735849057,6.90566037735849,3.34905660377358,0.943396226415094,99.0566037735849,0,1.88679245283019
"E00033048",100,3,97,2,1,2.52,6.56,3.38,3,97,2,1
"E00033049",154,8,146,8,5,2.41558441558442,5.64935064935065,2.93506493506493,5.19480519480519,94.8051948051948,5.19480519480519,3.24675324675325
