"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E01006512",799,84,77,9,14,206,367,34,8,10.5131414267835,9.63704630788486,1.12640801001252,1.75219023779725,25.7822277847309,45.9324155193992,4.25531914893617,1.00125156445557
"E01006513",909,55,60,28,13,118,582,43,10,6.05060506050605,6.6006600660066,3.08030803080308,1.43014301430143,12.981298129813,64.026402640264,4.73047304730473,1.1001100110011
"E01006514",1115,58,50,6,20,492,348,126,15,5.20179372197309,4.48430493273543,0.538116591928251,1.79372197309417,44.1255605381166,31.2107623318386,11.3004484304933,1.34529147982063
"E01006515",641,17,45,24,68,334,123,17,13,2.65210608424337,7.02028081123245,3.74414976599064,10.6084243369735,52.1060842433697,19.188767550702,2.65210608424337,2.02808112324493
"E01006518",835,95,102,10,48,403,135,19,23,11.377245508982,12.2155688622754,1.19760479041916,5.74850299401198,48.2634730538922,16.1676646706587,2.27544910179641,2.75449101796407
"E01006519",514,249,225,1,2,8,26,2,1,48.443579766537,43.7743190661479,0.194552529182879,0.389105058365759,1.55642023346304,5.05836575875486,0.389105058365759,0.194552529182879
"E01006520",1182,62,134,1,13,347,600,19,6,5.24534686971235,11.336717428088,0.0846023688663283,1.09983079526227,29.3570219966159,50.761421319797,1.60744500846024,0.50761421319797
"E01006521",928,210,179,0,8,236,277,11,7,22.6293103448276,19.2887931034483,0,0.862068965517241,25.4310344827586,29.8491379310345,1.18534482758621,0.754310344827586
"E01006522",1094,62,148,3,19,331,499,24,8,5.6672760511883,13.5283363802559,0.274223034734918,1.73674588665448,30.2559414990859,45.6124314442413,2.19378427787934,0.731261425959781
"E01006523",830,103,155,6,6,274,263,19,4,12.4096385542169,18.6746987951807,0.72289156626506,0.72289156626506,33.0120481927711,31.6867469879518,2.28915662650602,0.481927710843374
"E01006524",583,191,160,0,3,12,181,26,10,32.7615780445969,27.4442538593482,0,0.514579759862779,2.05831903945112,31.0463121783877,4.45969125214408,1.71526586620926
"E01006525",486,221,201,0,5,2,42,13,2,45.4732510288066,41.358024691358,0,1.02880658436214,0.411522633744856,8.64197530864197,2.67489711934156,0.411522633744856
"E01006526",654,218,255,2,4,74,89,5,7,33.3333333333333,38.9908256880734,0.305810397553517,0.611620795107034,11.3149847094801,13.6085626911315,0.764525993883792,1.07033639143731
"E01006527",638,181,203,0,4,175,63,8,4,28.3699059561129,31.8181818181818,0,0.626959247648903,27.4294670846395,9.87460815047022,1.25391849529781,0.626959247648903
"E01006528",613,135,220,3,15,57,168,8,7,22.0228384991843,35.8890701468189,0.489396411092985,2.44698205546493,9.29853181076672,27.4061990212072,1.30505709624796,1.14192495921697
"E01006529",559,181,250,2,4,17,83,18,4,32.3792486583184,44.7227191413238,0.35778175313059,0.715563506261181,3.04114490161002,14.8479427549195,3.22003577817531,0.715563506261181
"E01006530",616,324,229,6,2,9,35,5,6,52.5974025974026,37.1753246753247,0.974025974025974,0.324675324675325,1.46103896103896,5.68181818181818,0.811688311688312,0.974025974025974
"E01006531",674,344,211,2,9,72,26,3,7,51.0385756676558,31.3056379821958,0.29673590504451,1.3353115727003,10.6824925816024,3.85756676557863,0.445103857566766,1.03857566765579
"E01006532",617,309,250,0,0,25,24,6,3,50.0810372771475,40.5186385737439,0,0,4.05186385737439,3.88978930307942,0.972447325769854,0.486223662884927
"E01006533",614,251,194,2,14,98,44,3,8,40.8794788273616,31.5960912052117,0.325732899022801,2.28013029315961,15.9609120521173,7.16612377850163,0.488599348534202,1.30293159609121
"E01006534",649,182,245,0,38,134,43,2,5,28.0431432973806,37.7503852080123,0,5.85516178736518,20.6471494607088,6.62557781201849,0.308166409861325,0.770416024653313
"E01006535",656,200,252,1,34,113,31,8,17,30.4878048780488,38.4146341463415,0.152439024390244,5.18292682926829,17.2256097560976,4.72560975609756,1.21951219512195,2.59146341463415
"E01006536",815,203,274,1,66,174,74,10,13,24.9079754601227,33.6196319018405,0.122699386503067,8.09815950920246,21.3496932515337,9.07975460122699,1.22699386503067,1.59509202453988
"E01006537",964,245,321,3,7,76,296,11,5,25.4149377593361,33.298755186722,0.311203319502075,0.726141078838174,7.88381742738589,30.7053941908714,1.14107883817427,0.518672199170124
"E01006538",527,204,225,2,13,18,53,7,5,38.7096774193548,42.6944971537002,0.379506641366224,2.46679316888046,3.41555977229602,10.0569259962049,1.32827324478178,0.94876660341556
"E01006539",601,283,239,1,1,7,61,7,2,47.0881863560732,39.7670549084859,0.166389351081531,0.166389351081531,1.16472545757072,10.1497504159734,1.16472545757072,0.332778702163062
"E01006540",771,81,102,2,17,273,259,23,14,10.5058365758755,13.2295719844358,0.259403372243839,2.20492866407263,35.408560311284,33.5927367055772,2.98313878080415,1.81582360570687
"E01006541",803,203,232,1,49,172,123,11,12,25.280199252802,28.8916562889166,0.12453300124533,6.10211706102117,21.4196762141968,15.3175591531756,1.36986301369863,1.49439601494396
"E01006542",583,123,155,2,0,142,146,9,6,21.0977701543739,26.5866209262436,0.343053173241852,0,24.3567753001715,25.0428816466552,1.54373927958834,1.02915951972556
"E01006543",509,183,236,1,3,24,50,8,4,35.9528487229862,46.3654223968566,0.196463654223969,0.589390962671906,4.71512770137525,9.82318271119843,1.57170923379175,0.785854616895874
"E01006544",738,102,123,1,33,295,161,10,13,13.8211382113821,16.6666666666667,0.13550135501355,4.47154471544715,39.9728997289973,21.8157181571816,1.3550135501355,1.76151761517615
"E01006545",646,175,222,0,8,10,209,11,11,27.0897832817337,34.3653250773994,0,1.23839009287926,1.54798761609907,32.3529411764706,1.70278637770898,1.70278637770898
"E01006546",583,152,153,2,7,23,231,6,9,26.0720411663808,26.2435677530017,0.343053173241852,1.20068610634648,3.9451114922813,39.622641509434,1.02915951972556,1.54373927958834
"E01006547",718,146,119,5,10,100,318,11,9,20.3342618384401,16.5738161559889,0.696378830083565,1.39275766016713,13.9275766016713,44.2896935933148,1.53203342618384,1.25348189415042
"E01006548",759,173,169,0,5,88,288,18,18,22.7931488801054,22.266139657444,0,0.658761528326746,11.5942028985507,37.9446640316205,2.37154150197628,2.37154150197628
"E01006549",949,64,65,7,21,219,557,4,12,6.74394099051633,6.84931506849315,0.737618545837724,2.21285563751317,23.0769230769231,58.6933614330875,0.421496311907271,1.26448893572181
"E01006550",483,76,92,4,0,37,259,13,2,15.7349896480331,19.047619047619,0.82815734989648,0,7.66045548654244,53.6231884057971,2.69151138716356,0.41407867494824
"E01006551",751,51,48,4,10,510,111,7,10,6.79094540612517,6.39147802929427,0.532623169107856,1.33155792276964,67.9094540612517,14.780292942743,0.932090545938748,1.33155792276964
"E01006552",869,90,77,18,20,352,284,17,11,10.3567318757192,8.86075949367089,2.07134637514384,2.30149597238205,40.5063291139241,32.6812428078251,1.95627157652474,1.26582278481013
"E01006553",642,109,154,3,1,44,301,25,5,16.9781931464174,23.98753894081,0.467289719626168,0.155763239875389,6.85358255451713,46.8847352024922,3.89408099688473,0.778816199376947
"E01006554",649,92,131,1,3,104,306,10,2,14.175654853621,20.1848998459168,0.154083204930663,0.462249614791988,16.0246533127889,47.1494607087827,1.54083204930663,0.308166409861325
"E01006556",1016,81,49,3,34,488,315,19,27,7.97244094488189,4.82283464566929,0.295275590551181,3.34645669291339,48.0314960629921,31.003937007874,1.87007874015748,2.65748031496063
"E01006557",635,110,98,9,2,26,365,20,5,17.3228346456693,15.4330708661417,1.41732283464567,0.31496062992126,4.09448818897638,57.4803149606299,3.1496062992126,0.78740157480315
"E01006558",739,118,76,4,27,266,233,2,13,15.9675236806495,10.2841677943166,0.54127198917456,3.65358592692828,35.9945872801083,31.5290933694181,0.27063599458728,1.75913396481732
"E01006560",996,82,63,2,143,639,50,6,11,8.23293172690763,6.32530120481928,0.200803212851406,14.3574297188755,64.1566265060241,5.02008032128514,0.602409638554217,1.10441767068273
"E01006562",714,123,97,1,36,297,143,7,10,17.2268907563025,13.5854341736695,0.140056022408964,5.04201680672269,41.5966386554622,20.0280112044818,0.980392156862745,1.40056022408964
"E01006563",908,53,57,3,88,519,172,2,14,5.83700440528634,6.27753303964758,0.330396475770925,9.69162995594714,57.15859030837,18.942731277533,0.220264317180617,1.54185022026432
"E01006564",800,250,191,2,66,185,81,12,13,31.25,23.875,0.25,8.25,23.125,10.125,1.5,1.625
"E01006565",638,200,225,0,33,113,54,5,8,31.3479623824451,35.2664576802508,0,5.17241379310345,17.7115987460815,8.46394984326019,0.783699059561128,1.25391849529781
"E01006566",577,191,271,1,22,33,51,3,5,33.1022530329289,46.9670710571924,0.173310225303293,3.81282495667244,5.71923743500867,8.83882149046794,0.519930675909879,0.866551126516464
"E01006567",892,158,176,0,87,352,93,7,19,17.7130044843049,19.7309417040359,0,9.75336322869955,39.4618834080717,10.4260089686099,0.7847533632287,2.13004484304933
"E01006568",629,140,303,7,13,86,66,12,2,22.2575516693164,48.1717011128776,1.11287758346582,2.06677265500795,13.6724960254372,10.4928457869634,1.90779014308426,0.317965023847377
"E01006569",613,180,176,1,62,135,33,7,19,29.3637846655791,28.7112561174551,0.163132137030995,10.1141924959217,22.0228384991843,5.38336052202284,1.14192495921697,3.09951060358891
"E01006570",595,214,240,1,3,28,99,6,4,35.9663865546218,40.3361344537815,0.168067226890756,0.504201680672269,4.70588235294118,16.6386554621849,1.00840336134454,0.672268907563025
"E01006571",612,136,183,14,56,169,44,5,5,22.2222222222222,29.9019607843137,2.28758169934641,9.15032679738562,27.6143790849673,7.18954248366013,0.816993464052288,0.816993464052288
"E01006572",501,83,101,0,81,188,37,0,11,16.5668662674651,20.1596806387226,0,16.1676646706587,37.5249500998004,7.38522954091816,0,2.19560878243513
"E01006573",778,133,214,3,17,228,158,8,17,17.0951156812339,27.5064267352185,0.38560411311054,2.18508997429306,29.305912596401,20.3084832904884,1.02827763496144,2.18508997429306
"E01006574",612,133,175,1,62,184,52,4,1,21.7320261437909,28.5947712418301,0.163398692810458,10.1307189542484,30.0653594771242,8.49673202614379,0.65359477124183,0.163398692810458
"E01006575",578,197,199,4,33,50,85,5,5,34.083044982699,34.4290657439446,0.69204152249135,5.70934256055363,8.65051903114187,14.7058823529412,0.865051903114187,0.865051903114187
"E01006576",713,240,361,0,0,13,91,3,5,33.6605890603086,50.6311360448808,0,0,1.82328190743338,12.7629733520337,0.420757363253857,0.701262272089762
"E01006577",597,248,280,0,2,3,52,2,10,41.5410385259631,46.9011725293132,0,0.33500837520938,0.50251256281407,8.71021775544389,0.33500837520938,1.6750418760469
"E01006578",554,170,286,1,1,11,77,7,1,30.6859205776173,51.6245487364621,0.180505415162455,0.180505415162455,1.985559566787,13.898916967509,1.26353790613718,0.180505415162455
"E01006579",618,298,271,0,3,3,33,9,1,48.2200647249191,43.8511326860841,0,0.485436893203883,0.485436893203883,5.33980582524272,1.45631067961165,0.161812297734628
"E01006580",515,233,247,0,1,5,22,2,5,45.2427184466019,47.9611650485437,0,0.194174757281553,0.970873786407767,4.27184466019417,0.388349514563107,0.970873786407767
