"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E02001347",3204,3078,38,14,74,96.0674157303371,1.18601747815231,0.436953807740325,2.30961298377029
"E02001348",3148,3082,25,9,32,97.9034307496823,0.794155019059721,0.285895806861499,1.01651842439644
"E02001349",3422,3345,30,7,40,97.749853886616,0.876680303915839,0.204558737580362,1.16890707188778
"E02001350",3417,3288,26,21,82,96.2247585601405,0.760901375475563,0.614574187884109,2.39976587649985
"E02001351",3515,3389,30,17,79,96.4153627311522,0.85348506401138,0.483641536273115,2.2475106685633
"E02001352",3046,2913,36,7,90,95.6336178594879,1.18187787261983,0.229809586342745,2.95469468154957
"E02001353",2959,2842,51,19,47,96.0459614734708,1.72355525515377,0.642108820547482,1.58837445082798
"E02001354",3312,3244,27,10,31,97.9468599033817,0.815217391304348,0.301932367149758,0.935990338164251
"E02001355",3108,3021,27,3,57,97.2007722007722,0.868725868725869,0.0965250965250965,1.83397683397683
"E02001356",2364,2264,22,14,64,95.7698815566836,0.930626057529611,0.592216582064298,2.7072758037225
"E02001357",2858,2798,22,10,28,97.9006298110567,0.769769069279216,0.349895031490553,0.979706088173548
"E02001358",3450,3366,21,8,55,97.5652173913043,0.608695652173913,0.231884057971014,1.59420289855072
"E02001359",2328,2235,45,8,40,96.0051546391753,1.93298969072165,0.343642611683849,1.71821305841924
"E02001360",4130,3944,29,13,144,95.4963680387409,0.702179176755448,0.314769975786925,3.48668280871671
"E02001361",3388,3337,9,4,38,98.4946871310508,0.265643447461629,0.118063754427391,1.12160566706021
"E02001362",3161,3111,22,4,24,98.4182220816197,0.695982284087314,0.126542233470421,0.759253400822524
"E02001363",3481,3364,26,18,73,96.6388968687159,0.746911806952025,0.517092789428325,2.09709853490376
"E02001364",2532,2431,37,13,51,96.0110584518168,1.46129541864139,0.513428120063191,2.01421800947867
"E02001365",4059,3848,44,24,143,94.8016752894802,1.0840108401084,0.591278640059128,3.5230352303523
"E02001366",4081,3865,58,8,150,94.70717961284,1.42122028914482,0.19603038470963,3.67556971330556
"E02001367",3939,3840,55,7,37,97.4866717440975,1.3962934755014,0.177710078700178,0.939324701700939
"E02001368",2918,2809,29,12,68,96.2645647703907,0.993831391363948,0.411240575736806,2.33036326250857
"E02001369",3877,3589,71,16,201,92.5715759607944,1.83131287077637,0.41269022440031,5.18442094402889
"E02001370",3153,2956,34,25,138,93.7519822391373,1.07833809070726,0.792895654931811,4.3767840152236
"E02001371",3076,2960,24,31,61,96.2288686605982,0.780234070221066,1.00780234070221,1.98309492847854
"E02001372",2728,2669,29,4,26,97.8372434017595,1.06304985337243,0.146627565982405,0.953079178885631
"E02001373",4089,3942,35,13,99,96.4049889948643,0.855955001222793,0.317926143311323,2.42112986060161
"E02001374",4105,3475,102,27,501,84.652862362972,2.48477466504263,0.657734470158344,12.204628501827
"E02001375",3202,3128,26,12,36,97.6889444097439,0.811992504684572,0.374765771392879,1.12429731417864
"E02001376",3789,3138,147,79,425,82.818685669042,3.87965162311956,2.08498284507786,11.2166798627606
"E02001377",4063,3071,203,50,739,75.5845434408073,4.99630814668964,1.2306177701206,18.1885306423825
"E02001378",3557,3393,58,19,87,95.3893730671915,1.63058757379814,0.534157998313185,2.44588136069722
"E02001380",3117,3050,39,5,23,97.8504972730189,1.2512030798845,0.160410651267244,0.737888995829323
"E02001381",4312,3703,159,60,390,85.8766233766234,3.6873840445269,1.39146567717996,9.04452690166976
"E02001382",2782,2686,53,13,30,96.549245147376,1.90510424155284,0.467289719626168,1.078360891445
"E02001383",4260,3226,176,35,823,75.7276995305164,4.13145539906103,0.821596244131455,19.3192488262911
"E02001384",3941,3441,199,43,258,87.3128647551383,5.04947982745496,1.09109363105811,6.54656178634864
"E02001385",3631,2236,340,171,884,61.580831726797,9.36381162214266,4.7094464334894,24.3459102175709
"E02001386",3572,3495,27,9,41,97.8443449048152,0.755879059350504,0.251959686450168,1.1478163493841
"E02001387",3162,3038,79,6,39,96.078431372549,2.49841872232764,0.189753320683112,1.23339658444023
"E02001388",4170,3897,137,12,124,93.4532374100719,3.28537170263789,0.287769784172662,2.97362110311751
"E02001389",3740,3146,118,41,435,84.1176470588235,3.15508021390374,1.09625668449198,11.6310160427807
"E02001390",4094,3623,120,62,289,88.495359062042,2.93111871030777,1.51441133365901,7.05911089399121
"E02001391",2481,2451,15,6,9,98.7908101571947,0.60459492140266,0.241837968561064,0.362756952841596
