"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E02001347",7628,1022,3854,1850,902
"E02001348",7222,1072,3666,1605,879
"E02001349",7943,1144,4219,1932,648
"E02001350",7714,1281,3620,2025,788
"E02001351",8141,1090,4189,1800,1062
"E02001352",6620,943,3202,1586,889
"E02001353",7526,956,4113,1909,548
"E02001354",7611,975,3757,1740,1139
"E02001355",6660,1229,3157,1412,862
"E02001356",5584,700,2746,1244,894
"E02001357",6955,856,3396,1543,1160
"E02001358",7041,1384,3176,1631,850
"E02001359",5740,1002,2922,1319,497
"E02001360",8289,1427,4057,1707,1098
"E02001361",7618,1016,3788,1779,1035
"E02001362",7401,986,3652,1855,908
"E02001363",7788,1069,3965,1618,1136
"E02001364",5203,978,2462,919,844
"E02001365",8950,1502,4065,1980,1403
"E02001366",8912,1389,4647,1677,1199
"E02001367",9296,1406,5034,2163,693
"E02001368",5771,1067,2950,1078,676
"E02001369",7637,1333,3707,1506,1091
"E02001370",6155,1119,2787,1205,1044
"E02001371",7347,859,3462,1835,1191
"E02001372",6014,862,3174,1298,680
"E02001373",9210,1404,4398,2119,1289
"E02001374",8051,1386,3958,1435,1272
"E02001375",7100,1091,3295,1599,1115
"E02001376",8445,1347,3526,1972,1600
"E02001377",8525,1306,4401,1548,1270
"E02001378",7733,1179,3923,1651,980
"E02001380",7519,1045,4095,1787,592
"E02001381",9280,1589,4279,1814,1598
"E02001382",7093,887,3831,1853,522
"E02001383",7125,1196,3810,883,1236
"E02001384",10739,1195,6124,2345,1075
"E02001385",8106,1252,3048,1523,2283
"E02001386",7518,1338,3794,1472,914
"E02001387",7955,1397,4566,1454,538
"E02001388",8802,1328,5434,1550,490
"E02001389",5919,989,3395,571,964
"E02001390",8689,1301,3906,1774,1708
"E02001391",5887,771,2859,1421,836
"E02001392",5699,1222,3233,914,330
"E02001393",7203,1700,4082,1139,282
"E02001394",8158,1607,4458,1238,855
"E02001395",6056,925,3475,1232,424
"E02001396",7973,1562,4158,1449,804
"E02001397",7606,1450,4145,1337,674
"E02001398",7286,1359,4119,1141,667
"E02001399",7188,1012,3929,1809,438
"E02001400",6525,921,3379,1462,763
"E02001401",7813,1223,4355,1683,552
"E02001402",8241,1863,4640,1290,448
"E02001403",6010,990,2853,1298,869
"E02001404",7229,1025,3348,1800,1056
"E02001405",9574,1128,4498,2273,1675
"E02006932",5312,911,3111,560,730
"E02006933",5383,1053,2941,638,751
"E02006934",4367,944,2468,376,579
