"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E02001347",3204,933,1619,462,190
"E02001348",3148,988,1563,406,191
"E02001349",3422,1000,1804,472,146
"E02001350",3417,1161,1580,501,175
"E02001351",3515,1012,1821,456,226
"E02001352",3046,866,1555,401,224
"E02001353",2959,818,1560,464,117
"E02001354",3312,943,1680,441,248
"E02001355",3108,1134,1423,358,193
"E02001356",2364,683,1189,314,178
"E02001357",2858,836,1419,381,222
"E02001358",3450,1355,1465,439,191
"E02001359",2328,792,1126,308,102
"E02001360",4130,1356,2041,452,281
"E02001361",3388,984,1735,446,223
"E02001362",3161,934,1585,453,189
"E02001363",3481,1012,1810,407,252
"E02001364",2532,916,1176,242,198
"E02001365",4059,1426,1819,502,312
"E02001366",4081,1254,2144,411,272
"E02001367",3939,1178,2096,510,155
"E02001368",2918,1020,1452,284,162
"E02001369",3877,1273,1897,402,305
"E02001370",3153,1084,1487,324,258
"E02001371",3076,837,1514,476,249
"E02001372",2728,781,1468,321,158
"E02001373",4089,1314,1956,532,287
"E02001374",4105,1236,2161,349,359
"E02001375",3202,1062,1490,413,237
"E02001376",3789,1280,1606,534,369
"E02001377",4063,1235,2092,403,333
"E02001378",3557,1086,1833,412,226
"E02001380",3117,914,1648,430,125
"E02001381",4312,1527,1936,490,359
"E02001382",2782,750,1480,444,108
"E02001383",4260,1138,2514,227,381
"E02001384",3941,1064,2116,513,248
"E02001385",3631,1168,1590,389,484
"E02001386",3572,1249,1753,371,199
"E02001387",3162,1059,1653,327,123
"E02001388",4170,1142,2554,346,128
"E02001389",3740,928,2296,156,360
"E02001390",4094,1239,1962,476,417
"E02001391",2481,717,1225,360,179
"E02001392",2556,985,1279,218,74
"E02001393",2845,1154,1380,249,62
"E02001394",4290,1458,2249,295,288
"E02001395",2612,803,1422,298,89
"E02001396",3918,1442,1899,388,189
"E02001397",3848,1285,2041,336,186
"E02001398",3595,1164,1950,278,203
"E02001399",2866,833,1518,421,94
"E02001400",2839,843,1489,351,156
"E02001401",3395,1073,1799,402,121
"E02001402",3762,1439,1894,314,115
"E02001403",2841,941,1358,339,203
"E02001404",3155,994,1472,463,226
"E02001405",4154,1083,2090,587,394
"E02006932",3201,837,1898,145,321
"E02006933",3135,1034,1660,180,261
"E02006934",2782,939,1477,118,248
