"GeographyCode","QS610EW0001","QS610EW0002","QS610EW0003","QS610EW0004","QS610EW0005","QS610EW0006","QS610EW0007","QS610EW0008","QS610EW0009","QS610EW0010","QS610EW0011","QS610EW0012","QS610EW0013","QS610EW0014","QS610EW0015","QS610EW0016","QS610EW0017","QS610EW0018","QS610EW0019","QS610EW0020","QS610EW0021","QS610EW0022","QS610EW0023","QS610EW0024","QS610EW0025","QS610EW0026","QS610EW0027","QS610EW0028","QS610EW0029","QS610EW0030","QS610EW0031","QS610EW0032","QS610EW0033","QS610EW0034","QS610EW0035","QS610EW0036","QS610EW0037","QS610EW0038","QS610EW0039","QS610EW0040","QS610EW0041","QS610EW0042","QS610EW0043","QS610EW0044","QS610EW0045","QS610EW0046","QS610EW0047","QS610EW0048","QS610EW0049","QS610EW0050","QS610EW0051","QS610EW0052","QS610EW0053","QS610EW0054","QS610EW0055"
"E02001347",6314,451,132,0,132,319,179,108,27,5,1351,838,746,52,36,4,356,157,808,439,223,102,44,682,156,156,0,526,526,0,571,308,263,247,16,1112,206,525,77,208,4,54,38,848,106,78,323,334,7,405,260,145,86,83,3
"E02001348",6060,441,121,0,121,320,152,144,20,4,1377,773,657,70,40,6,321,283,1079,638,268,142,31,561,107,107,0,454,454,0,504,280,224,187,37,1037,257,396,108,180,0,69,27,662,99,76,257,224,6,315,173,142,84,84,0
"E02001349",6812,534,139,0,139,395,175,199,17,4,1543,936,745,109,77,5,382,225,1172,732,307,96,37,687,136,132,4,551,549,2,599,307,292,270,22,995,210,451,102,149,0,64,19,823,61,80,392,290,0,343,179,164,116,116,0
"E02001350",6377,436,93,0,93,343,214,85,34,10,995,605,521,53,24,7,257,133,881,456,289,97,39,629,147,147,0,482,482,0,492,232,260,237,23,1195,257,511,115,224,0,63,25,1017,90,131,334,451,11,661,413,248,71,71,0
"E02001351",6738,294,89,0,89,205,110,78,11,6,1041,689,604,50,30,5,216,136,878,407,319,116,36,494,124,124,0,370,370,0,579,330,249,220,29,1392,339,580,115,208,6,102,42,1189,142,153,381,512,1,710,400,310,161,160,1
"E02001352",5654,247,57,0,57,190,105,74,11,0,959,590,489,50,42,9,214,155,772,443,227,70,32,541,103,103,0,438,436,2,415,228,187,165,22,1024,213,429,119,188,4,47,24,990,124,85,331,445,5,594,342,252,112,112,0
"E02001353",6743,811,223,0,223,588,314,226,46,2,1753,1043,895,73,55,20,470,240,1013,522,314,90,87,891,275,275,0,616,612,4,577,266,311,261,50,819,248,312,49,124,6,59,21,602,75,24,312,190,1,216,127,89,61,61,0
"E02001354",6324,292,79,0,79,213,110,86,14,3,986,583,486,64,33,0,278,125,790,452,215,96,27,543,85,85,0,458,456,2,585,324,261,239,22,1221,341,498,96,150,4,85,47,1120,101,118,395,505,1,687,419,268,100,100,0
"E02001355",5462,204,89,0,89,115,60,51,4,0,878,525,475,28,18,4,206,147,807,480,231,58,38,519,85,81,4,434,428,6,498,267,231,194,37,1036,250,462,92,174,0,44,14,833,114,66,296,348,9,585,349,236,102,102,0
"E02001356",4706,158,56,0,56,102,59,43,0,0,633,351,307,28,8,8,166,116,546,291,140,87,28,394,103,103,0,291,291,0,372,240,132,121,11,951,255,416,61,130,0,61,28,887,150,108,237,390,2,666,369,297,99,99,0
"E02001357",5547,140,29,0,29,111,68,41,2,0,724,441,394,31,11,5,158,125,647,361,202,67,17,443,85,85,0,358,358,0,511,284,227,185,42,1308,396,580,56,170,0,78,28,1032,129,96,354,450,3,646,437,209,96,93,3
"E02001358",6015,173,46,0,46,127,76,37,8,6,849,451,374,46,25,6,238,160,767,411,239,100,17,449,90,90,0,359,359,0,457,270,187,165,22,1361,386,605,110,169,8,58,25,1115,186,75,271,573,10,720,463,257,124,124,0
"E02001359",4648,525,122,0,122,403,200,152,29,22,1212,706,610,45,45,6,313,193,524,305,162,29,28,654,264,264,0,390,388,2,364,141,223,195,28,587,160,242,55,75,0,48,7,497,53,27,232,183,2,215,121,94,70,70,0
"E02001360",6965,174,45,4,41,129,85,33,10,1,843,471,399,47,12,13,224,148,750,426,215,83,26,508,155,155,0,353,353,0,622,354,268,251,17,1463,418,593,95,256,2,73,26,1415,195,177,300,742,1,1024,715,309,166,164,2
"E02001361",6161,285,99,0,99,186,100,74,12,0,927,529,452,45,30,2,270,128,805,467,194,110,34,637,104,104,0,533,533,0,548,284,264,225,39,1224,371,516,51,188,3,69,26,1110,165,58,379,501,7,558,380,178,67,67,0
"E02001362",5699,422,156,0,156,266,137,100,25,4,1154,665,543,83,37,2,320,169,790,501,193,71,25,663,148,148,0,515,511,4,507,219,288,256,32,1030,257,442,61,157,4,84,25,746,87,62,248,343,6,323,172,151,64,64,0
"E02001363",6526,315,84,0,84,231,135,75,18,3,1070,683,599,71,11,2,249,138,804,378,267,113,46,531,116,116,0,415,414,1,475,251,224,194,30,1302,353,645,89,155,0,45,15,1043,131,61,346,500,5,842,586,256,144,144,0
"E02001364",4432,114,35,0,35,79,37,32,7,3,618,360,312,32,7,9,144,114,479,244,160,64,11,311,107,107,0,204,201,3,293,172,121,105,16,923,192,519,40,98,1,39,34,875,139,77,187,472,0,754,551,203,65,65,0
"E02001365",7759,305,89,0,89,216,90,102,24,0,1163,652,533,59,60,0,291,220,1009,525,314,131,39,566,110,110,0,456,456,0,616,377,239,210,29,1508,372,785,82,136,1,92,40,1306,259,116,386,535,10,1014,612,402,272,272,0
"E02001366",7495,419,75,0,75,344,210,107,18,9,1457,960,803,73,81,3,281,216,1092,648,289,101,54,681,132,131,1,549,546,3,604,321,283,256,27,1229,361,509,78,200,0,69,12,1051,154,71,411,412,3,811,473,338,151,151,0
"E02001367",7334,1002,250,0,250,752,368,269,100,15,2121,1315,1036,164,96,19,539,267,940,539,278,77,46,1093,319,319,0,774,768,6,492,228,264,245,19,723,149,288,51,143,0,50,42,664,70,37,314,242,1,188,112,76,111,111,0
"E02001368",4530,174,36,0,36,138,86,34,18,0,553,339,284,27,23,5,128,86,548,319,168,59,2,299,97,97,0,202,202,0,284,160,124,120,4,834,192,352,45,170,1,54,20,974,125,75,203,567,4,771,549,222,93,93,0
"E02001369",6202,377,38,0,38,339,239,69,23,8,788,493,427,41,19,6,200,95,643,349,245,33,16,366,84,83,1,282,282,0,511,328,183,155,28,1117,278,481,59,193,0,74,32,1254,142,132,269,703,8,794,539,255,352,352,0
"E02001370",4857,112,23,0,23,89,71,11,5,2,579,349,315,18,16,0,154,76,496,260,136,82,18,346,101,101,0,245,244,1,330,172,158,136,22,887,218,474,41,87,4,42,21,955,132,107,153,562,1,1000,732,268,152,152,0
"E02001371",6339,283,92,0,92,191,124,59,4,4,1103,761,689,27,34,11,216,126,700,394,201,70,35,623,157,152,5,466,461,5,547,351,196,181,15,1380,395,593,93,164,0,102,33,918,136,81,311,386,4,660,424,236,125,125,0
"E02001372",4865,406,89,0,89,317,144,149,24,0,1061,682,588,58,27,9,234,145,651,370,161,77,43,521,129,129,0,392,392,0,376,235,141,127,14,791,205,392,56,86,3,37,12,637,62,61,298,213,3,376,216,160,46,46,0
"E02001373",7727,446,94,0,94,352,224,107,15,6,1589,985,854,85,28,18,372,232,1131,627,306,144,54,710,128,128,0,582,582,0,616,323,293,263,30,1371,356,633,89,172,1,92,28,1077,204,53,374,445,1,651,381,270,136,136,0
"E02001374",7169,400,75,0,75,325,208,66,36,15,1090,758,593,73,83,9,199,133,780,427,254,80,19,625,125,125,0,500,500,0,544,370,174,142,32,1206,298,610,80,122,0,77,19,1053,152,102,289,508,2,1033,652,381,438,434,4
"E02001375",5607,371,88,0,88,283,146,116,16,5,1149,711,614,68,17,12,245,193,833,494,221,88,30,483,98,94,4,385,383,2,445,225,220,198,22,1036,243,523,41,139,0,68,22,790,114,74,264,335,3,452,234,218,48,45,3
"E02001376",7257,200,34,0,34,166,103,33,22,8,1000,691,616,33,29,13,187,122,648,326,196,112,14,496,157,157,0,339,337,2,489,293,196,182,14,1406,284,775,94,158,7,67,21,1161,152,149,191,666,3,1062,762,300,795,790,5
"E02001377",7499,488,54,0,54,434,350,58,25,1,690,503,441,7,53,2,104,83,453,244,121,79,9,343,90,90,0,253,253,0,374,242,132,121,11,914,298,439,20,92,10,34,21,829,168,60,125,474,2,727,525,202,2681,2680,1
"E02001378",6495,678,135,0,135,543,320,157,61,5,1468,979,824,75,68,12,283,206,814,421,261,95,37,669,184,184,0,485,485,0,501,265,236,205,31,1016,253,500,42,90,4,94,33,781,117,65,318,277,4,449,269,180,119,119,0
"E02001380",6041,898,200,0,200,698,434,185,68,11,1859,1189,988,126,60,15,424,246,848,455,245,76,72,699,191,191,0,508,508,0,434,179,255,229,26,655,175,236,62,94,0,63,25,450,41,33,203,172,1,145,81,64,53,53,0
"E02001381",8215,529,110,0,110,419,278,105,33,3,1405,972,798,60,96,18,290,143,800,438,270,72,20,617,147,147,0,470,467,3,703,444,259,231,28,1356,376,676,57,138,4,55,50,954,192,105,236,418,3,867,559,308,984,980,4
"E02001382",5833,1031,215,0,215,816,448,276,77,15,1808,1136,881,178,66,11,427,245,836,513,221,47,55,630,198,198,0,432,430,2,441,193,248,217,31,509,112,201,31,82,0,50,33,378,34,26,209,109,0,118,68,50,82,82,0
"E02001383",6498,584,58,2,56,526,365,105,46,10,1144,838,620,64,145,9,207,99,432,257,97,72,6,313,114,112,2,199,196,3,350,181,169,163,6,792,247,407,12,62,0,27,37,533,118,47,65,302,1,835,542,293,1515,1515,0
"E02001384",9861,531,68,0,68,463,281,122,58,2,1284,880,724,66,56,34,235,169,736,429,187,91,29,483,127,127,0,356,354,2,431,268,163,141,22,968,333,421,31,91,0,44,48,589,185,40,146,218,0,620,422,198,4219,4216,3
"E02001385",7094,365,40,0,40,325,200,80,32,13,800,598,478,26,88,6,131,71,539,308,137,81,13,828,238,238,0,590,587,3,356,191,165,152,13,1006,265,564,48,71,1,36,21,738,140,74,127,388,9,1847,1423,424,615,611,4
"E02001386",5761,260,91,6,85,169,102,50,15,2,832,445,394,26,24,1,239,148,729,387,256,57,29,480,97,97,0,383,380,3,633,362,271,240,31,1176,405,516,52,123,4,56,20,969,120,104,283,459,3,584,387,197,98,98,0
"E02001387",6568,1697,319,0,319,1378,827,276,266,9,2199,1570,1273,115,139,43,437,192,664,396,184,36,48,704,215,215,0,489,486,3,341,188,153,141,12,424,104,192,16,41,3,42,26,254,45,15,120,72,2,62,34,28,223,222,1
"E02001388",7994,1060,139,0,139,921,638,208,62,13,1827,1378,1169,87,112,10,301,148,730,409,230,66,25,436,151,142,9,285,282,3,376,228,148,110,38,636,179,266,19,54,9,45,64,382,86,34,145,115,2,192,131,61,2355,2355,0
"E02001389",5393,786,97,0,97,689,493,116,71,9,1298,1037,771,75,168,23,183,78,434,248,134,44,8,420,127,127,0,293,287,6,319,170,149,135,14,675,155,377,24,40,0,53,26,409,89,44,101,174,1,576,400,176,476,476,0
"E02001390",7307,361,64,6,58,297,192,89,16,0,993,665,581,32,43,9,223,105,647,349,190,92,16,593,152,152,0,441,441,0,569,309,260,224,36,1416,351,746,61,126,0,77,55,1158,203,97,217,634,7,1251,905,346,319,314,5
"E02001391",4751,159,52,0,52,107,65,28,14,0,692,387,328,28,22,9,185,120,527,296,143,55,33,346,72,72,0,274,274,0,470,284,186,149,37,1108,340,491,61,99,2,74,41,859,120,77,325,333,4,503,333,170,87,87,0
"E02001392",3975,842,190,4,186,652,350,144,127,31,1209,803,603,81,82,37,253,153,482,265,171,28,18,555,207,207,0,348,348,0,267,132,135,123,12,324,92,125,8,56,1,26,16,175,23,21,70,61,0,77,35,42,44,44,0
"E02001393",5520,1664,268,8,260,1396,696,260,392,48,1816,1204,874,124,180,26,432,180,393,281,62,30,20,888,465,459,6,423,423,0,201,86,115,95,20,301,68,100,9,43,0,66,15,113,11,4,66,32,0,64,24,40,80,80,0
"E02001394",6933,1443,188,2,186,1255,911,184,142,18,1976,1502,1134,141,197,30,322,152,624,377,188,53,6,552,160,160,0,392,382,10,307,170,137,94,43,522,98,288,22,56,0,23,35,356,56,33,98,164,5,384,235,149,769,769,0
"E02001395",4862,952,201,0,201,751,476,200,65,10,1547,1136,955,109,57,15,253,158,693,424,181,42,46,423,136,136,0,287,287,0,312,137,175,161,14,415,110,136,42,68,0,30,29,284,38,16,132,98,0,118,62,56,118,118,0
"E02001396",6887,785,108,0,108,677,417,178,74,8,1465,938,804,63,61,10,352,175,848,519,207,90,32,520,113,113,0,407,407,0,465,258,207,194,13,1041,304,453,40,164,0,47,33,826,139,94,194,393,6,609,406,203,328,328,0
"E02001397",5746,942,182,4,178,760,433,165,151,11,1482,953,767,90,72,24,322,207,764,416,247,68,33,576,198,198,0,378,374,4,411,219,192,165,27,668,145,328,34,74,5,59,23,546,62,52,214,210,8,285,149,136,72,69,3
"E02001398",6085,1211,139,0,139,1072,676,236,132,28,1769,1276,1035,99,134,8,327,166,649,378,191,69,11,547,186,186,0,361,361,0,324,180,144,129,15,650,157,298,58,59,2,43,33,340,60,17,104,159,0,276,168,108,319,318,1
"E02001399",5631,1191,261,4,257,930,559,265,103,3,1689,1179,949,119,92,19,290,220,711,416,212,53,30,572,169,169,0,403,403,0,493,225,268,235,33,519,107,223,17,69,0,58,45,291,50,10,132,94,5,69,38,31,96,96,0
"E02001400",5276,584,118,0,118,466,265,133,61,7,1196,731,594,77,50,10,300,165,751,403,248,55,45,500,157,157,0,343,343,0,423,200,223,184,39,865,250,373,69,87,0,39,47,633,80,34,229,288,2,258,141,117,66,66,0
"E02001401",5927,785,186,0,186,599,377,145,66,11,1601,1036,834,109,75,18,375,190,777,396,272,55,54,635,203,200,3,432,427,5,615,293,322,233,89,787,207,284,61,136,0,63,36,491,48,54,213,170,6,182,94,88,54,54,0
"E02001402",6682,1753,326,0,326,1427,819,312,279,17,2087,1486,1141,179,145,21,352,249,692,397,217,45,33,628,208,208,0,420,420,0,368,206,162,151,11,514,104,210,51,85,0,43,21,331,39,22,159,111,0,169,73,96,140,140,0
"E02001403",5147,358,53,0,53,305,168,100,33,4,925,600,503,52,39,6,194,131,657,362,217,56,22,396,89,89,0,307,306,1,402,207,195,166,29,1020,296,414,100,119,8,50,33,810,109,57,236,397,11,482,293,189,97,97,0
"E02001404",6155,244,74,0,74,170,101,60,8,1,837,483,438,19,25,1,260,94,808,450,265,62,31,382,94,94,0,288,288,0,750,396,354,233,121,1282,289,579,122,172,4,85,31,1159,126,130,353,530,20,598,377,221,95,94,1
"E02001405",8179,240,70,0,70,170,99,45,25,1,837,433,360,32,32,9,241,163,874,455,256,126,37,532,151,151,0,381,379,2,819,466,353,240,113,2167,598,870,183,331,7,141,37,1429,148,103,367,794,17,1147,768,379,134,134,0
