"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E00032987",88,87,1
"E00032988",202,200,2
"E00032989",234,232,2
"E00032990",227,219,8
"E00032991",229,219,10
"E00032992",199,165,34
"E00032993",179,166,13
"E00032994",65,63,2
"E00032995",155,149,6
"E00032996",183,181,2
"E00032997",114,106,8
"E00032998",198,164,34
"E00032999",274,236,38
"E00033000",90,87,3
"E00033002",131,129,2
"E00033004",185,167,18
"E00033005",182,176,6
"E00033006",124,120,4
"E00033007",158,155,3
"E00033008",149,147,2
"E00033012",117,104,13
"E00033013",118,115,3
"E00033015",116,109,7
"E00033016",267,226,41
"E00033018",73,72,1
"E00033019",222,218,4
"E00033020",150,143,7
"E00033021",138,134,4
"E00033023",150,149,1
"E00033024",105,104,1
"E00033025",141,135,6
"E00033026",91,90,1
"E00033027",228,200,28
"E00033029",114,111,3
"E00033030",115,95,20
"E00033031",133,130,3
"E00033032",252,238,14
"E00033033",201,193,8
"E00033034",212,201,11
"E00033035",163,159,4
"E00033036",134,128,6
"E00033037",166,153,13
"E00033038",132,110,22
"E00033040",143,132,11
"E00033041",113,110,3
"E00033042",100,98,2
"E00033043",117,112,5
"E00033044",93,92,1
"E00033045",133,132,1
"E00033046",127,121,6
"E00033047",110,106,4
"E00033048",102,100,2
"E00033049",163,154,9
"E00033050",87,84,3
"E00033051",181,167,14
"E00033052",151,144,7
"E00033053",114,111,3
"E00033054",78,76,2
"E00033055",108,106,2
"E00033056",125,123,2
"E00033057",124,122,2
"E00033059",151,149,2
"E00033060",105,101,4
"E00033061",95,91,4
"E00033062",106,105,1
"E00033063",103,101,2
"E00033064",103,97,6
"E00033065",133,120,13
"E00033066",166,155,11
"E00033067",187,184,3
"E00033068",208,203,5
"E00033069",166,164,2
"E00033070",196,190,6
"E00033071",156,141,15
"E00033072",180,167,13
"E00033073",197,192,5
"E00033074",182,179,3
"E00033075",217,210,7
"E00033076",162,152,10
"E00033077",193,185,8
"E00033078",177,176,1
"E00033079",117,116,1
"E00033080",151,150,1
"E00033081",134,127,7
"E00033082",123,122,1
"E00033083",129,122,7
"E00033084",150,148,2
"E00033085",147,143,4
"E00033086",127,122,5
"E00033087",156,149,7
"E00033088",104,101,3
"E00033089",128,124,4
"E00033090",142,139,3
"E00033091",131,126,5
"E00033092",132,127,5
"E00033093",158,158,0
"E00033094",138,136,2
"E00033095",172,164,8
"E00033096",112,110,2
"E00033097",120,119,1
"E00033098",116,113,3
"E00033099",97,94,3
"E00033100",142,138,4
"E00033101",98,96,2
"E00033102",223,207,16
"E00033103",122,117,5
"E00033104",112,109,3
"E00033105",121,118,3
"E00033106",130,125,5
"E00033107",127,121,6
"E00033108",121,119,2
"E00033109",127,123,4
"E00033110",146,142,4
"E00033112",119,115,4
"E00033113",122,117,5
"E00033114",115,113,2
"E00033115",98,92,6
"E00033116",109,101,8
"E00033117",159,154,5
"E00033118",134,129,5
"E00033119",112,109,3
"E00033120",134,132,2
"E00033121",120,119,1
"E00033122",123,121,2
"E00033123",129,123,6
"E00033124",125,120,5
"E00033125",117,111,6
"E00033126",112,111,1
"E00033127",202,194,8
"E00033128",113,111,2
"E00033129",111,108,3
"E00033130",126,126,0
"E00033131",133,130,3
"E00033132",163,158,5
"E00033133",144,144,0
"E00033134",121,111,10
"E00033135",195,183,12
"E00033136",104,99,5
"E00033137",172,167,5
"E00033138",124,113,11
"E00033139",155,149,6
"E00033140",95,94,1
"E00033141",95,85,10
"E00033142",123,117,6
"E00033143",146,127,19
"E00033144",137,126,11
"E00033145",123,122,1
"E00033146",146,124,22
"E00033147",129,127,2
"E00033148",118,116,2
"E00033149",101,98,3
"E00033150",159,146,13
"E00033151",133,125,8
"E00033152",158,146,12
"E00033153",169,167,2
"E00033154",108,102,6
"E00033155",158,155,3
"E00033156",122,122,0
"E00033157",145,140,5
"E00033158",138,130,8
"E00033159",95,87,8
"E00033160",177,167,10
"E00033161",139,137,2
"E00033162",144,131,13
"E00033163",143,136,7
"E00033164",156,152,4
"E00033165",118,117,1
"E00033166",115,113,2
"E00033167",135,130,5
"E00033168",124,122,2
"E00033169",123,122,1
"E00033170",148,142,6
"E00033171",139,136,3
"E00033172",132,122,10
"E00033173",133,129,4
"E00033174",117,114,3
"E00033175",108,107,1
"E00033176",126,99,27
"E00033177",138,130,8
"E00033178",94,88,6
"E00033179",139,136,3
"E00033181",161,155,6
"E00033182",200,184,16
"E00033183",224,207,17
"E00033185",126,117,9
"E00033186",111,105,6
"E00033187",136,129,7
"E00033188",118,113,5
"E00033189",220,208,12
"E00033190",234,226,8
"E00033191",135,128,7
"E00033192",120,118,2
"E00033193",115,114,1
"E00033194",125,117,8
"E00033195",110,105,5
"E00033196",156,137,19
"E00033197",242,236,6
"E00033198",137,135,2
"E00033199",138,137,1
"E00033200",128,126,2
"E00033201",99,91,8
"E00033202",103,98,5
"E00033203",106,101,5
"E00033204",110,105,5
"E00033206",128,117,11
"E00033207",187,179,8
"E00033208",150,143,7
"E00033209",230,208,22
"E00033210",142,133,9
"E00033211",154,145,9
"E00033212",127,123,4
"E00033213",141,136,5
"E00033214",245,223,22
"E00033215",158,147,11
"E00033216",163,150,13
"E00033217",174,158,16
"E00033218",114,106,8
"E00033219",191,181,10
"E00033220",147,135,12
"E00033221",182,170,12
"E00033222",135,135,0
"E00033223",193,171,22
"E00033224",149,148,1
"E00033225",167,160,7
"E00033226",205,187,18
"E00033227",138,136,2
"E00033228",212,208,4
"E00033229",130,128,2
"E00033230",115,114,1
"E00033231",122,113,9
"E00033235",122,122,0
"E00033237",146,146,0
"E00033238",182,182,0
"E00033242",104,104,0
"E00033245",167,167,0
"E00033246",124,121,3
"E00033247",159,148,11
"E00033248",252,250,2
"E00033249",136,132,4
"E00033250",132,126,6
"E00033251",116,106,10
"E00033252",171,169,2
