"GeographyCode","QS610EW0001","QS610EW0002","QS610EW0003","QS610EW0004","QS610EW0005","QS610EW0006","QS610EW0007","QS610EW0008","QS610EW0009","QS610EW0010","QS610EW0011","QS610EW0012","QS610EW0013","QS610EW0014","QS610EW0015","QS610EW0016","QS610EW0017","QS610EW0018","QS610EW0019","QS610EW0020","QS610EW0021","QS610EW0022","QS610EW0023","QS610EW0024","QS610EW0025","QS610EW0026","QS610EW0027","QS610EW0028","QS610EW0029","QS610EW0030","QS610EW0031","QS610EW0032","QS610EW0033","QS610EW0034","QS610EW0035","QS610EW0036","QS610EW0037","QS610EW0038","QS610EW0039","QS610EW0040","QS610EW0041","QS610EW0042","QS610EW0043","QS610EW0044","QS610EW0045","QS610EW0046","QS610EW0047","QS610EW0048","QS610EW0049","QS610EW0050","QS610EW0051","QS610EW0052","QS610EW0053","QS610EW0054","QS610EW0055"
"E00032987",176,23,4,0,4,19,5,8,6,0,32,24,22,0,2,0,4,4,7,3,4,0,0,7,0,0,0,7,7,0,14,8,6,6,0,25,11,5,0,5,0,3,1,20,7,0,0,13,0,34,29,5,14,14,0
"E00032988",283,40,9,0,9,31,25,3,2,1,87,61,39,5,17,0,18,8,19,12,1,5,1,23,5,5,0,18,18,0,16,10,6,4,2,16,4,7,2,1,0,1,1,18,9,0,0,9,0,31,21,10,33,33,0
"E00032989",313,38,5,0,5,33,25,1,6,1,69,41,25,8,8,0,14,14,30,19,9,2,0,20,9,9,0,11,9,2,10,6,4,4,0,40,8,27,1,0,0,0,4,14,2,0,3,9,0,44,35,9,48,48,0
"E00032990",290,47,4,0,4,43,30,13,0,0,70,44,30,4,8,2,23,3,22,12,7,3,0,14,8,8,0,6,5,1,11,10,1,1,0,29,6,14,0,8,0,1,0,20,5,0,4,11,0,32,19,13,45,45,0
"E00032991",317,40,5,0,5,35,25,5,3,2,71,58,47,3,7,1,9,4,27,21,3,2,1,6,0,0,0,6,6,0,8,4,4,4,0,47,10,30,1,3,0,0,3,24,5,0,7,12,0,62,24,38,32,32,0
"E00032992",229,12,0,0,0,12,11,1,0,0,50,41,29,10,2,0,8,1,18,10,3,5,0,7,6,6,0,1,1,0,17,3,14,14,0,25,4,13,1,5,0,1,1,11,1,0,0,10,0,46,23,23,43,43,0
"E00032993",258,27,0,0,0,27,19,7,1,0,57,49,32,3,14,0,5,3,21,14,3,2,2,15,7,7,0,8,8,0,20,6,14,12,2,37,21,14,0,0,0,2,0,18,5,2,7,4,0,21,10,11,42,42,0
"E00032994",91,4,0,0,0,4,1,2,0,1,8,4,2,0,2,0,4,0,11,7,2,2,0,6,0,0,0,6,6,0,6,6,0,0,0,21,0,20,0,1,0,0,0,16,0,4,2,10,0,12,11,1,7,7,0
"E00032995",196,13,4,0,4,9,6,3,0,0,31,20,20,0,0,0,4,7,26,18,7,0,1,7,0,0,0,7,7,0,10,4,6,6,0,48,4,32,7,0,0,2,3,28,0,2,14,12,0,27,20,7,6,6,0
"E00032996",327,14,7,0,7,7,1,6,0,0,23,16,12,0,4,0,3,4,37,10,25,2,0,11,0,0,0,11,11,0,44,27,17,13,4,78,19,47,1,5,0,0,6,51,8,6,13,24,0,62,50,12,7,7,0
"E00032997",185,6,0,0,0,6,6,0,0,0,28,20,20,0,0,0,6,2,10,10,0,0,0,11,3,3,0,8,8,0,22,14,8,6,2,44,14,18,0,9,0,0,3,31,8,0,7,16,0,22,19,3,11,11,0
"E00032998",291,32,12,0,12,20,9,3,8,0,51,28,18,1,6,3,13,10,38,19,12,3,4,17,8,8,0,9,9,0,22,11,11,11,0,39,5,26,3,4,0,1,0,42,15,0,12,15,0,34,25,9,16,16,0
"E00032999",349,36,3,0,3,33,30,3,0,0,78,58,44,1,11,2,10,10,31,23,4,4,0,15,5,3,2,10,10,0,17,11,6,6,0,39,19,16,0,0,0,0,4,40,15,1,5,19,0,39,24,15,54,54,0
"E00033000",111,11,4,0,4,7,4,3,0,0,13,7,7,0,0,0,3,3,5,5,0,0,0,2,2,2,0,0,0,0,4,3,1,1,0,31,6,17,0,7,0,0,1,20,5,5,0,10,0,21,15,6,4,4,0
"E00033002",206,20,0,0,0,20,13,5,2,0,35,29,26,0,0,3,4,2,25,20,4,1,0,10,1,1,0,9,9,0,27,4,23,15,8,28,2,25,0,0,0,1,0,28,11,1,9,7,0,25,10,15,8,8,0
"E00033004",229,55,11,0,11,44,31,2,11,0,62,42,35,2,4,1,15,5,29,18,6,2,3,26,5,5,0,21,21,0,15,8,7,4,3,21,4,11,1,3,0,2,0,4,0,0,0,4,0,5,2,3,12,12,0
"E00033005",269,6,0,0,0,6,4,2,0,0,38,22,20,0,2,0,14,2,24,14,3,6,1,3,0,0,0,3,3,0,23,19,4,4,0,82,20,35,12,13,0,2,0,41,4,13,16,8,0,43,29,14,9,9,0
"E00033006",209,11,2,0,2,9,3,6,0,0,28,11,11,0,0,0,13,4,31,18,8,0,5,13,0,0,0,13,13,0,13,8,5,3,2,46,3,27,3,5,0,0,8,37,6,0,5,24,2,28,23,5,2,2,0
"E00033007",249,12,3,0,3,9,9,0,0,0,17,6,4,2,0,0,9,2,14,6,6,2,0,21,7,7,0,14,14,0,29,17,12,9,3,62,13,44,0,1,0,0,4,39,4,3,3,29,0,53,45,8,2,2,0
"E00033008",311,15,7,0,7,8,6,0,2,0,17,14,10,4,0,0,3,0,17,9,4,2,2,6,1,1,0,5,5,0,26,15,11,11,0,78,17,43,5,7,0,3,3,55,11,11,9,24,0,95,74,21,2,2,0
"E00033012",127,39,6,0,6,33,15,7,9,2,39,21,14,1,2,4,17,1,6,5,1,0,0,13,6,6,0,7,7,0,3,3,0,0,0,8,3,3,0,2,0,0,0,6,2,0,2,2,0,3,2,1,10,10,0
"E00033013",187,36,2,0,2,34,30,4,0,0,41,33,31,1,1,0,8,0,14,7,2,5,0,9,3,3,0,6,6,0,7,6,1,1,0,27,2,17,0,8,0,0,0,20,13,0,0,7,0,4,4,0,29,29,0
