"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E02001347",5565,3770,829,2086,13,64,78,187,352,161,1795,661,256,221,516,141
"E02001348",5381,3835,798,2253,14,37,81,183,326,143,1546,693,236,177,328,112
"E02001349",6024,4463,870,2621,6,57,77,228,351,253,1561,692,229,169,368,103
"E02001350",5534,3555,780,1883,13,53,60,183,415,168,1979,686,235,300,563,195
"E02001351",6593,3939,931,1966,12,50,53,157,533,237,2654,703,323,327,655,646
"E02001352",5749,3508,821,1750,1,49,72,165,475,175,2241,556,312,214,594,565
"E02001353",5626,4290,873,2440,11,112,105,260,271,218,1336,531,275,155,293,82
"E02001354",5517,3579,889,1782,16,35,67,147,420,223,1938,658,282,262,569,167
"E02001355",5038,3265,719,1680,12,31,54,175,420,174,1773,644,261,241,484,143
"E02001356",3868,2350,552,1096,4,23,41,90,410,134,1518,478,205,274,431,130
"E02001357",4940,2937,730,1412,8,27,57,111,417,175,2003,648,288,308,561,198
"E02001358",5310,3419,764,1744,3,45,46,154,496,167,1891,627,231,272,572,189
"E02001359",4403,3023,671,1632,17,95,72,160,220,156,1380,624,224,131,293,108
"E02001360",6444,3642,869,1776,16,41,52,113,586,189,2802,880,362,325,922,313
"E02001361",5666,3604,848,1863,10,45,70,170,412,186,2062,798,287,253,579,145
"E02001362",5471,3584,837,1909,16,53,56,203,330,180,1887,832,298,196,449,112
"E02001363",5578,3466,803,1709,16,41,63,151,508,175,2112,690,312,346,577,187
"E02001364",3920,2183,502,1025,10,38,26,84,386,112,1737,460,226,245,603,203
"E02001365",6559,4243,944,2106,11,38,81,179,630,254,2316,684,450,386,572,224
"E02001366",6768,4490,923,2355,17,64,90,236,582,223,2278,791,379,264,647,197
"E02001367",6888,4835,1004,2670,30,159,114,324,295,239,2053,1107,341,187,315,103
"E02001368",4349,2318,551,1080,10,35,40,83,408,111,2031,652,235,252,684,208
"E02001369",6096,3494,741,1753,14,42,50,121,514,259,2602,840,444,224,853,241
"E02001370",4553,2328,552,958,8,20,27,79,559,125,2225,754,260,282,725,204
"E02001371",5162,3373,807,1751,16,52,70,149,388,140,1789,541,288,316,485,159
"E02001372",4514,3041,647,1630,10,55,65,165,309,160,1473,595,219,154,397,108
"E02001373",6860,4630,1040,2435,13,47,100,203,561,231,2230,772,396,314,569,179
"E02001374",6580,4181,771,1992,11,50,98,209,711,339,2399,559,519,256,769,296
"E02001375",5152,3432,753,1880,1,41,57,162,393,145,1720,723,217,218,428,134
"E02001376",6362,3754,803,1572,18,62,75,118,635,471,2608,605,700,328,631,344
"E02001377",10129,4320,645,1351,17,32,48,115,435,1677,5809,634,4150,222,574,229
"E02001378",5940,3945,787,2184,16,81,87,211,377,202,1995,771,299,224,526,175
"E02001380",5545,3988,854,2291,18,81,99,235,232,178,1557,854,270,131,241,61
"E02001381",7252,4609,916,2210,17,44,102,206,569,545,2643,610,894,333,554,252
"E02001382",5318,3873,835,2215,16,92,76,234,200,205,1445,774,295,157,155,64
"E02001383",6363,3648,581,1505,13,61,87,150,517,734,2715,382,1371,180,570,212
"E02001384",9395,4893,725,1836,13,52,76,184,428,1579,4502,465,3318,208,340,171
"E02001385",5650,3025,610,1013,20,69,86,166,736,325,2625,458,689,494,605,379
"E02001386",5525,3202,778,1650,11,28,63,128,406,138,2323,936,319,265,662,141
"E02001387",5965,4311,824,2419,22,145,150,283,184,284,1654,834,469,154,125,72
"E02001388",7601,4728,692,2525,12,65,127,185,245,877,2873,478,1973,107,226,89
"E02001389",5287,3621,514,1940,14,61,114,226,475,277,1666,370,393,147,561,195
"E02001390",6416,3585,824,1611,22,40,62,178,610,238,2831,768,505,345,898,315
"E02001391",4341,2609,612,1379,12,31,45,95,313,122,1732,730,233,209,435,125
"E02001392",4162,2777,555,1510,23,120,97,219,151,102,1385,910,172,89,138,76
"E02001393",5877,3925,722,1829,40,297,191,285,148,413,1952,997,598,155,127,75
"E02001394",8431,5055,611,2674,15,114,144,309,364,824,3376,748,1796,157,515,160
"E02001395",4565,3361,629,2034,14,67,96,172,175,174,1204,646,239,105,158,56
"E02001396",6422,4409,756,2547,12,64,94,201,463,272,2013,698,408,250,476,181
"E02001397",5586,3731,737,2088,18,126,118,206,263,175,1855,935,235,166,416,103
"E02001398",6188,4282,623,2484,23,121,130,220,324,357,1906,660,584,156,366,140
"E02001399",5426,3784,771,2226,15,80,84,196,189,223,1642,945,352,103,167,75
"E02001400",4942,3287,713,1778,15,63,74,156,310,178,1655,688,277,191,408,91
"E02001401",5694,3885,781,2275,17,105,96,186,232,193,1809,1001,264,179,258,107
"E02001402",6356,4552,804,2704,31,161,150,288,241,173,1804,993,314,129,258,110
"E02001403",4546,3102,702,1671,7,34,54,131,369,134,1444,488,207,210,437,102
"E02001404",5265,3395,766,1829,8,30,49,117,457,139,1870,590,269,314,534,163
"E02001405",6696,4030,961,1967,13,48,56,131,701,153,2666,729,372,504,796,265
"E02006932",9719,4759,298,1690,9,51,66,118,193,2334,4960,101,4514,42,188,115
"E02006933",4829,3428,346,2195,15,88,61,220,193,310,1401,296,663,120,217,105
"E02006934",4975,3620,222,2339,10,80,46,194,167,562,1355,97,1049,40,90,79
