"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E02001347",357,143,80,134,20,4,9,7,337,139,71,127,40.0560224089636,22.4089635854342,37.5350140056022,5.60224089635854,1.12044817927171,2.52100840336134,1.96078431372549,94.3977591036414,38.9355742296919,19.8879551820728,35.5742296918768
"E02001348",365,119,95,151,23,5,13,5,342,114,82,146,32.6027397260274,26.027397260274,41.3698630136986,6.3013698630137,1.36986301369863,3.56164383561644,1.36986301369863,93.6986301369863,31.2328767123288,22.4657534246575,40
"E02001349",309,108,98,103,24,2,15,7,285,106,83,96,34.9514563106796,31.7152103559871,33.3333333333333,7.76699029126214,0.647249190938511,4.85436893203883,2.26537216828479,92.2330097087379,34.3042071197411,26.8608414239482,31.0679611650485
"E02001350",422,142,80,200,25,1,9,15,397,141,71,185,33.6492890995261,18.957345971564,47.39336492891,5.92417061611374,0.23696682464455,2.13270142180095,3.55450236966825,94.0758293838863,33.4123222748815,16.824644549763,43.8388625592417
"E02001351",555,165,92,298,47,9,16,22,508,156,76,276,29.7297297297297,16.5765765765766,53.6936936936937,8.46846846846847,1.62162162162162,2.88288288288288,3.96396396396396,91.5315315315315,28.1081081081081,13.6936936936937,49.7297297297297
"E02001352",409,139,74,196,35,4,12,19,374,135,62,177,33.9853300733496,18.0929095354523,47.921760391198,8.55745721271394,0.97799511002445,2.93398533007335,4.64547677261614,91.4425427872861,33.0073349633252,15.158924205379,43.2762836185819
"E02001353",308,134,88,86,28,4,15,9,280,130,73,77,43.5064935064935,28.5714285714286,27.9220779220779,9.09090909090909,1.2987012987013,4.87012987012987,2.92207792207792,90.9090909090909,42.2077922077922,23.7012987012987,25
"E02001354",482,162,80,240,27,2,15,10,455,160,65,230,33.6099585062241,16.597510373444,49.792531120332,5.60165975103734,0.4149377593361,3.11203319502075,2.0746887966805,94.3983402489627,33.195020746888,13.4854771784232,47.7178423236515
"E02001355",401,121,66,214,22,4,8,10,379,117,58,204,30.1745635910224,16.4588528678304,53.3665835411471,5.48628428927681,0.997506234413965,1.99501246882793,2.49376558603491,94.5137157107232,29.1770573566085,14.4638403990025,50.8728179551122
"E02001356",439,109,77,253,25,1,9,15,414,108,68,238,24.8291571753986,17.5398633257403,57.630979498861,5.69476082004556,0.227790432801822,2.0501138952164,3.41685649202733,94.3052391799544,24.6013667425968,15.4897494305239,54.2141230068337
"E02001357",453,145,68,240,25,3,5,17,428,142,63,223,32.0088300220751,15.0110375275938,52.9801324503311,5.51876379690949,0.662251655629139,1.1037527593819,3.75275938189845,94.4812362030905,31.3465783664459,13.9072847682119,49.2273730684327
"E02001358",532,148,81,303,44,3,9,32,488,145,72,271,27.8195488721804,15.2255639097744,56.9548872180451,8.27067669172932,0.56390977443609,1.69172932330827,6.01503759398496,91.7293233082707,27.2556390977444,13.5338345864662,50.9398496240602
"E02001359",190,69,51,70,13,1,10,2,177,68,41,68,36.3157894736842,26.8421052631579,36.8421052631579,6.8421052631579,0.526315789473684,5.26315789473684,1.05263157894737,93.1578947368421,35.7894736842105,21.5789473684211,35.7894736842105
"E02001360",589,184,89,316,36,7,6,23,553,177,83,293,31.2393887945671,15.1103565365025,53.6502546689304,6.11205432937182,1.18845500848896,1.01867572156197,3.90492359932088,93.8879456706282,30.0509337860781,14.0916808149406,49.7453310696095
"E02001361",413,133,72,208,32,8,15,9,381,125,57,199,32.2033898305085,17.4334140435835,50.363196125908,7.74818401937046,1.93704600484262,3.6319612590799,2.17917675544794,92.2518159806295,30.2663438256659,13.8014527845036,48.18401937046
"E02001362",273,98,66,109,19,2,7,10,254,96,59,99,35.8974358974359,24.1758241758242,39.9267399267399,6.95970695970696,0.732600732600733,2.56410256410256,3.66300366300366,93.040293040293,35.1648351648352,21.6117216117216,36.2637362637363
"E02001363",578,175,93,310,33,6,8,19,545,169,85,291,30.2768166089965,16.0899653979239,53.6332179930796,5.70934256055363,1.03806228373702,1.3840830449827,3.28719723183391,94.2906574394464,29.2387543252595,14.7058823529412,50.3460207612457
"E02001364",376,97,47,232,33,5,4,24,343,92,43,208,25.7978723404255,12.5,61.7021276595745,8.77659574468085,1.32978723404255,1.06382978723404,6.38297872340426,91.2234042553192,24.468085106383,11.436170212766,55.3191489361702
"E02001365",660,207,118,335,56,10,24,22,604,197,94,313,31.3636363636364,17.8787878787879,50.7575757575758,8.48484848484849,1.51515151515152,3.63636363636364,3.33333333333333,91.5151515151515,29.8484848484848,14.2424242424242,47.4242424242424
