"GeographyCode","QS119EW0001","QS119EW0002","QS119EW0003","QS119EW0004","QS119EW0005","QS119EW0006"
"E00032987",87,27,31,24,3,2
"E00032988",200,71,67,37,24,1
"E00032989",232,72,75,50,29,6
"E00032990",219,71,72,48,22,6
"E00032991",219,60,76,47,28,8
"E00032992",165,43,54,33,30,5
"E00032993",166,69,59,29,9,0
"E00032994",63,15,11,26,11,0
"E00032995",149,30,30,59,28,2
"E00032996",181,24,52,67,33,5
"E00032997",106,30,32,25,18,1
"E00032998",164,48,53,34,29,0
"E00032999",236,104,76,39,15,2
"E00033000",87,12,17,47,10,1
"E00033002",129,36,52,25,15,1
"E00033004",167,120,35,7,5,0
"E00033005",176,38,43,54,36,5
"E00033006",120,34,30,36,19,1
"E00033007",155,22,33,66,31,3
"E00033008",147,25,32,50,39,1
"E00033012",104,53,34,12,4,1
"E00033013",115,47,40,23,5,0
"E00033015",109,54,37,15,3,0
"E00033016",226,79,94,42,8,3
"E00033018",72,39,26,7,0,0
"E00033019",218,73,74,43,26,2
"E00033020",143,61,50,22,8,2
"E00033021",134,39,39,36,17,3
"E00033023",149,54,49,28,17,1
"E00033024",104,15,31,33,22,3
"E00033025",135,75,38,19,3,0
"E00033026",90,53,17,17,3,0
"E00033027",200,81,69,39,10,1
"E00033029",111,57,29,16,9,0
"E00033030",95,50,35,9,1,0
"E00033031",130,80,23,22,5,0
"E00033032",238,104,80,28,22,4
"E00033033",193,99,51,34,9,0
"E00033034",201,99,74,21,6,1
"E00033035",159,66,41,38,13,1
"E00033036",128,56,46,15,11,0
"E00033037",153,69,55,25,2,2
"E00033038",110,46,31,22,7,4
"E00033040",132,58,38,25,10,1
"E00033041",110,55,35,17,3,0
"E00033042",98,48,32,15,3,0
"E00033043",112,62,30,20,0,0
"E00033044",92,45,34,11,2,0
"E00033045",132,23,39,54,14,2
"E00033046",121,36,50,32,3,0
"E00033047",106,52,37,15,2,0
"E00033048",100,43,29,25,3,0
"E00033049",154,89,41,20,2,2
"E00033050",84,51,24,8,1,0
"E00033051",167,95,48,14,9,1
"E00033052",144,66,40,21,14,3
"E00033053",111,62,24,21,4,0
"E00033054",76,23,24,24,4,1
"E00033055",106,74,19,7,6,0
"E00033056",123,72,33,15,3,0
"E00033057",122,63,35,18,6,0
"E00033059",149,50,45,47,6,1
"E00033060",101,35,37,28,1,0
"E00033061",91,47,26,12,6,0
"E00033062",105,53,31,19,2,0
"E00033063",101,68,19,12,2,0
"E00033064",97,63,24,8,2,0
"E00033065",120,77,20,20,3,0
"E00033066",155,81,37,27,10,0
"E00033067",184,82,61,28,13,0
"E00033068",203,107,55,20,19,2
"E00033069",164,77,55,20,10,2
"E00033070",190,64,48,45,23,10
"E00033071",141,78,38,15,10,0
"E00033072",167,72,45,30,20,0
"E00033073",192,63,74,39,14,2
"E00033074",179,53,52,44,24,6
"E00033075",210,52,58,66,27,7
"E00033076",152,71,48,30,1,2
"E00033077",185,78,48,44,13,2
"E00033078",176,86,43,33,11,3
"E00033079",116,53,30,22,10,1
"E00033080",150,46,38,44,20,2
"E00033081",127,63,33,27,4,0
"E00033082",122,74,31,16,1,0
"E00033083",122,84,25,12,1,0
"E00033084",148,43,48,49,8,0
"E00033085",143,54,47,35,7,0
"E00033086",122,52,44,23,3,0
"E00033087",149,78,38,26,6,1
"E00033088",101,35,23,33,9,1
"E00033089",124,39,39,36,10,0
"E00033090",139,39,47,38,15,0
"E00033091",126,56,35,27,7,1
"E00033092",127,54,50,21,1,1
"E00033093",158,66,57,29,6,0
"E00033094",136,45,37,43,11,0
"E00033095",164,95,51,17,1,0
"E00033096",110,56,38,12,4,0
"E00033097",119,36,40,32,11,0
"E00033098",113,49,44,18,2,0
"E00033099",94,17,25,47,4,1
"E00033100",138,31,37,51,19,0
"E00033101",96,38,38,15,5,0
"E00033102",207,89,60,38,18,2
"E00033103",117,19,35,52,11,0
"E00033104",109,29,38,30,12,0
"E00033105",118,50,37,30,1,0
"E00033106",125,37,37,41,10,0
"E00033107",121,59,38,21,3,0
"E00033108",119,43,36,33,7,0
"E00033109",123,42,48,28,4,1
"E00033110",142,57,47,27,11,0
"E00033112",115,72,33,10,0,0
"E00033113",117,59,37,18,3,0
"E00033114",113,68,34,11,0,0
"E00033115",92,45,27,18,2,0
"E00033116",101,20,43,35,3,0
"E00033117",154,71,54,26,3,0
"E00033118",129,65,44,20,0,0
"E00033119",109,65,31,13,0,0
"E00033120",132,66,38,27,1,0
"E00033121",119,36,37,41,5,0
"E00033122",121,54,34,28,5,0
"E00033123",123,44,43,36,0,0
"E00033124",120,62,39,10,9,0
"E00033125",111,25,37,32,15,2
"E00033126",111,42,41,26,1,1
"E00033127",194,83,49,46,14,2
"E00033128",111,29,37,31,14,0
"E00033129",108,43,40,21,3,1
"E00033130",126,70,36,19,1,0
"E00033131",130,28,33,56,11,2
"E00033132",158,63,46,36,12,1
"E00033133",144,18,41,59,24,2
"E00033134",111,18,36,38,19,0
"E00033135",183,56,63,47,14,3
"E00033136",99,20,39,30,9,1
"E00033137",167,33,57,45,29,3
"E00033138",113,10,38,40,22,3
"E00033139",149,28,43,45,32,1
"E00033140",94,27,39,22,5,1
"E00033141",85,31,32,20,1,1
"E00033142",117,46,35,28,7,1
"E00033143",127,30,54,27,13,3
"E00033144",126,23,53,28,19,3
"E00033145",122,46,43,26,6,1
"E00033146",124,37,48,31,8,0
"E00033147",127,42,41,38,6,0
"E00033148",116,42,34,31,9,0
"E00033149",98,18,35,31,12,2
"E00033150",146,30,48,40,24,4
"E00033151",125,15,47,45,16,2
