"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E00032987",182,23,4,0,4,19,5,8,6,0,32,24,22,0,2,0,4,4,8,3,4,1,0,7,0,0,0,7,7,0,15,8,7,7,0,24,10,5,0,5,0,3,1,23,8,1,0,14,0,36,31,5,14,14,0
"E00032988",283,40,9,0,9,31,25,3,2,1,86,60,39,5,16,0,18,8,19,12,1,5,1,23,5,5,0,18,18,0,16,10,6,4,2,16,4,7,2,1,0,1,1,18,9,0,0,9,0,32,22,10,33,33,0
"E00032989",314,38,5,0,5,33,25,1,6,1,69,41,25,8,8,0,14,14,30,19,9,2,0,20,9,9,0,11,9,2,10,6,4,4,0,40,8,27,1,0,0,0,4,15,2,1,3,9,0,44,35,9,48,48,0
"E00032990",290,47,4,0,4,43,30,13,0,0,70,44,30,4,8,2,23,3,23,13,7,3,0,14,8,8,0,6,5,1,11,10,1,1,0,28,6,14,0,7,0,1,0,20,5,0,4,11,0,32,19,13,45,45,0
"E00032991",316,40,5,0,5,35,25,5,3,2,70,57,46,3,7,1,9,4,27,21,3,2,1,6,0,0,0,6,6,0,8,4,4,4,0,47,10,30,1,3,0,0,3,24,5,0,7,12,0,62,24,38,32,32,0
"E00032992",230,12,0,0,0,12,11,1,0,0,50,41,29,10,2,0,8,1,18,10,3,5,0,7,6,6,0,1,1,0,17,3,14,14,0,26,4,14,1,5,0,1,1,11,1,0,0,10,0,46,23,23,43,43,0
"E00032993",261,27,0,0,0,27,19,7,1,0,57,49,32,3,14,0,5,3,21,14,3,2,2,15,7,7,0,8,8,0,20,6,14,12,2,38,21,15,0,0,0,2,0,18,5,2,6,5,0,23,12,11,42,42,0
"E00032994",93,4,0,0,0,4,1,2,0,1,8,4,2,0,2,0,4,0,11,7,2,2,0,6,0,0,0,6,6,0,6,6,0,0,0,22,0,21,0,1,0,0,0,17,0,4,2,11,0,12,11,1,7,7,0
"E00032995",203,13,4,0,4,9,6,3,0,0,33,20,20,0,0,0,6,7,26,18,7,0,1,7,0,0,0,7,7,0,11,5,6,6,0,48,5,31,7,0,0,2,3,31,0,2,15,14,0,28,21,7,6,6,0
"E00032996",340,14,7,0,7,7,1,6,0,0,22,15,11,0,4,0,3,4,37,11,24,2,0,11,0,0,0,11,11,0,47,30,17,13,4,80,19,47,3,5,0,0,6,57,11,6,15,25,0,65,54,11,7,7,0
