"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E02001347",2186,1095,176,139,251,154,168,74,71,52,6,1805
"E02001348",2051,1095,195,113,176,137,128,77,72,49,9,1615
"E02001349",2231,1216,189,130,202,138,145,87,65,55,4,1709
"E02001350",2145,1061,216,131,233,166,126,55,88,60,9,1830
"E02001351",2306,1114,208,167,274,156,142,91,84,57,13,1961
"E02001352",1715,829,156,114,195,137,100,62,71,39,12,1489
"E02001353",2254,1117,169,131,257,153,183,113,66,51,14,1897
"E02001354",2159,1120,159,147,217,133,128,73,97,70,15,1805
"E02001355",1821,961,184,97,211,106,89,65,63,38,7,1382
"E02001356",1581,701,155,112,152,133,110,51,98,54,15,1589
"E02001357",2011,1027,142,112,246,91,146,75,112,54,6,1724
"E02001358",1918,950,236,124,185,129,115,58,64,50,7,1567
"E02001359",1680,974,85,100,179,96,95,67,44,34,6,1173
"E02001360",2201,1156,214,139,227,137,117,72,62,61,16,1708
"E02001361",2160,1167,141,114,272,120,135,75,70,59,7,1646
"E02001362",2104,1243,89,115,223,100,137,82,54,52,9,1455
"E02001363",2186,997,250,139,268,144,144,77,101,54,12,1970
"E02001364",1355,635,171,93,149,79,55,57,57,50,9,1214
"E02001365",2337,1009,267,164,286,189,121,90,129,79,3,2255
"E02001366",2387,1259,195,154,254,124,140,94,78,81,8,1928
"E02001367",2691,1605,158,114,235,159,180,111,49,68,12,1856
"E02001368",1499,819,118,84,182,80,74,43,57,38,4,1130
"E02001369",1894,1107,150,117,187,82,96,54,51,38,12,1276
"E02001370",1491,710,132,112,192,91,76,42,71,54,11,1330
"E02001371",2114,937,196,141,247,195,148,73,114,59,4,2036
"E02001372",1636,895,84,85,198,92,113,70,55,38,6,1258
"E02001373",2499,1244,231,163,281,168,142,93,86,82,9,2109
"E02001374",1737,858,197,95,186,115,111,57,58,52,8,1469
"E02001375",1971,1070,144,119,191,131,111,69,74,55,7,1532
"E02001376",2052,968,205,152,199,177,121,48,112,64,6,1905
"E02001377",1444,779,119,96,149,107,57,42,50,35,10,1133
"E02001378",2079,1127,188,120,197,126,128,70,78,40,5,1585
"E02001380",2208,1268,135,93,209,143,159,97,55,37,12,1592
"E02001381",2139,1056,229,154,234,145,107,52,111,46,5,1823
"E02001382",2128,1200,119,98,232,139,150,80,54,45,11,1548
"E02001383",1179,610,113,86,124,69,52,22,59,37,7,978
"E02001384",1466,792,138,75,159,96,52,41,71,33,9,1169
"E02001385",1760,580,219,169,170,167,94,37,216,97,11,2428
"E02001386",2062,1161,127,125,222,116,92,69,90,50,10,1533
"E02001387",2206,1250,128,77,226,141,142,92,58,74,18,1675
"E02001388",1568,959,124,69,112,89,86,32,38,52,7,1050
"E02001389",1048,636,107,73,71,51,37,20,28,21,4,662
"E02001390",2234,1043,211,165,273,142,139,75,110,66,10,2053
"E02001391",1750,942,94,110,191,115,107,66,67,54,4,1391
"E02001392",1752,1202,95,63,104,74,91,63,32,19,9,917
"E02001393",2155,1330,71,58,212,105,135,105,55,62,22,1500
"E02001394",1745,1099,151,93,130,94,89,30,38,19,2,1011
"E02001395",1743,1087,115,59,136,94,110,65,41,28,8,1106
"E02001396",2051,1190,205,98,201,109,95,51,55,38,9,1360
"E02001397",2040,1284,116,81,178,116,105,63,53,33,11,1279
"E02001398",1763,1119,135,81,141,88,88,34,39,32,6,1049
"E02001399",2094,1266,97,81,187,112,140,90,50,59,12,1444
"E02001400",1833,1035,108,84,243,78,105,73,42,57,8,1309
"E02001401",2307,1456,117,93,206,122,137,75,52,40,9,1428
"E02001402",2321,1398,174,95,186,128,153,71,58,45,13,1544
"E02001403",1604,818,158,119,155,108,85,41,64,47,9,1310
"E02001404",2037,986,178,152,232,152,133,52,85,58,9,1756
"E02001405",2689,1191,294,205,280,209,163,92,160,79,16,2615
"E02006932",682,558,33,28,26,16,11,6,2,2,0,169
"E02006933",1076,760,79,45,55,44,35,20,27,8,3,525
"E02006934",771,622,58,18,25,23,9,6,3,6,1,213
