"GeographyCode","QS607EW0001","QS607EW0002","QS607EW0003","QS607EW0004","QS607EW0005","QS607EW0006","QS607EW0007","QS607EW0008","QS607EW0009","QS607EW0010","QS607EW0011","QS607EW0012","QS607EW0013","QS607EW0014","QS607EW0015","QS607EW0016","QS607EW0017","QS607EW0018","QS607EW0019","QS607EW0020","QS607EW0021","QS607EW0022","QS607EW0023","QS607EW0024","QS607EW0025","QS607EW0026","QS607EW0027","QS607EW0028","QS607EW0029","QS607EW0030","QS607EW0031","QS607EW0032","QS607EW0033","QS607EW0034","QS607EW0035","QS607EW0036","QS607EW0037","QS607EW0038","QS607EW0039","QS607EW0040","QS607EW0041","QS607EW0042","QS607EW0043","QS607EW0044","QS607EW0045","QS607EW0046","QS607EW0047","QS607EW0048","QS607EW0049","QS607EW0050","QS607EW0051","QS607EW0052","QS607EW0053","QS607EW0054","QS607EW0055"
"E02001347",5565,265,67,0,67,198,131,49,16,2,1000,623,538,50,31,4,246,131,762,444,212,86,20,386,93,93,0,293,292,1,403,221,182,166,16,984,251,410,63,181,4,50,25,868,117,91,247,408,5,491,353,138,406,406,0
"E02001348",5381,250,70,0,70,180,94,76,8,2,1033,610,534,43,30,3,238,185,974,610,255,89,20,367,78,78,0,289,289,0,430,239,191,164,27,993,302,357,71,159,1,76,27,641,116,79,196,245,5,330,199,131,363,363,0
"E02001349",6024,353,95,0,95,258,123,116,15,4,1142,711,588,67,51,5,257,174,1139,749,287,79,24,395,89,88,1,306,305,1,454,246,208,189,19,975,289,371,71,133,0,85,26,712,86,82,239,301,4,382,219,163,472,472,0
"E02001350",5534,268,63,0,63,205,121,62,15,7,745,450,405,24,16,5,185,110,734,434,206,73,21,368,94,93,1,274,273,1,356,187,169,149,20,1073,280,424,92,186,2,66,23,976,139,129,234,469,5,621,451,170,393,393,0
"E02001351",6593,199,51,0,51,148,83,47,13,5,765,474,408,38,26,2,178,113,767,414,251,81,21,407,112,111,1,295,291,4,500,282,218,191,27,1286,339,525,99,216,7,74,26,1281,129,178,327,638,9,843,620,223,545,545,0
"E02001352",5749,187,47,0,47,140,80,53,7,0,718,451,385,29,32,5,152,115,694,427,180,57,30,408,85,83,2,323,315,8,426,229,197,170,27,972,251,373,101,169,1,59,18,1139,119,129,310,574,7,740,533,207,465,465,0
"E02001353",5626,448,113,0,113,335,184,123,26,2,1218,778,664,67,39,8,275,165,920,560,251,68,41,510,140,140,0,370,366,4,391,200,191,160,31,840,280,278,46,133,2,85,16,541,87,50,198,203,3,277,185,92,481,481,0
"E02001354",5517,193,52,0,52,141,76,54,10,1,701,402,339,42,20,1,189,110,779,457,218,81,23,333,70,69,1,263,262,1,402,231,171,160,11,1052,325,381,72,173,3,73,25,960,104,120,271,463,2,609,405,204,488,488,0
"E02001355",5038,160,46,0,46,114,60,47,6,1,668,393,340,24,24,5,157,118,731,467,185,60,19,325,61,59,2,264,260,4,367,213,154,135,19,990,291,403,68,147,2,63,16,813,128,87,213,380,5,557,368,189,427,427,0
"E02001356",3868,100,32,0,32,68,38,25,4,1,443,245,210,21,11,3,115,83,446,247,126,55,18,225,58,58,0,167,167,0,265,169,96,88,8,747,217,311,35,105,1,58,20,764,120,86,168,388,2,547,367,180,331,331,0
