"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E02001347",3204,2,23,173,464,1292,743,266,174,67
"E02001348",3148,4,51,148,473,913,1054,315,114,76
"E02001349",3422,15,78,316,302,754,1218,403,198,138
"E02001350",3417,8,61,216,920,1053,667,275,156,61
"E02001351",3515,14,61,261,510,1370,926,211,112,50
"E02001352",3046,23,91,404,594,880,659,226,90,79
"E02001353",2959,0,11,70,528,898,628,387,263,174
"E02001354",3312,6,40,256,491,1550,746,132,61,30
"E02001355",3108,11,65,238,583,926,866,231,135,53
"E02001356",2364,3,28,149,279,1442,345,66,31,21
"E02001357",2858,2,5,84,138,1475,972,114,47,21
"E02001358",3450,12,52,246,1038,1232,696,108,43,23
"E02001359",2328,3,20,100,302,628,499,378,232,166
"E02001360",4130,31,173,566,956,1504,638,161,66,35
"E02001361",3388,6,43,287,489,1317,1002,176,50,18
"E02001362",3161,3,22,188,181,1043,1358,231,92,43
"E02001363",3481,9,61,383,606,1432,674,188,89,39
"E02001364",2532,7,55,336,703,663,469,199,58,42
"E02001365",4059,19,93,309,782,1294,1113,265,118,66
"E02001366",4081,32,117,455,609,1145,1087,328,176,132
"E02001367",3939,6,42,290,447,745,1188,633,375,213
"E02001368",2918,7,72,460,884,1043,286,94,41,31
"E02001369",3877,47,255,856,1068,1061,338,155,58,39
"E02001370",3153,44,110,548,1011,951,309,98,38,44
"E02001371",3076,6,23,185,441,1657,551,138,49,26
"E02001372",2728,20,74,317,419,772,675,255,130,66
"E02001373",4089,13,82,301,760,1173,1205,313,138,104
"E02001374",4105,105,295,952,821,709,600,287,161,175
"E02001375",3202,1,43,205,479,1063,1151,165,66,29
"E02001376",3789,24,120,364,985,1286,775,133,64,38
"E02001377",4063,125,271,814,936,916,583,217,125,76
"E02001378",3557,24,70,465,729,1020,759,269,122,99
"E02001380",3117,3,20,131,182,712,1232,485,236,116
"E02001381",4312,33,117,435,1382,1203,812,169,111,50
"E02001382",2782,3,3,41,91,680,1110,509,230,115
"E02001383",4260,206,504,1374,1035,562,269,88,112,110
"E02001384",3941,20,84,415,722,715,1030,492,311,152
"E02001385",3631,86,283,573,1169,797,375,180,94,74
"E02001386",3572,14,63,347,809,1240,710,278,81,30
"E02001387",3162,4,24,120,271,326,888,631,493,405
"E02001388",4170,301,249,328,508,624,1148,526,289,197
"E02001389",3740,105,457,1411,1006,325,201,51,46,138
"E02001390",4094,38,155,681,1105,1330,561,128,53,43
"E02001391",2481,4,16,126,391,1376,400,116,27,25
"E02001392",2556,0,18,70,343,636,647,406,254,182
"E02001393",2845,2,14,79,239,215,431,682,602,581
"E02001394",4290,63,201,1004,1032,679,569,257,187,298
"E02001395",2612,3,21,123,173,514,1081,412,179,106
"E02001396",3918,14,85,617,1100,1004,683,216,117,82
"E02001397",3848,11,111,667,795,812,766,327,207,152
"E02001398",3595,35,120,676,780,539,638,402,236,169
"E02001399",2866,1,15,84,142,313,1150,692,321,148
"E02001400",2839,5,22,273,219,621,1125,306,177,91
"E02001401",3395,3,22,285,289,875,1073,448,215,185
"E02001402",3762,7,62,376,554,450,854,597,416,446
"E02001403",2841,18,81,380,543,853,690,149,77,50
"E02001404",3155,5,35,286,504,1309,779,124,81,32
"E02001405",4154,10,66,446,911,1096,1291,208,76,50
"E02006932",3201,279,711,986,607,261,147,83,64,63
"E02006933",3135,106,437,878,1019,420,180,56,27,12
"E02006934",2782,71,469,1249,730,181,44,15,16,7
