"GeographyCode","QS205EW0001","QS205EW0002","QS205EW0003","QS205EW0004","QS205EW0005","QS205EW0006"
"E01006512",1821,921,243,514,122,21
"E01006513",2923,2241,204,411,63,4
"E01006514",2079,1748,155,131,35,10
"E01006515",1169,937,51,67,62,52
"E01006518",1646,1509,35,56,30,16
"E01006519",1241,1203,21,12,4,1
"E01006520",1674,1561,76,30,4,3
"E01006521",1630,1534,51,24,18,3
"E01006522",1687,1584,58,34,8,3
"E01006523",1476,1389,52,23,11,1
"E01006524",2399,2264,72,47,12,4
"E01006525",1172,1141,20,4,3,4
"E01006526",1354,1320,25,8,0,1
"E01006527",1422,1392,16,9,5,0
"E01006528",1414,1341,36,28,9,0
"E01006529",1251,1210,28,9,3,1
"E01006530",1393,1385,3,5,0,0
"E01006531",1438,1419,16,2,1,0
"E01006532",1518,1469,31,12,5,1
"E01006533",1369,1344,10,8,7,0
"E01006534",1502,1421,33,25,18,5
"E01006535",1595,1560,26,7,2,0
"E01006536",1800,1761,23,9,5,2
"E01006537",2171,1991,30,73,57,20
"E01006538",1279,1266,7,2,1,3
"E01006539",1406,1357,28,15,5,1
"E01006540",1424,1261,36,78,41,8
"E01006541",1549,1532,4,7,5,1
"E01006542",1352,1302,13,24,9,4
"E01006543",1211,1208,3,0,0,0
"E01006544",1600,1573,6,6,11,4
"E01006545",1439,1412,8,7,10,2
"E01006546",1261,1228,8,12,11,2
"E01006547",1423,1333,29,34,19,8
"E01006548",1588,1498,33,28,26,3
"E01006549",1627,1377,112,96,37,5
"E01006550",1574,1492,50,20,8,4
"E01006551",1547,1449,38,34,19,7
"E01006552",1878,1273,195,253,142,15
"E01006553",1847,1759,52,22,13,1
"E01006554",1659,1512,86,45,15,1
"E01006556",1913,1343,138,276,132,24
"E01006557",2023,1856,79,59,24,5
"E01006558",1289,1245,13,16,11,4
"E01006560",1803,1748,22,25,5,3
"E01006562",1441,1381,13,18,22,7
"E01006563",1682,1604,14,42,19,3
"E01006564",1672,1629,10,25,5,3
"E01006565",1511,1478,18,10,5,0
"E01006566",1450,1399,30,14,6,1
"E01006567",1609,1561,19,19,8,2
"E01006568",1568,1529,27,6,3,3
"E01006569",1399,1388,5,5,0,1
"E01006570",1449,1428,7,5,5,4
"E01006571",1430,1418,5,7,0,0
"E01006572",1159,1134,9,12,2,2
"E01006573",1442,1398,19,17,6,2
"E01006574",1337,1322,5,8,1,1
"E01006575",1256,1228,11,13,3,1
"E01006576",1634,1617,9,4,4,0
"E01006577",1458,1434,14,7,3,0
"E01006578",1334,1304,15,3,12,0
"E01006579",1581,1547,17,12,5,0
"E01006580",1298,1260,12,17,8,1
"E01006581",1509,1481,13,9,3,3
"E01006582",1590,1560,12,10,6,2
"E01006583",1719,1699,10,10,0,0
"E01006584",1344,1341,2,0,0,1
"E01006585",1306,1268,10,23,1,4
"E01006586",1834,1757,36,21,17,3
"E01006587",1575,1504,32,23,15,1
"E01006588",1527,1455,30,26,16,0
"E01006589",1455,1426,15,8,6,0
"E01006590",1604,1541,35,19,8,1
"E01006591",1569,1520,34,12,2,1
"E01006592",1541,1493,25,18,4,1
"E01006593",1476,1416,40,15,3,2
"E01006594",1381,1340,21,12,7,1
