"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E01006512",1420,272,637,162,349
"E01006513",1691,295,930,237,229
"E01006514",1758,305,987,166,300
"E01006515",1208,236,607,173,192
"E01006518",1630,320,752,265,293
"E01006519",1286,275,689,256,66
"E01006520",1685,240,1098,84,263
"E01006521",1619,342,889,186,202
"E01006522",1670,312,964,146,248
"E01006523",1473,282,888,158,145
"E01006524",1079,262,541,142,134
"E01006525",1209,201,723,233,52
"E01006526",1301,277,646,263,115
"E01006527",1373,240,785,268,80
"E01006528",1434,261,832,281,60
"E01006529",1304,236,674,323,71
"E01006530",1428,223,812,320,73
"E01006531",1455,229,917,235,74
"E01006532",1554,335,845,303,71
"E01006533",1355,278,709,281,87
"E01006534",1542,209,810,322,201
"E01006535",1550,206,803,361,180
"E01006536",1848,254,954,418,222
"E01006537",2257,326,1233,496,202
"E01006538",1318,167,684,351,116
"E01006539",1403,401,773,181,48
"E01006540",1485,296,606,299,284
"E01006541",1593,187,947,323,136
"E01006542",1297,203,685,246,163
"E01006543",1247,152,613,345,137
"E01006544",1658,266,743,378,271
"E01006545",1512,205,775,351,181
"E01006546",1319,212,594,274,239
"E01006547",1490,309,627,335,219
"E01006548",1580,292,708,341,239
"E01006549",1559,275,928,127,229
"E01006550",1595,161,1051,285,98
"E01006551",1134,305,607,115,107
"E01006552",2027,275,792,385,575
"E01006553",1880,219,1114,437,110
"E01006554",1670,215,1026,249,180
"E01006556",2010,407,891,325,387
"E01006557",2051,176,1154,557,164
"E01006558",1357,356,527,249,225
"E01006560",1860,358,893,324,285
"E01006562",1514,252,734,253,275
"E01006563",1740,265,845,320,310
"E01006564",1721,256,850,400,215
"E01006565",1549,203,717,362,267
"E01006566",1431,177,648,398,208
"E01006567",1622,291,912,268,151
"E01006568",1491,170,800,339,182
"E01006569",1372,223,667,245,237
"E01006570",1463,206,773,354,130
"E01006571",1438,195,689,337,217
"E01006572",1207,136,630,225,216
"E01006573",1501,263,708,297,233
"E01006574",1388,160,694,363,171
"E01006575",1289,214,697,280,98
"E01006576",1691,220,961,397,113
"E01006577",1503,223,844,305,131
"E01006578",1380,167,696,386,131
"E01006579",1643,197,845,470,131
"E01006580",1331,209,723,330,69
"E01006581",1559,182,858,389,130
"E01006582",1630,225,922,366,117
"E01006583",1255,264,763,185,43
"E01006584",1393,191,748,335,119
"E01006585",1354,173,711,302,168
"E01006586",1875,355,987,399,134
"E01006587",1619,235,873,308,203
"E01006588",1521,280,900,206,135
"E01006589",1512,178,812,382,140
"E01006590",1637,290,939,324,84
"E01006591",1633,287,940,286,120
"E01006592",1541,372,883,204,82
"E01006593",1541,271,899,286,85
"E01006594",1405,376,765,221,43
"E01006595",1745,274,1019,345,107
"E01006596",1451,222,829,272,128
"E01006597",1639,335,1009,216,79
"E01006598",1361,183,663,263,252
"E01006599",1121,159,553,253,156
"E01006600",1407,180,717,332,178
"E01006603",1386,188,686,320,192
"E01006604",1367,189,678,294,206
"E01006605",1531,208,716,357,250
"E01006606",1521,241,915,235,130
"E01006607",1529,198,747,382,202
"E01006608",1213,250,549,303,111
"E01006609",1283,254,654,220,155
"E01006610",1395,233,708,291,163
"E01006611",1291,393,510,247,141
"E01006612",1495,214,772,277,232
"E01006613",1360,213,619,317,211
"E01006614",1322,280,611,273,158
"E01006615",1302,260,606,318,118
"E01006616",1428,195,655,340,238
"E01006617",1421,250,833,271,67
"E01006618",1639,205,794,425,215
"E01006619",1599,258,883,348,110
"E01006620",1409,177,747,349,136
"E01006621",1468,251,778,351,88
"E01006622",1519,176,818,420,105
"E01006623",1462,242,815,304,101
"E01006624",1551,304,715,337,195
"E01006625",1416,186,754,357,119
"E01006626",1448,198,710,422,118
"E01006627",1378,228,714,365,71
"E01006628",1518,279,846,270,123
"E01006629",1242,195,664,246,137
"E01006630",1338,127,623,304,284
"E01006632",1842,270,865,365,342
"E01006633",1432,234,655,312,231
"E01006637",1596,209,746,341,300
"E01006638",1219,173,573,289,184
"E01006639",1509,194,773,322,220
"E01006640",1880,294,975,424,187
"E01006641",1640,158,662,555,265
"E01006642",1290,222,601,254,213
"E01006643",1822,183,875,438,326
"E01006644",2040,290,1121,394,235
"E01006645",1424,203,752,272,197
