"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E01006512",233,113,32,9,20,28,6,3,17,4,1,213
"E01006513",213,171,10,12,6,8,4,1,0,1,0,58
"E01006514",249,169,20,12,23,7,11,2,4,1,0,115
"E01006515",271,149,19,16,32,15,11,9,9,11,0,209
"E01006518",409,214,32,20,57,19,25,12,20,8,2,333
"E01006519",374,211,18,11,41,22,32,18,10,8,3,288
"E01006520",304,236,23,12,12,8,3,4,4,1,1,96
"E01006521",378,268,17,17,23,18,15,7,8,5,0,182
"E01006522",310,201,29,26,25,15,8,3,3,0,0,144
"E01006523",308,204,20,17,25,20,10,0,8,3,1,168
"E01006524",284,192,23,15,16,17,11,2,4,2,2,140
"E01006525",359,229,27,5,33,20,22,16,3,3,1,202
"E01006526",351,213,36,15,25,23,19,11,2,7,0,212
"E01006527",368,218,24,17,37,20,24,10,8,9,1,247
"E01006528",331,186,34,13,22,23,28,9,10,5,1,246
"E01006529",355,202,35,16,30,20,31,6,10,5,0,248
"E01006530",439,289,21,8,35,25,26,24,5,6,0,256
"E01006531",430,307,10,13,39,16,19,8,6,10,2,209
"E01006532",469,286,18,9,42,22,35,20,9,18,10,341
"E01006533",381,246,15,12,30,20,24,14,10,8,2,241
"E01006534",424,224,16,26,57,20,30,18,10,21,2,341
"E01006535",441,249,25,16,71,20,18,17,13,10,2,304
"E01006536",535,305,38,27,61,19,33,26,10,14,2,376
"E01006537",659,383,58,36,50,42,39,14,22,12,3,458
"E01006538",398,231,13,24,52,19,29,15,9,4,2,264
"E01006539",421,269,15,12,47,16,17,27,7,8,3,258
"E01006540",332,134,49,32,38,25,12,10,15,12,5,334
"E01006541",428,241,30,28,47,29,27,7,10,8,1,292
"E01006542",330,161,30,21,33,18,20,21,13,12,1,302
"E01006543",364,216,20,13,45,18,20,15,7,8,2,242
"E01006544",471,215,43,27,67,27,30,23,19,18,2,427
"E01006545",445,203,44,38,59,34,22,14,21,10,0,389
"E01006546",354,164,39,20,34,20,25,16,19,16,1,344
"E01006547",362,165,36,30,40,27,16,12,17,18,1,347
"E01006548",403,155,56,29,63,35,22,12,19,12,0,393
"E01006549",216,135,25,8,15,6,9,3,7,5,3,142
"E01006550",165,101,13,6,17,12,3,5,5,3,0,113
"E01006551",204,150,10,10,14,7,8,0,4,1,0,81
"E01006552",457,147,64,50,34,57,21,6,52,25,1,621
"E01006553",269,156,16,8,26,11,17,6,11,18,0,215
"E01006554",241,141,18,11,20,12,12,8,15,4,0,186
"E01006556",407,142,66,40,46,29,25,8,33,15,3,476
"E01006557",199,114,16,6,17,7,9,9,11,6,4,164
"E01006558",354,179,52,25,38,15,12,13,11,6,3,264
"E01006560",433,224,39,34,52,21,28,8,14,8,5,335
"E01006562",415,178,55,34,55,33,16,7,18,17,2,386
"E01006563",425,205,40,31,49,26,26,8,23,15,2,384
"E01006564",504,328,30,22,39,27,23,14,13,7,1,290
"E01006565",440,265,20,17,35,23,34,18,12,12,4,318
"E01006566",392,203,34,15,42,20,35,18,16,7,2,330
"E01006567",382,218,25,18,51,23,18,12,9,5,3,264
"E01006568",433,220,27,23,46,31,34,25,18,8,1,367
"E01006569",368,226,15,21,34,10,17,15,13,16,1,257
"E01006570",425,238,17,24,51,22,33,16,10,14,0,312
"E01006571",396,219,15,20,50,16,28,17,18,11,2,315
"E01006572",364,178,28,27,40,30,20,7,20,13,1,329
"E01006573",397,191,41,29,52,32,22,9,14,6,1,321
"E01006574",378,185,23,17,47,27,34,13,20,12,0,345
"E01006575",364,212,21,20,34,19,24,16,12,3,3,253
"E01006576",515,302,37,25,45,38,40,17,6,4,1,339
"E01006577",442,246,26,14,48,26,37,25,12,7,1,332
"E01006578",406,226,23,26,32,35,16,20,16,11,1,313
"E01006579",485,279,27,17,39,36,35,23,15,12,2,371
"E01006580",401,231,20,11,51,21,31,15,9,8,4,286
"E01006581",457,260,27,20,45,30,39,12,12,9,3,336
"E01006582",467,243,22,13,52,32,41,22,15,17,10,413
"E01006583",383,231,14,10,39,29,25,15,9,10,1,275
"E01006584",402,229,24,17,43,24,23,16,10,11,5,297
"E01006585",366,216,24,20,37,17,19,10,14,9,0,252
"E01006586",475,261,38,24,45,37,34,21,6,7,2,343
"E01006587",444,265,38,26,36,21,17,12,17,11,1,302
"E01006588",365,246,22,15,22,21,13,12,6,6,2,198
"E01006589",444,237,29,16,58,35,34,16,11,8,0,334
"E01006590",346,215,28,14,28,18,22,7,7,7,0,210
