"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E01006512",799,45,91,221,223,87,57,14,41,20
"E01006513",909,76,162,305,144,50,71,23,44,34
"E01006514",1115,81,177,384,220,78,69,31,28,47
"E01006515",641,1,28,174,196,131,78,16,12,5
"E01006518",835,6,27,128,306,231,106,16,9,6
"E01006519",514,0,2,5,16,30,138,149,117,57
"E01006520",1182,23,137,561,338,59,29,11,9,15
"E01006521",928,12,39,259,331,87,77,54,40,29
"E01006522",1094,29,94,427,345,117,26,15,5,36
"E01006523",830,14,53,208,227,124,111,56,22,15
"E01006524",583,4,14,113,211,101,47,27,16,50
"E01006525",486,0,0,1,20,70,163,132,63,37
"E01006526",654,1,3,61,189,139,155,55,31,20
"E01006527",638,0,11,71,91,112,196,87,42,28
"E01006528",613,5,12,75,57,81,107,122,101,53
"E01006529",559,2,2,17,25,94,262,99,40,18
"E01006530",616,0,0,10,51,164,242,102,28,19
"E01006531",674,2,4,75,36,160,207,120,42,28
"E01006532",617,0,4,18,29,51,121,147,123,124
"E01006533",614,0,3,43,116,122,147,65,54,64
"E01006534",649,3,6,59,44,177,209,72,51,28
"E01006535",656,0,0,45,30,155,303,75,29,19
"E01006536",815,1,7,46,69,195,402,49,30,16
"E01006537",964,1,13,148,71,284,238,97,62,50
"E01006538",527,0,2,9,15,145,239,64,29,24
"E01006539",601,1,4,19,95,56,77,118,115,116
"E01006540",771,17,26,152,285,143,88,28,14,18
"E01006541",803,3,21,166,92,258,221,27,9,6
"E01006542",583,2,11,87,59,96,180,93,38,17
"E01006543",509,0,0,15,29,212,188,51,11,3
"E01006544",738,0,8,24,158,291,216,31,6,4
"E01006545",646,0,4,21,45,259,244,43,13,17
"E01006546",583,3,15,44,78,148,200,55,26,14
"E01006547",718,2,26,83,167,186,161,42,35,16
"E01006548",759,13,15,56,228,230,162,30,16,9
"E01006549",949,45,138,361,185,52,50,11,22,85
"E01006550",483,4,5,49,33,59,116,84,67,66
"E01006551",751,13,36,228,194,198,43,18,11,10
"E01006552",869,12,86,98,251,197,122,51,25,27
"E01006553",642,0,11,26,35,77,228,128,91,46
"E01006554",649,14,52,158,68,30,36,43,84,164
"E01006556",1016,22,69,185,367,140,97,80,37,19
"E01006557",635,1,15,43,63,76,191,119,97,30
"E01006558",739,1,13,59,325,211,82,37,5,6
"E01006560",996,9,26,191,356,324,53,17,7,13
"E01006562",714,4,25,66,211,208,153,35,6,6
"E01006563",908,11,27,223,185,326,94,27,10,5
"E01006564",800,5,18,120,193,280,103,54,22,5
"E01006565",638,0,0,14,31,234,282,47,21,9
"E01006566",577,3,12,44,52,145,201,80,26,14
"E01006567",892,5,35,227,185,182,166,53,22,17
"E01006568",629,7,21,39,114,232,116,56,34,10
"E01006569",613,1,17,43,28,250,203,43,19,9
"E01006570",595,8,8,21,67,101,186,111,60,33
"E01006571",612,0,10,30,53,257,207,35,14,6
"E01006572",501,0,3,16,34,358,67,10,8,5
"E01006573",778,0,20,126,217,194,183,22,11,5
"E01006574",612,2,5,91,51,301,113,32,8,9
"E01006575",578,2,6,34,48,199,190,54,23,22
"E01006576",713,0,4,16,62,250,237,83,41,20
"E01006577",597,0,0,16,23,78,260,139,55,26
"E01006578",554,0,0,15,20,210,198,75,22,14
"E01006579",618,0,0,4,9,78,276,131,91,29
"E01006580",515,0,1,7,6,55,196,132,84,34
"E01006581",607,1,2,6,19,87,282,128,48,34
"E01006582",585,1,2,10,21,47,189,139,103,73
"E01006583",467,0,1,3,3,27,87,140,118,88
"E01006584",611,1,10,61,40,107,269,78,26,19
"E01006585",641,3,7,93,91,266,135,27,11,8
"E01006586",921,16,20,123,276,189,140,84,45,28
"E01006587",717,1,15,129,78,170,187,61,33,43
"E01006588",702,4,12,90,64,149,181,85,74,43
"E01006589",599,0,1,13,15,98,284,120,47,21
"E01006590",701,2,6,42,47,127,294,114,51,18
"E01006591",671,2,10,30,46,91,230,114,82,66
"E01006592",624,0,9,40,93,33,52,96,138,163
"E01006593",662,8,6,34,44,122,252,116,44,36
"E01006594",579,0,0,37,94,36,58,125,117,112
"E01006595",812,0,6,53,88,230,343,56,22,14
"E01006596",597,2,2,14,30,93,257,103,57,39
"E01006597",683,1,2,27,96,57,133,162,123,82
"E01006598",604,1,8,79,73,329,78,18,12,6
"E01006599",482,0,3,15,50,339,58,12,2,3
"E01006600",592,1,2,18,21,165,321,45,15,4
"E01006603",594,0,1,11,31,297,210,26,10,8
"E01006604",571,0,4,8,16,241,265,24,12,1
"E01006605",696,2,5,96,49,232,266,27,12,7
"E01006606",723,5,9,58,86,267,214,64,16,4
"E01006607",641,0,2,24,46,331,196,24,11,7
"E01006608",563,1,8,26,125,143,169,46,26,19
"E01006609",576,4,7,13,73,191,158,65,50,15
"E01006610",669,0,23,91,152,169,149,55,21,9
"E01006611",742,2,16,62,376,216,58,8,1,3
"E01006612",740,0,10,137,101,323,144,17,2,6
"E01006613",611,1,5,55,94,154,252,33,14,3
"E01006614",667,7,7,44,224,231,126,19,6,3
"E01006615",663,1,7,46,227,258,104,9,6,5
"E01006616",613,2,4,38,82,263,180,34,5,5
"E01006617",650,1,10,48,123,153,151,84,51,29
